eta	mean	conf_05	conf_95	trace_00	trace_01	trace_02	trace_03	trace_04	trace_05	trace_06	trace_07	trace_08	trace_09	trace_10	trace_11	trace_12	trace_13	trace_14	trace_15	trace_16	trace_17	trace_18	trace_19	trace_20	trace_21	trace_22	trace_23	trace_24	trace_25	trace_26	trace_27	trace_28	trace_29	trace_30	trace_31	trace_32	trace_33	trace_34	trace_35	trace_36	trace_37	trace_38	trace_39	trace_40	trace_41	trace_42	trace_43	trace_44	trace_45	trace_46	trace_47	trace_48	trace_49
0.0004132	3.36196	3.09610	3.62781	3.34601	3.37168	3.37654	3.27240	3.37024	3.29063	3.29394	3.25670	3.35650	3.54948	3.42559	3.56910	3.28179	3.27336	3.23267	3.38949	3.27629	3.30807	3.34023	3.81604	3.22373	3.30106	3.24864	3.47736	3.35219	3.28889	3.25216	3.25355	3.40288	3.22804	3.32904	3.28977	3.34856	3.32406	3.36014	3.25973	3.86932	3.38437	3.33253	3.33127	3.68260	3.20895	3.40508	3.32692	3.26103	3.28049	3.38157	3.31040	3.49799	3.48884
0.0004642	3.40247	3.15302	3.65191	3.38433	3.40589	3.45286	3.30734	3.43232	3.32725	3.32537	3.30727	3.37413	3.58217	3.50201	3.58828	3.32918	3.32908	3.26241	3.42503	3.32911	3.37470	3.37493	3.76773	3.27118	3.35227	3.27239	3.45508	3.37827	3.36186	3.28569	3.32827	3.49552	3.28616	3.36379	3.33493	3.36057	3.34577	3.39341	3.30085	3.87122	3.41519	3.36659	3.36666	3.74502	3.25832	3.43656	3.38633	3.31760	3.32292	3.42471	3.34877	3.57912	3.51692
0.0005214	3.44110	3.21512	3.66707	3.42416	3.43388	3.52900	3.35949	3.47091	3.35488	3.36243	3.36934	3.39432	3.61286	3.56241	3.59518	3.37853	3.36582	3.31925	3.46231	3.37507	3.42762	3.40921	3.70974	3.32617	3.39896	3.32150	3.45743	3.40824	3.40016	3.32237	3.38853	3.60455	3.33068	3.40620	3.38363	3.38427	3.37169	3.42029	3.36589	3.81587	3.44379	3.41525	3.40638	3.79328	3.30549	3.45562	3.43914	3.36300	3.36881	3.47889	3.38751	3.64811	3.52674
0.0005857	3.47420	3.27820	3.67021	3.46055	3.45931	3.59260	3.39593	3.50571	3.40744	3.41649	3.41516	3.43846	3.63458	3.61877	3.56152	3.42434	3.40013	3.36122	3.47828	3.42354	3.47345	3.43816	3.65649	3.38729	3.43272	3.35940	3.47408	3.43407	3.43662	3.37866	3.44586	3.66954	3.37361	3.44248	3.42929	3.44283	3.43139	3.42572	3.40942	3.73861	3.46610	3.47421	3.45392	3.81399	3.35414	3.45428	3.47113	3.42991	3.41274	3.49258	3.42238	3.69277	3.49824
0.0006579	3.49320	3.32078	3.66561	3.48614	3.47016	3.63237	3.42487	3.53349	3.43052	3.43605	3.44751	3.44892	3.63972	3.65979	3.55696	3.45884	3.42537	3.39756	3.48727	3.44311	3.49694	3.45624	3.60976	3.42680	3.45547	3.39415	3.46691	3.45164	3.46556	3.40832	3.49224	3.68407	3.40899	3.45676	3.46328	3.45931	3.45110	3.46115	3.44069	3.66648	3.47809	3.50065	3.46576	3.80081	3.39695	3.47770	3.48430	3.45501	3.44634	3.50074	3.44787	3.70286	3.50819
0.0007391	3.48920	3.33768	3.64072	3.49157	3.45644	3.64103	3.43708	3.54839	3.43574	3.43825	3.45899	3.44326	3.62317	3.67089	3.50008	3.47284	3.43188	3.41749	3.48264	3.44195	3.47020	3.45647	3.56381	3.43762	3.46180	3.41627	3.44937	3.44478	3.47764	3.41936	3.51900	3.65959	3.42621	3.44807	3.47638	3.46060	3.45517	3.45159	3.45153	3.60278	3.47416	3.47935	3.46038	3.75959	3.42016	3.45790	3.48027	3.45491	3.45873	3.46828	3.45606	3.67929	3.47094
0.0008302	3.46802	3.33117	3.60487	3.47675	3.42541	3.62198	3.43003	3.54883	3.42204	3.42300	3.45044	3.42187	3.58844	3.64955	3.44054	3.46663	3.41832	3.41677	3.46352	3.42287	3.43612	3.43956	3.51564	3.42155	3.45117	3.42016	3.42102	3.41947	3.47111	3.40964	3.52645	3.61288	3.42228	3.42006	3.46942	3.44595	3.44311	3.42516	3.44258	3.54400	3.45464	3.43513	3.43924	3.70185	3.41934	3.42407	3.46136	3.43450	3.44884	3.42908	3.44647	3.63294	3.42932
0.0009326	3.43114	3.30425	3.55802	3.44357	3.37887	3.57935	3.40319	3.53026	3.39012	3.39105	3.42329	3.38543	3.53884	3.60127	3.37915	3.44220	3.38583	3.39435	3.42969	3.38769	3.39653	3.40680	3.46196	3.38518	3.42361	3.40279	3.38137	3.37772	3.44615	3.37964	3.51451	3.55194	3.39732	3.37616	3.44483	3.41525	3.41505	3.38356	3.41573	3.48475	3.41969	3.38110	3.40276	3.63358	3.39590	3.37772	3.42815	3.39733	3.41844	3.38342	3.41976	3.57141	3.38255
0.0010476	3.38043	3.26109	3.49978	3.39493	3.31955	3.51809	3.35845	3.48745	3.34223	3.34430	3.37950	3.33557	3.47749	3.53540	3.31520	3.40214	3.33745	3.35274	3.38258	3.33833	3.34966	3.36027	3.40114	3.33406	3.38026	3.36591	3.33088	3.32268	3.40469	3.33242	3.48153	3.48109	3.35425	3.31970	3.40520	3.36962	3.37221	3.32898	3.37331	3.42136	3.37016	3.32175	3.35203	3.55752	3.35425	3.32062	3.38137	3.34586	3.37064	3.33049	3.37778	3.49935	3.32924
0.0011768	3.31813	3.20592	3.43034	3.33381	3.25078	3.44302	3.29905	3.41996	3.28136	3.28529	3.32141	3.27462	3.40688	3.45892	3.24783	3.34882	3.27657	3.29612	3.32454	3.27718	3.29485	3.30230	3.33308	3.27183	3.32304	3.31380	3.27089	3.25774	3.34935	3.27209	3.42592	3.40325	3.29691	3.25378	3.35271	3.31107	3.31654	3.26393	3.31764	3.35196	3.30757	3.25763	3.28920	3.47488	3.29862	3.25483	3.32257	3.28232	3.30867	3.27002	3.32300	3.41934	3.26893
0.0013219	3.24678	3.14232	3.35124	3.26298	3.17603	3.35822	3.22876	3.33439	3.21076	3.21697	3.25174	3.20543	3.32904	3.37537	3.17691	3.28450	3.20637	3.22880	3.25806	3.20724	3.23256	3.23536	3.25864	3.20157	3.25443	3.25053	3.20346	3.18607	3.28293	3.20259	3.34976	3.32055	3.22900	3.18140	3.28935	3.24214	3.25046	3.19116	3.25116	3.27626	3.23422	3.18885	3.21731	3.38651	3.23245	3.18267	3.25416	3.20954	3.23566	3.20274	3.25811	3.33319	3.20246
0.0014850	3.16928	3.07343	3.26514	3.18528	3.09857	3.26707	3.15145	3.23951	3.13393	3.14257	3.17373	3.13111	3.24589	3.28668	3.10338	3.21165	3.13003	3.15466	3.18556	3.13197	3.16428	3.16218	3.17940	3.12667	3.17748	3.17938	3.13113	3.11062	3.20830	3.12746	3.25923	3.23451	3.15399	3.10560	3.21730	3.16588	3.17678	3.11380	3.17669	3.19536	3.15321	3.11643	3.13991	3.29359	3.15888	3.10685	3.17917	3.13114	3.15500	3.13046	3.18590	3.24284	3.13170
0.0016681	3.08883	3.00251	3.17514	3.10384	3.02141	3.17269	3.07097	3.14209	3.05463	3.06553	3.09117	3.05485	3.15966	3.19462	3.02914	3.13315	3.05103	3.07724	3.10962	3.05491	3.09229	3.08577	3.09762	3.05054	3.09581	3.10340	3.05673	3.03425	3.12858	3.05009	3.16160	3.14669	3.07536	3.02937	3.13920	3.08575	3.09874	3.03528	3.09754	3.11153	3.06850	3.04239	3.06061	3.19794	3.08124	3.03029	3.10089	3.05118	3.07064	3.05580	3.10931	3.15073	3.05913
0.0018738	3.00857	2.93276	3.08438	3.02199	2.94709	3.07823	2.99092	3.04673	2.97653	2.98915	3.00812	2.97958	3.07279	3.10144	2.95649	3.05207	2.97294	2.99971	3.03294	2.97917	3.01919	3.00916	3.01605	2.97602	3.01331	3.02567	2.98298	2.95969	3.04691	2.97363	3.06313	3.05900	2.99659	2.95537	3.05804	3.00539	3.01972	2.95885	3.01725	3.02778	2.98442	2.96922	2.98266	3.10191	3.00295	2.95576	3.02233	2.97329	2.98680	2.98163	3.03114	3.05961	2.98720
0.0021049	2.93117	2.86666	2.99568	2.94263	2.87736	2.98663	2.91420	2.95664	2.90249	2.91595	2.92816	2.90758	2.98762	3.00953	2.88741	2.97121	2.89874	2.92462	2.95781	2.90704	2.94724	2.93488	2.93733	2.90503	2.93349	2.94898	2.91204	2.88907	2.96603	2.90062	2.96859	2.97355	2.92070	2.88550	2.97667	2.92795	2.94270	2.88690	2.93897	2.94700	2.90475	2.89918	2.90851	3.00803	2.92702	2.88534	2.94574	2.89996	2.90724	2.91042	2.95373	2.97190	2.91780
0.0023645	2.85827	2.80552	2.91103	2.86771	2.81300	2.90015	2.84259	2.87370	2.83407	2.84732	2.85367	2.84014	2.90581	2.92097	2.82304	2.89260	2.83012	2.85354	2.88548	2.83964	2.87766	2.86434	2.86329	2.83854	2.85862	2.87530	2.84507	2.82358	2.88787	2.83255	2.88118	2.89205	2.84963	2.82073	2.89724	2.85545	2.86953	2.82060	2.86474	2.87114	2.83176	2.83363	2.83956	2.91837	2.85541	2.82006	2.87240	2.83232	2.83429	2.84354	2.87865	2.88917	2.85175
0.0026561	2.79032	2.74944	2.83121	2.79783	2.75389	2.81995	2.77661	2.79839	2.77141	2.78332	2.78541	2.77740	2.82799	2.83706	2.76356	2.81733	2.76734	2.78692	2.81589	2.77701	2.81041	2.79769	2.79448	2.77651	2.78947	2.80540	2.78212	2.76335	2.81340	2.76973	2.80224	2.81544	2.78394	2.76106	2.82097	2.78843	2.80070	2.75994	2.79523	2.80067	2.76597	2.77281	2.77600	2.83418	2.78874	2.75998	2.80257	2.77033	2.76854	2.78114	2.80669	2.81198	2.78879
0.0029836	2.72677	2.69756	2.75597	2.73243	2.69933	2.74598	2.71573	2.72998	2.71356	2.72301	2.72268	2.71854	2.75394	2.75836	2.70822	2.74580	2.70954	2.72432	2.74806	2.71822	2.74452	2.73401	2.73027	2.71809	2.72547	2.73896	2.72235	2.70760	2.74285	2.71150	2.73139	2.74379	2.72288	2.70574	2.74827	2.72611	2.73550	2.70410	2.73003	2.73477	2.70648	2.71589	2.71699	2.75584	2.72636	2.70437	2.73595	2.71303	2.70907	2.72223	2.73810	2.74019	2.72791
0.0033516	2.66644	2.64821	2.68466	2.67027	2.64812	2.67738	2.65872	2.66702	2.65872	2.66492	2.66382	2.66209	2.68320	2.68486	2.65547	2.67793	2.65515	2.66477	2.68114	2.66179	2.67917	2.67210	2.66921	2.66186	2.66525	2.67496	2.66451	2.65477	2.67603	2.65651	2.66712	2.67654	2.66475	2.65332	2.67923	2.66683	2.67272	2.65161	2.66817	2.67194	2.65165	2.66111	2.66093	2.68308	2.66679	2.65192	2.67213	2.65870	2.65409	2.66512	2.67291	2.67337	2.66814
0.0037649	2.60811	2.59921	2.61701	2.61011	2.59835	2.61297	2.60401	2.60800	2.60469	2.60782	2.60680	2.60649	2.61590	2.61637	2.60316	2.61347	2.60225	2.60734	2.61553	2.60639	2.61469	2.61128	2.60974	2.60641	2.60737	2.61256	2.60765	2.60260	2.61256	2.60307	2.60766	2.61283	2.60763	2.60177	2.61385	2.60871	2.61147	2.60044	2.60882	2.61093	2.59947	2.60635	2.60591	2.61542	2.60850	2.60079	2.61093	2.60506	2.60152	2.60821	2.61109	2.61109	2.60941
0.0042292	2.55101	2.54844	2.55357	2.55139	2.54762	2.55191	2.55018	2.55190	2.54980	2.55131	2.55020	2.55087	2.55264	2.55273	2.54942	2.55218	2.54923	2.55148	2.55266	2.55167	2.55246	2.55181	2.55113	2.55096	2.55090	2.55187	2.55162	2.54908	2.55208	2.54974	2.55168	2.55203	2.55055	2.54917	2.55216	2.55084	2.55171	2.54836	2.55173	2.55149	2.54782	2.55037	2.55049	2.55245	2.55077	2.54903	2.55217	2.55021	2.54971	2.55094	2.55238	2.55284	2.55260
0.0047508	2.49522	2.49236	2.49807	2.49446	2.49467	2.49404	2.49634	2.49845	2.49427	2.49585	2.49415	2.49542	2.49381	2.49379	2.49439	2.49413	2.49572	2.49704	2.49379	2.49839	2.49381	2.49448	2.49400	2.49564	2.49575	2.49387	2.49683	2.49418	2.49445	2.49606	2.49853	2.49413	2.49421	2.49506	2.49417	2.49395	2.49420	2.49455	2.49717	2.49424	2.49531	2.49410	2.49476	2.49390	2.49421	2.49565	2.49551	2.49436	2.49836	2.49429	2.49612	2.49768	2.49865
0.0053367	2.44162	2.43687	2.44637	2.44033	2.44119	2.43980	2.44275	2.44796	2.44027	2.44215	2.44022	2.44139	2.43948	2.43942	2.44043	2.43979	2.44282	2.44392	2.43941	2.44738	2.43944	2.44025	2.43982	2.44156	2.44241	2.43961	2.44358	2.44032	2.44014	2.44287	2.44666	2.43979	2.44028	2.44128	2.44000	2.43981	2.43996	2.44087	2.44563	2.44012	2.44244	2.43995	2.44056	2.43966	2.44023	2.44190	2.44119	2.44010	2.44792	2.44010	2.44197	2.44394	2.44805
0.0059948	2.39158	2.38625	2.39690	2.39033	2.39074	2.39001	2.39171	2.40106	2.39023	2.39163	2.39028	2.39089	2.38986	2.38981	2.39031	2.38999	2.39248	2.39295	2.38981	2.39853	2.38981	2.39028	2.39000	2.39095	2.39205	2.38991	2.39278	2.39028	2.39017	2.39218	2.39391	2.38997	2.39037	2.39081	2.39021	2.39000	2.39009	2.39055	2.39797	2.39023	2.39184	2.39005	2.39033	2.39000	2.39032	2.39109	2.39072	2.39007	2.39662	2.39014	2.39122	2.39224	2.40109
0.0067342	2.34694	2.34126	2.35261	2.34593	2.34604	2.34581	2.34639	2.35866	2.34587	2.34649	2.34592	2.34611	2.34577	2.34575	2.34589	2.34580	2.34710	2.34702	2.34575	2.35157	2.34575	2.34591	2.34580	2.34611	2.34680	2.34578	2.34701	2.34590	2.34586	2.34675	2.34677	2.34579	2.34598	2.34608	2.34592	2.34580	2.34584	2.34597	2.35651	2.34590	2.34658	2.34581	2.34589	2.34584	2.34595	2.34614	2.34603	2.34580	2.34799	2.34584	2.34621	2.34645	2.35827
0.0075646	2.30919	2.30424	2.31413	2.30847	2.30849	2.30844	2.30857	2.31822	2.30845	2.30862	2.30847	2.30851	2.30843	2.30843	2.30846	2.30844	2.30889	2.30874	2.30843	2.31038	2.30843	2.30847	2.30844	2.30850	2.30874	2.30844	2.30877	2.30846	2.30845	2.30870	2.30858	2.30843	2.30849	2.30850	2.30848	2.30844	2.30845	2.30847	2.31918	2.30847	2.30865	2.30844	2.30845	2.30846	2.30848	2.30851	2.30849	2.30843	2.30884	2.30845	2.30853	2.30855	2.31987
