p	mean	conf_05	conf_95	trace_00	trace_01	trace_02	trace_03	trace_04	trace_05	trace_06	trace_07	trace_08	trace_09	trace_10	trace_11	trace_12	trace_13	trace_14	trace_15	trace_16	trace_17	trace_18	trace_19	trace_20	trace_21	trace_22	trace_23	trace_24	trace_25	trace_26	trace_27	trace_28	trace_29	trace_30	trace_31	trace_32	trace_33	trace_34	trace_35	trace_36	trace_37	trace_38	trace_39	trace_40	trace_41	trace_42	trace_43	trace_44	trace_45	trace_46	trace_47	trace_48	trace_49
0.65657	0.06746	0.00309	0.15291638672351837	0.11603	0.01741	0.02960	0.02301	0.21909	0.00030	0.00947	0.06432	0.01545	0.06721	0.02290	0.04484	0.03253	0.07473	0.06458	0.15139	0.07471	0.33824	0.03188	0.09343	0.00102	0.04243	0.05470	0.02972	0.12388	0.00096	0.00608	0.16666	0.10377	0.22458	0.07069	0.03239	0.05751	0.00054	0.05024	0.03562	0.02313	0.04549	0.00323	0.00670	0.09738	0.04308	0.02699	0.02989	0.00184	0.06969	0.15055	0.02338	0.04425	0.31550
0.66667	0.05919	0.01161	0.09210574626922607	0.05083	0.04854	0.03091	0.04872	0.13112	0.05600	0.01666	0.07490	0.05003	0.05423	0.08228	0.05366	0.05110	0.06224	0.04466	0.00930	0.05481	0.01039	0.01175	0.07078	0.09067	0.02825	0.04964	0.04775	0.20795	0.02686	0.09618	0.09165	0.04143	0.32722	0.02724	0.02739	0.07328	0.00016	0.05497	0.04608	0.25926	0.03799	0.00265	0.03503	0.07048	0.04255	0.05337	0.01772	0.00437	0.04620	0.03634	0.02973	0.03881	0.03553
0.67677	0.05628	0.02322	0.10357993841171265	0.05408	0.02323	0.04997	0.04748	0.23560	0.13210	0.05371	0.10585	0.05969	0.06124	0.03796	0.02315	0.06703	0.10333	0.04009	0.03150	0.05743	0.03512	0.03342	0.05843	0.04280	0.00396	0.05168	0.04943	0.22709	0.02557	0.00826	0.05183	0.03780	0.13418	0.03041	0.00270	0.04563	0.00003	0.04930	0.03531	0.10113	0.04163	0.06828	0.04375	0.04551	0.04183	0.05429	0.02927	0.08835	0.03505	0.05596	0.03200	0.03271	0.03786
0.68687	0.06100	0.02690	0.10558151453733444	0.06322	0.02967	0.03511	0.06239	0.19333	0.13744	0.04899	0.06368	0.08920	0.06092	0.02681	0.07735	0.07935	0.03054	0.04451	0.03806	0.02849	0.01503	0.03915	0.09550	0.04470	0.04123	0.04876	0.04339	0.04664	0.03053	0.00263	0.05903	0.06477	0.04810	0.01902	0.04009	0.08438	0.01680	0.04715	0.03279	0.03397	0.10310	0.06180	0.04419	0.09957	0.16263	0.02759	0.05533	0.12792	0.07661	0.20941	0.02854	0.02691	0.06359
0.69697	0.05517	0.02918	0.09071067720651627	0.05273	0.03075	0.03692	0.10737	0.22885	0.00885	0.06690	0.06657	0.10904	0.04105	0.03593	0.08081	0.04265	0.02967	0.04784	0.02479	0.06405	0.01262	0.04352	0.08304	0.11034	0.04238	0.05404	0.04085	0.05059	0.03006	0.00446	0.05802	0.07122	0.03632	0.03028	0.06121	0.04104	0.03060	0.05801	0.04759	0.06587	0.05784	0.04051	0.03863	0.05281	0.03514	0.05644	0.06903	0.08886	0.03024	0.11591	0.06268	0.02169	0.04194
0.70707	0.05545	0.03332	0.09475470334291458	0.07850	0.04455	0.05368	0.06294	0.11831	0.03498	0.09457	0.09835	0.06945	0.04790	0.04546	0.05448	0.05868	0.04096	0.05093	0.03872	0.02885	0.06220	0.05199	0.03795	0.07317	0.04190	0.04162	0.11521	0.05543	0.03409	0.00542	0.06631	0.04505	0.00995	0.06779	0.11226	0.04639	0.01953	0.04466	0.05371	0.03779	0.05351	0.03515	0.04075	0.05706	0.05410	0.08104	0.08747	0.09639	0.03381	0.06441	0.04684	0.01994	0.05833
0.71717	0.04991	0.02243	0.08205680549144745	0.03994	0.02917	0.04197	0.26706	0.08161	0.02758	0.03483	0.07151	0.06922	0.05715	0.03663	0.03652	0.08611	0.08622	0.03661	0.00603	0.08040	0.01209	0.03508	0.08691	0.11078	0.04183	0.03527	0.03298	0.04380	0.02006	0.01455	0.04661	0.02561	0.05465	0.05548	0.03823	0.04325	0.04527	0.03882	0.03889	0.02421	0.03536	0.03032	0.02269	0.06579	0.07730	0.03896	0.03346	0.03241	0.06889	0.07083	0.03302	0.01572	0.03800
0.72727	0.04642	0.02231	0.07265370339155197	0.05180	0.04665	0.04255	0.03682	0.07255	0.03173	0.08267	0.12560	0.05868	0.05464	0.03975	0.04779	0.07113	0.02308	0.03687	0.05167	0.04190	0.00164	0.04131	0.04225	0.10633	0.03330	0.04257	0.04311	0.04851	0.04132	0.01537	0.04639	0.02782	0.00514	0.04351	0.10089	0.06441	0.04219	0.03794	0.04063	0.04669	0.04266	0.02490	0.04209	0.03000	0.04259	0.07250	0.03228	0.06476	0.07361	0.00566	0.05760	0.01416	0.03119
0.73737	0.04932	0.02571	0.07664799690246582	0.04461	0.03859	0.03409	0.03480	0.07446	0.07555	0.06724	0.17476	0.04693	0.03016	0.04135	0.03711	0.04354	0.06106	0.03806	0.04159	0.03579	0.04389	0.03721	0.04227	0.09128	0.04479	0.04539	0.03975	0.03418	0.02429	0.04801	0.07114	0.03047	0.08656	0.04877	0.06644	0.02652	0.02379	0.03977	0.04418	0.02587	0.04508	0.09283	0.02325	0.03377	0.06075	0.05590	0.05722	0.04319	0.09181	0.00052	0.06260	0.02347	0.04130
0.74747	0.04853	0.02560	0.0722251683473587	0.04343	0.03009	0.03323	0.04001	0.02936	0.02170	0.09782	0.05062	0.05866	0.02794	0.04279	0.02869	0.04809	0.02578	0.03788	0.04447	0.08933	0.04501	0.04176	0.03435	0.07032	0.04223	0.04428	0.04429	0.04378	0.05011	0.01827	0.19145	0.04521	0.03854	0.04844	0.13045	0.02404	0.02403	0.03951	0.03329	0.04931	0.03466	0.03007	0.04629	0.04831	0.04708	0.05197	0.05574	0.06819	0.10621	0.03580	0.03837	0.01468	0.04060
