p	mean	conf_05	conf_95	trace_00	trace_01	trace_02	trace_03	trace_04	trace_05	trace_06	trace_07	trace_08	trace_09	trace_10	trace_11	trace_12	trace_13	trace_14	trace_15	trace_16	trace_17	trace_18	trace_19	trace_20	trace_21	trace_22	trace_23	trace_24	trace_25	trace_26	trace_27	trace_28	trace_29	trace_30	trace_31	trace_32	trace_33	trace_34	trace_35	trace_36	trace_37	trace_38	trace_39	trace_40	trace_41	trace_42	trace_43	trace_44	trace_45	trace_46	trace_47	trace_48	trace_49
0.00000	2.04917	2.03787	2.0583462715148926	2.05826	2.05093	2.05503	2.06540	2.03554	2.05911	2.04955	2.05759	2.04845	2.05642	2.06399	2.04324	2.04134	2.03164	2.05631	2.03760	2.05367	2.04826	2.04357	2.03115	2.04396	2.05618	2.05606	2.05139	2.04827	2.05066	2.05321	2.04599	2.04088	2.05047	2.05262	2.03790	2.05068	2.05030	2.05387	2.04607	2.03882	2.04594	2.04032	2.05467	2.05601	2.05428	2.04860	2.06007	2.06253	2.04046	2.05588	2.04616	2.04856	2.03061
0.01010	2.05332	2.03533	2.0709269046783447	2.07299	2.04058	2.06340	2.07269	2.05056	2.07338	2.06383	2.04736	2.06335	2.07022	2.07746	2.05815	2.03055	2.04669	2.06326	2.05254	2.04261	2.03601	2.05747	2.04599	2.03277	2.07073	2.04443	2.03946	2.06283	2.04029	2.06773	2.06124	2.05480	2.03925	2.06674	2.02628	2.06616	2.06529	2.06814	2.03544	2.05356	2.03430	2.05575	2.03792	2.04493	2.06807	2.03886	2.07411	2.06931	2.05459	2.04561	2.06173	2.03766	2.01881
0.02020	2.07932	2.06170	2.095730781555176	2.09852	2.06947	2.08983	2.07666	2.07728	2.09830	2.08884	2.07592	2.08991	2.09467	2.10094	2.08487	2.06063	2.07453	2.08872	2.07902	2.09318	2.06211	2.08206	2.04968	2.06171	2.09572	2.07192	2.06574	2.08836	2.09250	2.09397	2.06604	2.08088	2.06708	2.09166	2.05450	2.09335	2.09122	2.09408	2.06483	2.07935	2.06373	2.06161	2.06857	2.07239	2.09228	2.06942	2.09862	2.07143	2.08089	2.09579	2.08920	2.06646	2.04738
0.03030	2.12087	2.10473	2.1372628211975098	2.11746	2.11202	2.13280	2.13805	2.12224	2.13910	2.10662	2.11789	2.13264	2.13612	2.14056	2.12827	2.10492	2.12006	2.13085	2.12304	2.11156	2.09870	2.10187	2.11721	2.10491	2.13658	2.11212	2.10537	2.13063	2.13465	2.13548	2.13132	2.10311	2.10777	2.13336	2.09645	2.13600	2.13890	2.13718	2.10775	2.12261	2.13127	2.10729	2.11297	2.11316	2.13301	2.11352	2.13895	2.11246	2.12499	2.11700	2.13281	2.10957	2.09047
0.04040	2.16972	2.15442	2.1840014457702637	2.18686	2.18295	2.18270	2.17042	2.15433	2.16872	2.17811	2.18744	2.16277	2.16639	2.16922	2.16118	2.17701	2.15356	2.15980	2.15443	2.18225	2.17209	2.15407	2.15088	2.17724	2.16287	2.18535	2.17648	2.16091	2.18169	2.16607	2.16508	2.15683	2.17918	2.16356	2.16972	2.18516	2.16443	2.16958	2.15900	2.15066	2.16431	2.16173	2.18387	2.18336	2.16193	2.18378	2.16366	2.18175	2.16015	2.18609	2.16089	2.18037	2.16525
0.05051	2.22700	2.21339	2.2399377822875977	2.22189	2.22187	2.23763	2.24382	2.23143	2.22480	2.21230	2.22527	2.21949	2.23849	2.24041	2.21976	2.23218	2.23270	2.23504	2.22986	2.21666	2.21197	2.22910	2.22786	2.21570	2.23755	2.21494	2.20755	2.21946	2.23293	2.24079	2.23858	2.23161	2.21456	2.23774	2.20211	2.22417	2.21890	2.24242	2.23403	2.22603	2.24306	2.22009	2.23878	2.21711	2.23594	2.23989	2.23693	2.23479	2.23787	2.22419	2.21351	2.21964	2.19648
0.06061	2.28484	2.27322	2.299734115600586	2.28054	2.28442	2.29379	2.30411	2.27769	2.28538	2.27496	2.28511	2.29363	2.29341	2.29484	2.29437	2.27308	2.29746	2.29327	2.28725	2.28026	2.27532	2.28490	2.28701	2.27755	2.29538	2.27323	2.26721	2.28209	2.28812	2.30005	2.29692	2.28916	2.27741	2.29677	2.28019	2.29645	2.27973	2.30197	2.27812	2.27557	2.30362	2.28123	2.28296	2.29000	2.27930	2.29970	2.27609	2.25081	2.30132	2.29619	2.26636	2.27949	2.23841
0.07071	2.34580	2.32756	2.3588738441467285	2.35063	2.35856	2.33826	2.35762	2.35111	2.35777	2.34894	2.35630	2.34083	2.33476	2.33684	2.34563	2.34147	2.35357	2.35360	2.33162	2.35422	2.33860	2.32084	2.33505	2.35117	2.35475	2.34581	2.34224	2.35585	2.32773	2.36117	2.35871	2.33438	2.35090	2.36034	2.31994	2.34351	2.35074	2.36522	2.35115	2.32044	2.35576	2.35326	2.35451	2.32601	2.35144	2.36379	2.34633	2.35091	2.36374	2.34206	2.33332	2.33770	2.31095
0.08081	2.40477	2.38227	2.4260177612304688	2.40578	2.42176	2.39475	2.42797	2.41052	2.41031	2.39875	2.41487	2.40369	2.38557	2.40239	2.41109	2.38741	2.42702	2.41388	2.39997	2.41549	2.40305	2.38048	2.39536	2.41241	2.41418	2.40154	2.40145	2.40953	2.38377	2.42303	2.41969	2.39192	2.40027	2.42491	2.37794	2.40355	2.39628	2.42975	2.41007	2.38245	2.42591	2.41293	2.41435	2.37019	2.40980	2.42911	2.40045	2.39996	2.43324	2.40210	2.37161	2.39558	2.38060
0.09091	2.46321	2.44068	2.4867148399353027	2.45109	2.48409	2.45872	2.48657	2.45994	2.48037	2.46130	2.46538	2.47428	2.45025	2.43761	2.48208	2.41994	2.48799	2.46530	2.44103	2.46806	2.45948	2.43281	2.45428	2.46621	2.47269	2.44682	2.45161	2.48070	2.45065	2.47681	2.47793	2.45692	2.46172	2.48800	2.44585	2.46337	2.46436	2.49146	2.45947	2.45187	2.48505	2.46549	2.46709	2.43180	2.45971	2.49164	2.44557	2.46188	2.49816	2.47130	2.43738	2.46200	2.45621
0.10101	2.52176	2.49860	2.540914535522461	2.51787	2.54469	2.50245	2.53783	2.52612	2.53424	2.52291	2.53247	2.52798	2.49530	2.46946	2.53692	2.49374	2.54072	2.53256	2.49755	2.53548	2.50663	2.50776	2.52080	2.53527	2.53144	2.51449	2.52202	2.53567	2.49872	2.53600	2.53453	2.50239	2.52295	2.54264	2.50149	2.53047	2.51495	2.55043	2.52676	2.50030	2.53632	2.53413	2.53514	2.48480	2.52776	2.54518	2.51543	2.52454	2.55445	2.52450	2.50076	2.51071	2.51036
0.11111	2.58044	2.56112	2.600027084350586	2.57083	2.59598	2.56805	2.60001	2.58446	2.59901	2.59094	2.58485	2.59465	2.54360	2.53010	2.60063	2.54954	2.60246	2.58444	2.53299	2.58740	2.56484	2.56479	2.57278	2.58834	2.58326	2.56804	2.57609	2.60019	2.57054	2.59971	2.58346	2.56917	2.59116	2.60429	2.56241	2.59011	2.58393	2.59974	2.57888	2.57086	2.59937	2.58744	2.58760	2.52660	2.58850	2.59964	2.56999	2.58635	2.60694	2.59257	2.57362	2.57900	2.58197
0.12121	2.63965	2.62399	2.65470814704895	2.64143	2.65471	2.62311	2.65383	2.63594	2.64791	2.64293	2.65108	2.64496	2.60167	2.59351	2.64777	2.62656	2.65471	2.64254	2.60626	2.65099	2.63608	2.63123	2.64222	2.65167	2.64912	2.63322	2.64441	2.64809	2.62698	2.65416	2.64714	2.62408	2.64423	2.65536	2.62806	2.64289	2.63844	2.65557	2.64602	2.62841	2.65433	2.65135	2.65121	2.60400	2.64261	2.65530	2.63314	2.64526	2.65631	2.64487	2.62839	2.63187	2.63645
0.13131	2.70018	2.69262	2.7065908908843994	2.70554	2.70360	2.69208	2.70686	2.69645	2.70005	2.70004	2.71033	2.69934	2.68434	2.68401	2.69635	2.69778	2.70424	2.69964	2.69268	2.70612	2.69632	2.70364	2.70570	2.70529	2.70812	2.69969	2.70460	2.69773	2.69340	2.70656	2.70603	2.69119	2.70248	2.70249	2.69879	2.70198	2.70079	2.69656	2.70656	2.69674	2.70881	2.70550	2.70617	2.68702	2.70289	2.70203	2.69610	2.70691	2.70444	2.70134	2.69283	2.69402	2.69701
0.14141	2.76246	2.75223	2.772705554962158	2.77297	2.75139	2.76900	2.76150	2.76198	2.75233	2.75764	2.76588	2.75378	2.76884	2.76927	2.74366	2.77268	2.75366	2.75823	2.77498	2.75506	2.76863	2.77051	2.77347	2.75804	2.76995	2.76965	2.75908	2.75261	2.76310	2.75924	2.77080	2.77046	2.76163	2.74868	2.77580	2.76343	2.77266	2.74313	2.77000	2.77057	2.76562	2.75887	2.76181	2.77636	2.76492	2.74827	2.76124	2.75490	2.75458	2.76403	2.76014	2.76011	2.75763
0.15152	2.82639	2.80136	2.8495190143585205	2.84332	2.79994	2.84926	2.81893	2.83157	2.81250	2.81538	2.83086	2.80834	2.85061	2.85852	2.79046	2.84940	2.80457	2.81781	2.85378	2.81073	2.84882	2.83844	2.84490	2.81108	2.83535	2.84072	2.82014	2.80196	2.83369	2.81342	2.84231	2.84587	2.82146	2.79584	2.85633	2.82677	2.84054	2.79048	2.83651	2.84721	2.82636	2.81263	2.81948	2.86690	2.82798	2.79569	2.82716	2.80918	2.80152	2.82075	2.82831	2.82848	2.81716
0.16162	2.89080	2.84889	2.9338929653167725	2.90574	2.84151	2.93940	2.87021	2.91304	2.86777	2.88179	2.89852	2.87163	2.93867	2.94521	2.84547	2.91652	2.84907	2.88669	2.91974	2.87504	2.91161	2.89720	2.91695	2.85615	2.89430	2.92025	2.88074	2.85208	2.91309	2.86060	2.90947	2.91205	2.89044	2.83631	2.93639	2.90021	2.90080	2.84730	2.89580	2.93362	2.88196	2.85833	2.87027	2.94646	2.90014	2.83652	2.90208	2.87230	2.86682	2.87719	2.90542	2.90724	2.88384
