p	mean	conf_05	conf_95	trace_00	trace_01	trace_02	trace_03	trace_04	trace_05	trace_06	trace_07	trace_08	trace_09	trace_10	trace_11	trace_12	trace_13	trace_14	trace_15	trace_16	trace_17	trace_18	trace_19	trace_20	trace_21	trace_22	trace_23	trace_24	trace_25	trace_26	trace_27	trace_28	trace_29	trace_30	trace_31	trace_32	trace_33	trace_34	trace_35	trace_36	trace_37	trace_38	trace_39	trace_40	trace_41	trace_42	trace_43	trace_44	trace_45	trace_46	trace_47	trace_48	trace_49
0.15152	3.53923	3.11838	3.60650897026062	3.54211	3.17332	3.71031	3.38974	3.54911	3.25669	3.22899	3.58550	3.26921	3.62598	3.59984	3.03330	3.43481	3.27395	3.31648	3.51909	3.25616	3.30819	3.35800	3.48834	3.11184	3.57348	3.42634	3.18817	3.10829	3.45834	3.22916	3.64482	3.54544	3.37870	3.11911	3.54532	3.52576	3.52196	3.17038	3.42624	3.58401	3.67975	3.12321	3.41782	3.75726	3.29886	3.10247	3.52648	3.30768	3.60435	3.22435	3.41447	3.59089	3.06085
0.16162	3.56696	3.19890	3.6786763668060303	3.62263	3.25802	3.78114	3.47903	3.62344	3.34140	3.31473	3.63669	3.36018	3.68591	3.67731	3.11115	3.51421	3.36140	3.39304	3.61874	3.34062	3.36390	3.45801	3.59545	3.19213	3.62813	3.45152	3.25988	3.20282	3.55644	3.30188	3.67796	3.61984	3.45154	3.19919	3.61934	3.62528	3.58707	3.26232	3.49118	3.65543	3.78444	3.19634	3.50429	3.82630	3.35922	3.18822	3.61677	3.41685	3.68513	3.29039	3.48171	3.66154	3.13153
0.17172	3.57900	3.27134	3.718855381011963	3.68843	3.33349	3.82230	3.53038	3.67634	3.40965	3.38356	3.65649	3.43712	3.75454	3.69260	3.17052	3.57245	3.43478	3.44570	3.70285	3.41088	3.37304	3.54226	3.70750	3.26275	3.65649	3.47144	3.32292	3.28019	3.62090	3.36087	3.65944	3.70172	3.48118	3.26929	3.66694	3.67413	3.65992	3.34207	3.53484	3.71589	3.84423	3.27157	3.61447	3.87539	3.39736	3.26483	3.68948	3.51292	3.74551	3.34064	3.53437	3.70451	3.19762
0.18182	3.57612	3.33496	3.7904908657073975	3.76138	3.41957	3.80834	3.53874	3.73185	3.48301	3.41717	3.67304	3.48138	3.83454	3.70925	3.24815	3.63095	3.51476	3.45641	3.79614	3.44857	3.40091	3.63609	3.75658	3.33752	3.63707	3.48960	3.39489	3.33211	3.64656	3.40526	3.59857	3.78986	3.52655	3.31441	3.66795	3.75247	3.69233	3.39251	3.58019	3.76589	3.85808	3.30810	3.68627	3.92931	3.39878	3.33527	3.71911	3.57091	3.75690	3.40143	3.59362	3.69905	3.27492
0.19192	3.55913	3.38726	3.8155972957611084	3.76693	3.47915	3.81093	3.56967	3.72146	3.49800	3.46982	3.61424	3.55596	3.85457	3.70715	3.31134	3.62069	3.56009	3.48111	3.82406	3.49146	3.40142	3.66770	3.81223	3.36894	3.64495	3.45482	3.42646	3.38929	3.70477	3.45284	3.56192	3.81466	3.52938	3.36487	3.69423	3.75612	3.68290	3.47132	3.56464	3.82928	3.90312	3.36527	3.73772	3.93928	3.39722	3.40012	3.75431	3.63475	3.76766	3.43898	3.61635	3.69321	3.32036
0.20202	3.52934	3.39975	3.859285354614258	3.77234	3.50823	3.75821	3.55935	3.71666	3.51836	3.48650	3.56266	3.59984	3.88480	3.68754	3.35436	3.63105	3.59002	3.46699	3.88219	3.54110	3.38176	3.73697	3.87197	3.40068	3.61224	3.42517	3.46983	3.45623	3.72255	3.46638	3.50113	3.83022	3.49145	3.40636	3.65531	3.76601	3.68458	3.52156	3.55369	3.85788	3.90044	3.38558	3.74348	3.90922	3.39138	3.44083	3.79243	3.69977	3.76858	3.45039	3.60307	3.68720	3.37914
0.21212	3.48814	3.43308	3.874328851699829	3.77154	3.54883	3.67838	3.53197	3.69491	3.52214	3.48482	3.50329	3.63491	3.89770	3.65208	3.41328	3.59421	3.60413	3.43674	3.89505	3.55330	3.38586	3.76827	3.87495	3.41384	3.56752	3.38792	3.50873	3.49388	3.72268	3.46250	3.44133	3.82338	3.45346	3.43666	3.61934	3.75529	3.67010	3.56264	3.54524	3.87432	3.87443	3.43522	3.74657	3.88151	3.35844	3.49494	3.78084	3.69740	3.68131	3.47273	3.59445	3.64297	3.43581
0.22222	3.43810	3.40314	3.824474811553955	3.70114	3.57843	3.56658	3.47453	3.67476	3.52941	3.44865	3.46121	3.63970	3.90299	3.60441	3.47200	3.53394	3.60145	3.38408	3.86058	3.54446	3.40342	3.76114	3.89645	3.40594	3.49747	3.35811	3.54460	3.51760	3.68275	3.42581	3.38583	3.74064	3.40060	3.45492	3.58203	3.74746	3.66034	3.57079	3.50252	3.85855	3.82323	3.45304	3.72289	3.83564	3.31855	3.56394	3.74070	3.70805	3.61638	3.48887	3.58505	3.56942	3.48961
0.23232	3.38167	3.37279	3.763650417327881	3.64551	3.59272	3.47738	3.44163	3.60392	3.49853	3.42600	3.40344	3.65649	3.86962	3.54815	3.52904	3.45582	3.57985	3.35165	3.81819	3.51161	3.42859	3.76284	3.88277	3.37513	3.46082	3.31270	3.57829	3.52519	3.64508	3.40008	3.33475	3.63838	3.34063	3.45669	3.49529	3.69664	3.61028	3.61023	3.44885	3.84498	3.74799	3.45827	3.66853	3.77094	3.27305	3.58314	3.67021	3.66990	3.51558	3.49448	3.52130	3.50610	3.53668
0.24242	3.32186	3.32337	3.697573661804199	3.55621	3.58697	3.40187	3.38932	3.53661	3.43827	3.37350	3.35045	3.67816	3.81284	3.48710	3.57980	3.37066	3.53968	3.30869	3.74089	3.45147	3.44427	3.74596	3.85180	3.32500	3.39416	3.27974	3.61147	3.51327	3.60474	3.34570	3.28789	3.52366	3.28264	3.45287	3.41873	3.61233	3.54359	3.61164	3.38951	3.81009	3.65280	3.42588	3.58434	3.69276	3.23899	3.60736	3.57010	3.59770	3.42304	3.48678	3.46630	3.44116	3.57232
