p	err
0.01	0.6371068055618508
0.02	0.6314966288015229
0.03	0.6277713886938403
0.04	0.6251200929402846
0.05	0.6231384821766117
0.06	0.6216024873472555
0.07	0.6203779130797084
0.08	0.6193794904196744
0.09	0.6185504454584213
0.1	0.6178515164634946
0.11	0.6172546868514776
0.12	0.6167394295054769
0.13	0.6162903619137745
0.14	0.615895730283066
0.15	0.6155463997560473
0.16	0.6152351640002762
0.17	0.6149562622302429
0.18	0.6147050344237998
0.19	0.6144776707039261
0.2	0.6142710261901171
0.21	0.6140824822003415
0.22	0.6139098408097016
0.23	0.6137512437745336
0.24	0.6136051094976794
0.25	0.6134700835195215
0.26	0.6133449992662933
0.27	0.6132288466596623
0.28	0.6131207468105178
0.29	0.6130199314645973
0.3	0.6129257261908898
0.31	0.6128375365414085
0.32	0.6127548365874056
0.33	0.612677159369436
0.34	0.6126040888987817
0.35000000000000003	0.6125352534241366
0.36	0.6124703197361879
0.37	0.6124089883282474
0.38	0.612350989266598
0.39	0.612296078652119
0.4	0.6122440355768134
0.41000000000000003	0.6121946594963938
0.42	0.6121477679541157
0.43	0.6121031946023315
0.44	0.6120607874773555
0.45	0.6120204074906392
0.46	0.6119819271053062
0.47000000000000003	0.6119452291720495
0.48	0.6119102059024797
0.49	0.611876757961385
0.5	0.6118447936621676
0.51	0.6118142282520522
0.52	0.6117849832756181
0.53	0.6117569860068407
0.54	0.6117301689412087
0.55	0.6117044693406497
0.56	0.6116798288249807
0.5700000000000001	0.6116561930044419
0.58	0.6116335111485842
0.59	0.6116117358873958
0.6	0.6115908229410726
0.61	0.6115707308752892
0.62	0.611551420879217
0.63	0.6115328565638648
0.64	0.6115150037786142
0.65	0.6114978304440665
0.66	0.6114813063995415
0.67	0.611465403263756
0.68	0.6114500943073774
0.6900000000000001	0.6114353543362916
0.7000000000000001	0.6114211595845545
0.71	0.6114074876161039
0.72	0.6113943172344142
0.73	0.6113816283993537
0.74	0.6113694021505892
0.75	0.6113576205369462
0.76	0.6113462665511934
0.77	0.6113353240697748
0.78	0.6113247777970577
0.79	0.6113146132137112
0.8	0.6113048165288609
0.81	0.611295374635706
0.8200000000000001	0.6112862750703106
0.8300000000000001	0.6112775059733079
0.84	0.6112690560542824
0.85	0.6112609145586159
0.86	0.6112530712365998
0.87	0.6112455163146373
0.88	0.611238240468375
0.89	0.6112312347976118
0.9	0.6112244908028538
0.91	0.61121800036339
0.92	0.6112117557167759
0.93	0.6112057494396199
0.9400000000000001	0.6111999744295811
0.9500000000000001	0.6111944238884872
0.96	0.6111890913064945
0.97	0.611183970447216
0.98	0.6111790553337498
0.99	0.6111743402355455
1.	0.6111698196560489
