eta	mean	conf_05	conf_95	trace_00	trace_01	trace_02	trace_03	trace_04	trace_05	trace_06	trace_07	trace_08	trace_09	trace_10	trace_11	trace_12	trace_13	trace_14	trace_15	trace_16	trace_17	trace_18	trace_19	trace_20	trace_21	trace_22	trace_23	trace_24	trace_25	trace_26	trace_27	trace_28	trace_29	trace_30	trace_31	trace_32	trace_33	trace_34	trace_35	trace_36	trace_37	trace_38	trace_39	trace_40	trace_41	trace_42	trace_43	trace_44	trace_45	trace_46	trace_47	trace_48	trace_49
0.0000100	2.81166	2.37930	3.18473	3.42501	2.76619	3.08529	3.05568	2.96282	2.54614	3.08267	2.87971	3.30708	2.34879	2.89552	2.83495	2.91713	2.85436	2.84216	2.69544	2.93948	2.67484	3.08198	2.80076	2.38269	3.18464	3.00066	2.77491	3.30893	2.94897	3.06277	2.38736	3.08956	2.94284	3.21615	3.01328	3.18558	2.68240	2.09175	2.21711	2.90985	2.93003	2.86613	2.86551	3.01829	1.50911	3.12942	1.06153	2.89138	3.15469	2.81580	2.54712	2.70577	2.69282
0.0000112	2.81735	2.38218	3.18700	3.42394	2.77013	3.08536	3.05302	2.97097	2.55440	3.10631	2.88661	3.32932	2.36010	2.89767	2.83971	2.90197	2.86046	2.84246	2.66245	2.92865	2.68887	3.09509	2.79335	2.38463	3.18813	3.00258	2.78072	3.32850	2.95073	3.06672	2.40708	3.08485	2.94882	3.21805	3.03434	3.18687	2.69167	2.11130	2.23767	2.93601	2.91293	2.88539	2.86025	3.02949	1.59769	3.13823	1.06483	2.88711	3.14668	2.80906	2.51412	2.71096	2.70148
0.0000126	2.82042	2.39314	3.19283	3.42594	2.77484	3.09561	3.06201	2.97103	2.54871	3.09554	2.89153	3.29200	2.37875	2.90606	2.84461	2.94171	2.87709	2.85254	2.69980	2.94352	2.66862	3.09001	2.80755	2.39474	3.19068	2.98780	2.78796	3.31667	2.96063	3.07116	2.40017	3.10485	2.94131	3.23946	3.02198	3.21218	2.69547	2.10085	2.21171	2.91708	2.93951	2.87123	2.87339	3.02695	1.58221	3.13426	1.07345	2.89772	3.13697	2.82238	2.52544	2.70918	2.70611
0.0000142	2.82879	2.40089	3.19439	3.42921	2.77365	3.08973	3.06235	2.97177	2.55648	3.09521	2.89254	3.32149	2.38655	2.88380	2.84843	2.94709	2.88199	2.85769	2.67132	2.94514	2.67547	3.09565	2.81235	2.40249	3.19247	2.99010	2.79199	3.33653	2.96382	3.08471	2.41287	3.10001	2.94919	3.22628	3.04093	3.21167	2.71069	2.15336	2.25102	2.94219	2.92272	2.89252	2.87704	3.03864	1.66600	3.14411	1.10304	2.90029	3.15733	2.82122	2.53416	2.71524	2.70875
0.0000159	2.83297	2.41524	3.19922	3.42941	2.77964	3.10158	3.06888	2.97739	2.56690	3.09676	2.89147	3.32392	2.39250	2.91123	2.85424	2.95003	2.88819	2.86744	2.68483	2.94862	2.68174	3.10094	2.81539	2.41777	3.19684	2.99450	2.79752	3.33347	2.96923	3.08644	2.42009	3.10534	2.94938	3.23955	3.03069	3.22060	2.71253	2.14003	2.26436	2.92454	2.95349	2.88203	2.88154	3.03841	1.62625	3.14925	1.12373	2.90131	3.14852	2.82684	2.54408	2.72252	2.71682
0.0000179	2.84300	2.41907	3.20593	3.43630	2.78771	3.10480	3.06812	2.97217	2.58045	3.11624	2.90658	3.32447	2.39873	2.89020	2.85923	2.94109	2.89491	2.87114	2.69703	2.94061	2.68839	3.10298	2.81976	2.42133	3.20321	2.99942	2.80393	3.33299	2.97263	3.09891	2.44717	3.12269	2.95669	3.24862	3.04982	3.23043	2.71847	2.18496	2.27657	2.95131	2.94321	2.90293	2.87918	3.04281	1.75341	3.14744	1.15142	2.90962	3.16607	2.81086	2.56609	2.73128	2.72553
0.0000201	2.84955	2.43827	3.21025	3.43978	2.78875	3.11072	3.07359	2.97635	2.59407	3.11281	2.90441	3.32342	2.41298	2.92295	2.86643	2.95548	2.90213	2.87940	2.69576	2.95296	2.71082	3.10407	2.83299	2.44108	3.20784	3.00155	2.81069	3.33685	2.97699	3.10880	2.46043	3.14037	2.95801	3.25176	3.05539	3.23194	2.73439	2.16126	2.29067	2.95614	2.95002	2.90771	2.88385	3.04879	1.73271	3.15357	1.17970	2.91583	3.15885	2.81519	2.57833	2.73737	2.73159
0.0000226	2.85963	2.44890	3.20557	3.44455	2.79414	3.11775	3.07983	2.98798	2.61217	3.10514	2.91505	3.32478	2.42361	2.93848	2.87236	2.96136	2.91024	2.88680	2.70853	2.95866	2.72421	3.10841	2.83953	2.45171	3.20282	3.00803	2.81839	3.33955	2.98280	3.11593	2.46088	3.15151	2.96061	3.24605	3.06106	3.23029	2.71980	2.20102	2.30979	2.96205	2.96089	2.91443	2.89060	3.05729	1.84046	3.15851	1.21170	2.92389	3.16859	2.84399	2.58649	2.74782	2.74111
0.0000254	2.87091	2.45788	3.21773	3.45257	2.80077	3.13059	3.08224	2.99611	2.63781	3.12482	2.93181	3.33837	2.42518	2.93952	2.87931	2.96512	2.91876	2.88808	2.72163	2.95295	2.77913	3.11273	2.83077	2.46151	3.21583	3.03043	2.82291	3.34109	2.98103	3.13057	2.49144	3.17385	2.96848	3.25966	3.06944	3.23481	2.73674	2.23568	2.31027	2.96885	2.97113	2.92234	2.89829	3.06854	1.84064	3.16814	1.28653	2.92742	3.17146	2.83582	2.59949	2.76427	2.75053
0.0000285	2.88111	2.48049	3.21851	3.46063	2.80805	3.13907	3.08340	2.99266	2.65355	3.11824	2.94284	3.33125	2.43971	2.95471	2.88759	2.97748	2.92844	2.90869	2.75232	2.96595	2.75292	3.11227	2.85344	2.48502	3.21685	3.02074	2.83130	3.33286	2.98916	3.14388	2.49527	3.19408	2.97877	3.26863	3.06374	3.23347	2.76133	2.23550	2.35769	2.95555	2.99638	2.91388	2.91249	3.07337	1.91634	3.17079	1.28849	2.93846	3.18837	2.84401	2.64855	2.77606	2.76116
0.0000320	2.89475	2.49007	3.22352	3.45899	2.81471	3.14857	3.09342	3.00327	2.67272	3.13402	2.95462	3.32937	2.45587	2.95333	2.89624	2.96649	2.93006	2.91875	2.76011	2.95964	2.81333	3.11915	2.84885	2.49387	3.22219	3.04246	2.84141	3.33615	2.99605	3.16060	2.53036	3.20735	2.99379	3.27946	3.07133	3.23546	2.77092	2.29222	2.35091	2.96237	3.00954	2.93940	2.91389	3.08490	2.01149	3.18400	1.38799	2.94681	3.17083	2.84683	2.66443	2.78820	2.77102
0.0000359	2.90790	2.51206	3.23016	3.46276	2.82068	3.15364	3.09307	3.01116	2.68159	3.13303	2.96038	3.34088	2.48482	2.95420	2.90524	2.99195	2.93970	2.93051	2.75773	2.96617	2.83998	3.12566	2.85867	2.51508	3.22777	3.04937	2.85480	3.35068	3.00989	3.16982	2.55241	3.21491	2.99812	3.27487	3.09334	3.25168	2.78553	2.26454	2.40482	2.99103	3.00653	2.94738	2.92232	3.09504	2.11218	3.18670	1.44934	2.95988	3.19454	2.87153	2.65287	2.79338	2.78261
0.0000404	2.92208	2.53355	3.24262	3.47622	2.83154	3.16672	3.10305	3.01157	2.71053	3.13435	2.96688	3.34505	2.50484	2.97955	2.91834	3.00938	2.95529	2.95127	2.77036	2.98551	2.81506	3.13184	2.88430	2.53674	3.23399	3.04481	2.86830	3.35093	3.02089	3.18288	2.55999	3.24149	3.00590	3.30505	3.09654	3.25283	2.79109	2.33484	2.43573	2.98329	3.03721	2.94516	2.94064	3.10476	2.19159	3.19948	1.48829	2.96435	3.19966	2.84205	2.68595	2.80954	2.79858
0.0000453	2.93901	2.55918	3.25283	3.47930	2.83951	3.18330	3.11206	3.02577	2.74160	3.13231	2.98052	3.34234	2.51458	2.98789	2.92990	2.98889	2.97798	2.96573	2.79968	2.99267	2.86120	3.14314	2.89809	2.56414	3.23863	3.06671	2.87734	3.34744	3.02271	3.19743	2.59212	3.27322	3.02293	3.30567	3.10541	3.25056	2.80889	2.36702	2.46170	2.99323	3.05181	2.95554	2.95123	3.11377	2.23322	3.20375	1.60906	2.97700	3.21580	2.87979	2.72534	2.83116	2.81150
0.0000509	2.95767	2.58328	3.27127	3.48909	2.84909	3.19345	3.11462	3.02533	2.75664	3.15461	2.99279	3.34838	2.54449	3.00397	2.94245	3.04325	2.98346	2.98393	2.79998	2.99021	2.91156	3.14749	2.89869	2.58759	3.25289	3.07710	2.89450	3.35882	3.03830	3.21627	2.63728	3.28400	3.02851	3.31597	3.12929	3.26986	2.83389	2.40758	2.51284	3.02215	3.05094	2.98242	2.95740	3.12909	2.37393	3.21438	1.65169	2.99073	3.20501	2.88937	2.72882	2.84170	2.82784
0.0000572	2.97847	2.60161	3.27884	3.49911	2.86346	3.20904	3.12680	3.04288	2.79817	3.16086	3.01791	3.35474	2.56173	3.00286	2.95931	3.05903	3.00991	2.99569	2.81367	3.01309	2.93301	3.15549	2.91739	2.60604	3.26374	3.08867	2.90873	3.36970	3.04642	3.23697	2.67277	3.31527	3.04381	3.33115	3.14552	3.27479	2.84256	2.43689	2.54998	3.03570	3.06982	2.99811	2.97274	3.14205	2.47104	3.23195	1.79147	3.00733	3.22659	2.88167	2.75482	2.86670	2.84641
0.0000643	2.99751	2.63513	3.29323	3.50875	2.87557	3.23583	3.13633	3.04889	2.82893	3.15820	3.02546	3.35659	2.58573	3.01304	2.97503	3.06165	3.02045	3.01469	2.84698	3.02308	2.94703	3.16777	2.93819	2.64062	3.26897	3.08932	2.92526	3.36262	3.06067	3.26034	2.71182	3.35314	3.05951	3.35429	3.15772	3.28658	2.86846	2.46270	2.58430	3.03520	3.10049	3.00350	2.98675	3.15440	2.52097	3.24440	1.90787	3.01510	3.23107	2.91029	2.79959	2.88611	2.86548
0.0000722	3.01947	2.66743	3.30459	3.51925	2.89186	3.24664	3.14666	3.05728	2.85272	3.17715	3.04951	3.36357	2.62677	3.04854	2.99178	3.09490	3.03690	3.03942	2.85103	3.02390	2.99111	3.17636	2.94577	2.66952	3.28228	3.11426	2.94658	3.37690	3.07628	3.27786	2.73276	3.36518	3.06664	3.35883	3.18357	3.29856	2.87425	2.51210	2.63470	3.06479	3.10521	3.03163	3.00261	3.17157	2.64863	3.25907	2.02234	3.03021	3.22924	2.91771	2.80232	2.90190	2.88512
0.0000811	3.04377	2.73865	3.31289	3.53285	2.90742	3.27794	3.15921	3.07273	2.88862	3.17869	3.06149	3.37128	2.65645	3.06461	3.00989	3.10050	3.06689	3.06894	2.87175	3.04673	2.99694	3.18634	2.97091	2.69348	3.29032	3.12154	2.96739	3.38713	3.09175	3.30203	2.80017	3.39801	3.08969	3.38308	3.20285	3.30640	2.90559	2.52833	2.72403	3.07077	3.13707	3.04267	3.02477	3.18115	2.74028	3.27482	2.11723	3.04277	3.26018	2.92885	2.85312	2.92495	2.90789
0.0000911	3.06814	2.81705	3.33330	3.54681	2.92887	3.29500	3.17304	3.08693	2.92702	3.18915	3.07936	3.38238	2.68927	3.07047	3.03123	3.11237	3.08931	3.09290	2.89079	3.06222	3.02252	3.20286	2.99104	2.73061	3.30678	3.13954	2.98998	3.39435	3.10723	3.32785	2.83209	3.42759	3.10845	3.38940	3.23024	3.31750	2.93272	2.57690	2.79314	3.09134	3.15737	3.06655	3.04364	3.19839	2.81971	3.29549	2.24734	3.06071	3.26910	2.94277	2.86628	2.94937	2.93118
