eta	mean	conf_05	conf_95	trace_00	trace_01	trace_02	trace_03	trace_04	trace_05	trace_06	trace_07	trace_08	trace_09	trace_10	trace_11	trace_12	trace_13	trace_14	trace_15	trace_16	trace_17	trace_18	trace_19	trace_20	trace_21	trace_22	trace_23	trace_24	trace_25	trace_26	trace_27	trace_28	trace_29	trace_30	trace_31	trace_32	trace_33	trace_34	trace_35	trace_36	trace_37	trace_38	trace_39	trace_40	trace_41	trace_42	trace_43	trace_44	trace_45	trace_46	trace_47	trace_48	trace_49
0.0000100	2.93063	2.03770	4.03447	3.97103	4.20256	1.86071	2.12479	4.77628	2.98023	3.29311	3.43243	2.59117	3.25726	1.82378	2.53749	3.16931	3.33117	3.56127	2.55608	2.26428	2.01627	3.61575	2.78455	3.35912	2.04009	2.39438	2.54280	2.21315	4.55978	4.75502	3.78366	2.01349	3.34774	2.24732	3.25781	2.51667	2.38437	2.68490	2.60746	1.67520	2.43235	3.71489	3.26371	2.31840	2.16945	2.97801	4.24853	4.01580	2.40296	3.57511	2.08563	2.16332	2.63077
0.0000112	2.93430	2.04426	3.98642	3.84121	4.06694	1.82571	2.23351	4.86970	3.07139	3.32170	3.32437	2.57428	3.13293	1.93090	2.51904	3.04709	3.21734	3.64213	2.54246	2.27742	2.04948	3.74020	2.65055	3.43483	1.99725	2.49951	2.42951	2.30757	4.48190	4.85860	3.88633	1.90244	3.35599	2.27758	3.36342	2.39119	2.48905	2.77592	2.65580	1.56012	2.31971	3.78741	3.35129	2.41449	2.20871	2.83507	4.12194	3.97747	2.51032	3.45370	2.19200	2.25786	2.73972
0.0000126	2.92659	2.04505	4.04052	4.03949	4.04980	1.77202	2.22856	4.83706	3.06359	3.31825	3.31248	2.49294	3.10549	1.92732	2.50775	3.01874	3.20278	3.62771	2.50778	2.29077	2.05451	3.73733	2.62933	3.42594	1.95993	2.51082	2.42916	2.30576	4.51042	4.84734	3.87271	1.88684	3.20263	2.28046	3.35068	2.55782	2.48259	2.77322	2.63341	1.67898	2.29398	3.76693	3.33835	2.40612	2.14867	2.94486	4.10762	3.76136	2.50546	3.43672	2.18889	2.25492	2.74316
0.0000142	2.90060	2.02030	3.95480	3.87666	4.15379	1.83677	2.10261	4.66954	2.95115	3.27716	3.40513	2.61262	3.21714	1.80522	2.60424	3.13041	3.29190	3.50720	2.53854	2.15018	2.01800	3.59682	2.74060	3.31622	2.02056	2.40610	2.52088	2.19538	4.53393	4.71254	3.73567	1.99555	3.31347	2.24619	3.19397	2.50100	2.35621	2.66648	2.58607	1.76674	2.40262	3.62070	3.21187	2.28145	2.14922	2.92668	4.19691	3.93269	2.37959	3.53447	2.06646	2.14872	2.62601
0.0000159	2.89228	2.02120	4.01050	4.01319	4.01020	1.85163	2.09578	4.61863	2.94073	3.27051	3.31340	2.57894	3.19386	1.80503	2.50940	3.05781	3.26000	3.48758	2.52251	2.16015	2.00454	3.58817	2.71655	3.37682	2.02305	2.44700	2.50357	2.28361	4.48892	4.69537	3.82408	1.98685	3.29414	2.27166	3.28805	2.44788	2.34786	2.73146	2.58115	1.79122	2.38692	3.58627	3.19618	2.26880	2.09458	2.79674	4.15653	3.94172	2.47375	3.50241	2.06170	2.14492	2.62208
0.0000179	2.87155	2.01038	3.92932	3.91102	4.09400	1.83141	2.08310	4.54590	2.92318	3.26536	3.37400	2.57125	3.18186	1.78795	2.49131	3.09990	3.24750	3.45805	2.51897	2.15750	2.01059	3.57681	2.69648	3.27815	2.00846	2.40937	2.49976	2.17455	4.46627	4.67415	3.68846	1.97750	3.28789	2.23260	3.13883	2.49109	2.32978	2.64656	2.62320	1.79929	2.38181	3.54755	3.16439	2.24647	2.21453	2.75565	4.13058	3.89993	2.35649	3.48317	2.04839	2.13184	2.66479
0.0000201	2.86526	1.97340	3.89366	3.83019	3.95677	1.77601	2.17578	4.60775	3.00922	3.30117	3.27770	2.48342	3.08696	1.88009	2.46989	3.00730	3.14595	3.51958	2.50560	2.24098	1.97500	3.68619	2.57809	3.33805	1.95900	2.47058	2.39494	2.26780	4.42479	4.75837	3.77662	1.88344	3.19356	2.26499	3.23901	2.51795	2.42114	2.71800	2.55256	1.62942	2.29523	3.49363	3.13941	2.32947	2.14638	2.75123	4.02045	3.88665	2.45308	3.47360	2.14777	2.22414	2.57801
0.0000226	2.84363	1.99898	3.81553	3.79608	3.92294	1.83047	2.05351	4.40264	2.89387	3.25928	3.26492	2.47069	3.16684	1.76140	2.45545	2.99817	3.12346	3.48875	2.45159	2.13427	1.99918	3.54847	2.67039	3.31529	1.99718	2.46166	2.38484	2.26279	4.31028	4.74108	3.75099	1.97591	3.18331	2.27499	3.20551	2.50914	2.40123	2.70308	2.54088	1.70218	2.37374	3.43439	3.21199	2.30916	2.11867	2.72566	4.08809	3.80360	2.44200	3.35102	2.02776	2.22025	2.66222
0.0000254	2.82774	2.00667	3.76180	3.71295	3.90149	1.76271	2.03968	4.47054	2.97648	3.26388	3.25046	2.46375	3.05504	1.85572	2.44223	2.97684	3.10741	3.45153	2.44307	2.24214	2.01375	3.66746	2.54281	3.28514	1.94297	2.46449	2.37215	2.24950	4.36202	4.70344	3.71579	1.87232	3.16429	2.25818	3.14765	2.41626	2.38321	2.68721	2.59112	1.75973	2.27547	3.47813	3.07860	2.28268	2.07092	2.81756	3.96921	3.74628	2.42577	3.33862	2.12213	2.20659	2.55974
0.0000285	2.79732	1.99809	3.81863	3.77649	3.97529	1.79483	2.02622	4.26953	2.85603	3.22564	3.31202	2.54692	3.10660	1.73772	2.50472	3.02794	3.16229	3.31991	2.41044	2.13734	1.99908	3.53304	2.62840	3.16835	1.98910	2.38915	2.43674	2.13718	4.33414	4.55967	3.56614	1.95929	3.21828	2.21746	2.97665	2.48230	2.25420	2.58246	2.51173	1.81185	2.27370	3.31252	3.03439	2.15247	2.08665	2.79608	4.02894	3.80123	2.29999	3.41155	2.00496	2.09862	2.61976
0.0000320	2.77363	1.99132	3.75671	3.75010	3.81618	1.81344	2.01314	4.20498	2.84099	3.21516	3.21568	2.47146	3.07029	1.72930	2.40428	2.95813	3.13346	3.28092	2.40211	2.14907	1.97969	3.53134	2.59503	3.22373	1.99261	2.41670	2.41597	2.23407	4.28896	4.52986	3.65516	1.94783	3.18435	2.22177	2.93345	2.46216	2.23448	2.64483	2.49673	1.72444	2.26705	3.24330	2.99873	2.12687	2.05445	2.64428	3.99212	3.74763	2.39319	3.38485	1.99501	2.09204	2.56029
0.0000359	2.74760	1.97751	3.79051	3.78096	3.87642	1.79279	2.08865	4.12306	2.80862	3.20712	3.26534	2.49808	3.06816	1.69657	2.35855	2.99149	3.09575	3.21483	2.42860	2.21305	1.97897	3.62421	2.56089	3.08491	1.96439	2.35159	2.40210	2.09739	4.23144	4.47237	3.46801	1.94073	3.18141	2.19301	2.85973	2.48729	2.19521	2.52420	2.48055	1.68387	2.30838	3.14631	2.93956	2.08180	2.00922	2.59621	3.93274	3.72794	2.36117	3.33881	2.07521	2.06703	2.50531
0.0000404	2.71822	1.97662	3.80820	3.72265	3.81938	1.77345	2.06542	4.03834	2.77672	3.25944	3.23166	2.46432	3.03074	1.67753	2.41876	2.95364	3.05320	3.16182	2.36924	2.18895	1.97974	3.47560	2.52408	3.04073	1.94859	2.33987	2.37611	2.07985	4.08739	4.42008	3.42017	1.93017	3.14496	2.18969	2.79394	2.46923	2.16525	2.49723	2.45120	1.74039	2.27973	3.05520	2.88884	2.04621	2.09386	2.55474	3.87971	3.80696	2.33533	3.30034	2.05333	2.05240	2.48472
