eta	mean	conf_05	conf_95	trace_00	trace_01	trace_02	trace_03	trace_04	trace_05	trace_06	trace_07	trace_08	trace_09	trace_10	trace_11	trace_12	trace_13	trace_14	trace_15	trace_16	trace_17	trace_18	trace_19	trace_20	trace_21	trace_22	trace_23	trace_24	trace_25	trace_26	trace_27	trace_28	trace_29	trace_30	trace_31	trace_32	trace_33	trace_34	trace_35	trace_36	trace_37	trace_38	trace_39	trace_40	trace_41	trace_42	trace_43	trace_44	trace_45	trace_46	trace_47	trace_48	trace_49
0.0000100	2.80950	2.52150	3.15162	2.95915	2.71856	2.43270	2.95424	2.84412	2.77375	3.07066	3.08878	2.99854	2.91113	3.34696	2.79214	3.41459	2.72725	2.95321	2.87321	3.19721	0.89402	2.91529	3.08054	2.93798	3.01027	2.89692	2.52557	2.86507	2.76414	3.12425	2.86229	2.95521	3.16912	2.90114	2.86534	2.86972	2.93218	1.72860	3.23674	3.04225	2.48492	2.74107	2.93882	2.79524	2.71350	0.96685	3.14968	2.87891	2.88795	3.00193	2.58222	2.91733	2.78354
0.0000112	2.81506	2.53374	3.17956	2.97700	2.72178	2.44662	2.93500	2.84550	2.79066	3.05395	3.09233	3.00257	2.91497	3.35150	2.79545	3.41311	2.73015	2.95682	2.89377	3.19982	0.89480	2.92473	3.08562	2.93266	3.01305	2.89985	2.53784	2.88756	2.78910	3.12014	2.86640	2.95660	3.18871	2.92526	2.86797	2.85498	2.94814	1.77082	3.24194	3.03394	2.49683	2.74551	2.93757	2.79880	2.72438	0.95755	3.17854	2.88326	2.89242	3.00540	2.59541	2.89744	2.77890
0.0000126	2.81994	2.53982	3.18038	2.97840	2.72414	2.45621	2.94022	2.84704	2.79339	3.07005	3.10319	3.00514	2.90769	3.34859	2.80010	3.42197	2.73363	2.95586	2.89546	3.20087	0.92312	2.92984	3.07722	2.94527	3.01204	2.90142	2.54328	2.88835	2.79328	3.12032	2.87166	2.96004	3.19342	2.94556	2.87011	2.85475	2.95062	1.79614	3.24106	3.03285	2.50866	2.74924	2.93945	2.80077	2.72006	0.96990	3.17893	2.88645	2.87282	3.00474	2.61839	2.92221	2.79323
0.0000142	2.82182	2.54185	3.15826	2.96477	2.74517	2.46077	2.94254	2.86029	2.78166	3.07772	3.10434	2.99242	2.92255	3.35589	2.80586	3.42530	2.73693	2.95907	2.87820	3.19217	0.92335	2.93097	3.08865	2.93761	3.00662	2.92114	2.54276	2.86907	2.77666	3.12213	2.87645	2.96236	3.17805	2.93001	2.87042	2.87551	2.95388	1.79315	3.23795	3.05001	2.53372	2.75374	2.94654	2.79531	2.72072	0.99356	3.15606	2.89307	2.89540	3.00869	2.65108	2.90231	2.78845
0.0000159	2.82997	2.55441	3.18542	2.98298	2.73175	2.47871	2.94135	2.86441	2.79982	3.07162	3.10603	3.01208	2.92731	3.35493	2.81030	3.44412	2.74174	2.95771	2.90023	3.20632	0.98647	2.93307	3.06580	2.93880	3.01655	2.90819	2.55645	2.89196	2.80177	3.12340	2.88096	2.96521	3.19923	2.96215	2.87613	2.86090	2.95765	1.84900	3.24662	3.03634	2.53604	2.75968	2.94630	2.80819	2.72785	1.01061	3.18388	2.89549	2.88873	3.00902	2.61938	2.92970	2.79556
0.0000179	2.83592	2.56303	3.18642	2.98656	2.73588	2.49205	2.94023	2.87283	2.80383	3.07635	3.09794	3.01586	2.92142	3.36004	2.81691	3.44720	2.75633	2.96005	2.90273	3.20998	0.99594	2.94532	3.09482	2.95403	3.02146	2.91139	2.56419	2.89207	2.80699	3.13731	2.88817	2.96723	3.20061	2.94305	2.87932	2.86529	2.96161	1.87723	3.25072	3.04142	2.55255	2.76519	2.94941	2.81215	2.72273	1.01901	3.18485	2.90399	2.89817	3.01235	2.64667	2.93275	2.80176
0.0000201	2.84126	2.58006	3.16797	2.97578	2.75851	2.50090	2.96776	2.87952	2.79450	3.08488	3.11050	3.00714	2.93753	3.36186	2.80693	3.44382	2.75254	2.97635	2.88866	3.20298	1.04170	2.95181	3.08442	2.95122	3.01146	2.93221	2.56554	2.87283	2.79198	3.13193	2.89769	2.97186	3.19164	2.97248	2.88051	2.86923	2.95414	1.90971	3.25289	3.05218	2.58168	2.78859	2.96166	2.81259	2.74214	1.04816	3.16535	2.92151	2.88918	3.02470	2.65537	2.91398	2.82046
0.0000226	2.84918	2.59795	3.17213	2.97796	2.76351	2.51672	2.97017	2.88068	2.79935	3.09119	3.10369	3.01312	2.94437	3.36640	2.83083	3.42039	2.75914	2.96735	2.89183	3.20798	1.05920	2.94696	3.07226	2.95681	3.01719	2.93660	2.57522	2.87978	2.79831	3.13505	2.90431	2.97395	3.19585	2.98713	2.88334	2.88838	2.96013	1.92513	3.25563	3.05691	2.60047	2.79560	2.96426	2.81764	2.75397	1.09921	3.16949	2.93111	2.91954	3.02926	2.70469	2.94105	2.82001
0.0000254	2.85812	2.60650	3.17390	2.99731	2.75260	2.53898	2.95102	2.89879	2.80427	3.09496	3.11594	3.03149	2.95109	3.36890	2.83726	3.45556	2.76544	2.96873	2.91247	3.22165	1.10110	2.96775	3.09958	2.96936	3.02303	2.92652	2.58550	2.90187	2.80439	3.14880	2.91266	2.97830	3.20051	2.99690	2.89035	2.87843	2.96574	1.96349	3.26701	3.05991	2.60883	2.78836	2.97178	2.82889	2.74085	1.13729	3.17094	2.92800	2.92440	3.02286	2.70078	2.94694	2.82845
0.0000285	2.86879	2.62908	3.19870	3.00162	2.75866	2.55804	2.97289	2.90227	2.82351	3.08864	3.10902	3.03778	2.94860	3.37340	2.83031	3.45527	2.77259	2.98535	2.91732	3.21658	1.16656	2.96759	3.09709	2.97450	3.03063	2.93249	2.60274	2.90545	2.83190	3.14655	2.92164	2.98324	3.22144	3.02035	2.89472	2.88091	2.98347	2.03290	3.27402	3.06208	2.63201	2.81286	2.97440	2.83480	2.75495	1.14073	3.19671	2.92861	2.91367	3.02755	2.74016	2.95256	2.84865
