eta	mean	conf_05	conf_95	trace_00	trace_01	trace_02	trace_03	trace_04	trace_05	trace_06	trace_07	trace_08	trace_09	trace_10	trace_11	trace_12	trace_13	trace_14	trace_15	trace_16	trace_17	trace_18	trace_19	trace_20	trace_21	trace_22	trace_23	trace_24	trace_25	trace_26	trace_27	trace_28	trace_29	trace_30	trace_31	trace_32	trace_33	trace_34	trace_35	trace_36	trace_37	trace_38	trace_39	trace_40	trace_41	trace_42	trace_43	trace_44	trace_45	trace_46	trace_47	trace_48	trace_49
0.0000100	2.75751	2.28292	3.39374	2.90150	2.98845	3.30548	2.76553	2.23690	2.55569	2.73175	3.25197	2.96518	2.48941	2.58181	2.44482	3.30138	3.46250	2.95255	2.43016	2.97509	3.52945	2.80345	2.64871	2.84099	0.69581	2.67110	0.59169	3.25064	3.41011	3.37123	2.99331	3.18795	3.20461	3.39192	2.85441	1.37581	2.74800	2.38915	2.58897	2.71218	2.89848	3.44274	2.71176	2.96851	3.21090	0.93600	3.05320	3.11894	3.45839	2.47884	2.28803	3.15427	2.55594
0.0000112	2.77275	2.29319	3.39814	2.93153	2.99914	3.36434	2.76249	2.28975	2.59505	2.75495	3.26527	3.03841	2.49222	2.52784	2.44204	3.23503	3.39766	2.90955	2.66628	2.96257	3.61010	2.84193	2.65594	2.86807	0.67837	2.65627	0.58369	3.23012	3.43578	3.40247	2.99543	3.18810	3.22820	3.33635	2.92854	1.51120	2.78331	2.38437	2.73919	2.72158	2.98243	3.43472	2.68843	2.97841	3.08557	0.94477	3.04227	3.11547	3.44064	2.46038	2.29357	3.20793	2.54971
0.0000126	2.79036	2.33167	3.42642	2.99563	2.98320	3.37611	2.80799	2.34105	2.69070	2.83714	3.27956	3.03936	2.38499	2.59951	2.49649	3.27757	3.44599	2.96250	2.46184	2.96961	3.60467	2.81355	2.63437	2.93819	0.71474	2.64610	0.64985	3.23075	3.44327	3.40786	3.05674	3.14211	3.11007	3.42454	2.98642	1.59514	2.83696	2.43265	2.54194	2.74649	2.97380	3.48211	2.75872	3.04297	2.95535	1.07984	3.05068	3.11947	3.52630	2.48509	2.24722	3.26541	2.62543
0.0000142	2.80562	2.34867	3.42267	2.94708	3.01599	3.36054	2.79644	2.36148	2.68046	2.92871	3.23394	3.02647	2.54456	2.57746	2.57678	3.28414	3.48700	2.97615	2.69645	3.02402	3.54673	2.85888	2.53383	2.92294	0.76763	2.73924	0.52578	3.29518	3.42318	3.42261	2.90643	3.10336	3.14540	3.41425	3.05668	1.53656	2.85448	2.43414	2.74309	2.71979	3.03517	3.45457	2.78670	3.03403	3.15717	1.11386	3.02816	3.06518	3.56803	2.47924	2.23343	3.25026	2.60712
0.0000159	2.81375	2.37275	3.42788	2.86503	2.94032	3.37536	2.82870	2.38073	2.70877	2.96407	3.22374	2.94850	2.51881	2.56220	2.62004	3.33022	3.46397	3.01604	2.70868	2.94897	3.58328	2.93429	2.65786	3.02973	0.85462	2.71913	0.57191	3.29456	3.48686	3.32359	2.98487	3.14768	3.22788	3.42387	3.00395	1.60013	2.87227	2.47224	2.68848	2.64693	3.02194	3.46947	2.76784	2.91962	3.10036	1.08649	3.09866	3.17151	3.56839	2.44386	2.30102	3.20215	2.60810
0.0000179	2.83485	2.42510	3.44933	3.03536	3.07236	3.36607	2.83715	2.43558	2.64072	3.00593	3.28448	3.00466	2.57383	2.58784	2.59410	3.30423	3.47740	3.02797	2.71688	3.00991	3.61727	2.89107	2.72210	2.92038	0.77788	2.71631	0.59535	3.27538	3.50707	3.44868	2.94367	3.17112	3.26900	3.39383	3.05038	1.61973	2.81647	2.43068	2.65712	2.76984	3.05553	3.45522	2.80680	3.01838	3.14105	1.05422	3.13816	3.18147	3.54114	2.47929	2.37493	3.27774	2.65090
0.0000201	2.84989	2.48881	3.42911	3.01603	3.06930	3.37148	2.91354	2.50107	2.75668	2.88480	3.24938	3.06374	2.61722	2.66963	2.69545	3.33159	3.48904	2.96380	2.68461	3.07042	3.63844	2.97841	2.75368	3.07922	0.75040	2.71828	0.51653	3.26812	3.50632	3.47079	2.98826	3.18434	3.23783	3.36924	3.07143	1.67053	2.70810	2.51031	2.64278	2.78362	2.97693	3.42447	2.79309	3.04809	3.10589	1.08337	3.18702	3.17112	3.61282	2.58594	2.37848	3.30392	2.62871
0.0000226	2.87092	2.43503	3.44301	3.06845	3.01843	3.44163	2.84255	2.51592	2.76633	2.89109	3.23543	3.08638	2.56626	2.67438	2.76208	3.36771	3.52085	3.10798	2.62625	3.00118	3.54474	2.94981	2.76448	3.04038	0.81708	2.74669	0.69056	3.37856	3.45547	3.47359	3.07074	3.22690	3.28842	3.43525	3.02552	1.67663	2.99457	2.44254	2.72484	2.83693	3.05952	3.43836	2.82679	3.05479	3.18252	1.15682	3.20621	3.18396	3.59600	2.58570	2.36739	3.27415	2.53731
0.0000254	2.89726	2.47068	3.50311	2.98068	3.07764	3.42397	2.76368	2.58848	2.80268	2.88057	3.32976	3.15638	2.61798	2.66564	2.80525	3.37668	3.50284	3.02781	2.68230	3.06777	3.65113	3.06062	2.79715	3.09819	0.81196	2.76635	0.55094	3.38236	3.58166	3.51198	3.07719	3.23074	3.31065	3.48087	3.07765	1.66148	2.91867	2.47976	2.73278	2.86004	3.13991	3.50549	2.86900	3.11386	3.14043	1.25907	3.23883	3.15038	3.69582	2.55470	2.38894	3.31571	2.69836
0.0000285	2.92505	2.53707	3.50476	3.07922	3.09069	3.42613	2.98823	2.62327	2.77160	2.93233	3.34700	3.10193	2.68480	2.71180	2.88334	3.37851	3.53903	3.16664	2.79504	2.88523	3.68305	3.13029	2.80456	3.00712	0.86866	2.74953	0.58524	3.42319	3.59728	3.51707	3.13309	3.21238	3.31383	3.50340	3.07049	1.70610	2.97198	2.55258	2.78498	2.85170	3.15463	3.49174	2.94714	3.11756	3.24441	1.27292	3.23349	3.14064	3.69023	2.60609	2.39750	3.34935	2.73569
