eta	mean	conf_05	conf_95	trace_00	trace_01	trace_02	trace_03	trace_04	trace_05	trace_06	trace_07	trace_08	trace_09	trace_10	trace_11	trace_12	trace_13	trace_14	trace_15	trace_16	trace_17	trace_18	trace_19	trace_20	trace_21	trace_22	trace_23	trace_24	trace_25	trace_26	trace_27	trace_28	trace_29	trace_30	trace_31	trace_32	trace_33	trace_34	trace_35	trace_36	trace_37	trace_38	trace_39	trace_40	trace_41	trace_42	trace_43	trace_44	trace_45	trace_46	trace_47	trace_48	trace_49
0.0000100	2.55279	1.46881	3.85343	2.83042	3.07731	1.37191	1.86606	2.55500	2.08933	2.26688	2.38488	3.36364	2.64969	2.21890	3.44335	4.33069	3.07971	1.47957	3.06305	3.58189	2.64167	2.12503	4.44329	3.49431	3.21434	2.57580	2.14525	2.35433	0.68070	3.04507	2.05928	3.84168	2.19188	1.56838	1.65725	1.99955	2.93218	2.31979	1.34146	4.10212	2.17465	1.32637	1.75980	2.05461	2.79476	2.42463	3.95917	1.25305	2.42547	3.64134	1.85579	3.96993	1.61443
0.0000112	2.54114	1.39802	3.70136	2.94611	2.96965	1.32665	1.81339	2.72750	2.08858	2.33060	2.50538	3.16377	2.59303	2.15388	3.56737	4.40287	2.87047	1.29147	3.00627	3.68388	2.50605	2.08758	4.28733	3.36381	3.07287	2.57671	2.28196	2.28623	0.83533	2.56440	2.11902	3.63419	2.21260	1.48223	1.79456	2.52408	2.84077	2.27065	1.29575	4.05132	2.27460	1.40595	1.87008	2.16230	2.88226	2.46259	3.85863	1.22926	2.34634	3.59770	1.69442	4.13792	1.60674
0.0000126	2.52003	1.53004	3.73155	2.86453	2.89904	1.25987	1.90306	2.64289	1.86991	2.20659	2.31197	3.23697	2.49707	2.23005	3.53719	4.33126	2.94405	1.68660	2.81175	3.52910	2.48514	2.11069	4.49463	3.30315	3.25311	2.55036	2.29232	2.19889	0.70017	2.95339	2.06558	3.72767	2.17302	1.54604	1.73717	2.10092	2.89702	2.39939	1.36852	4.00346	2.26543	1.38604	1.72861	2.07495	2.64916	2.56138	3.76652	1.17175	2.37730	3.60518	1.82425	3.91504	1.55328
0.0000142	2.53063	1.43143	3.66911	2.80080	3.07923	1.30449	1.83198	2.56247	2.04450	2.23580	2.33456	3.32939	2.46796	2.21735	3.41568	4.19561	3.12061	1.44216	2.93752	3.53638	2.60415	2.19323	4.34175	3.12336	3.16146	2.53035	2.51018	2.25693	0.79715	2.98919	2.03810	3.64844	2.22121	1.57718	1.73197	2.22849	2.89041	2.49352	1.24032	4.25471	2.36648	1.41697	1.74689	2.04644	2.69390	2.32396	3.85516	1.17165	2.30327	3.58072	1.93225	3.97202	1.43304
0.0000159	2.52387	1.52927	3.83706	2.76655	3.03619	1.26346	1.84491	2.53085	2.05164	2.26204	2.32975	3.09948	2.49341	2.20510	3.50983	4.15926	3.04295	1.82681	2.99956	3.62188	2.53529	2.17839	4.38151	3.33925	3.14878	2.54976	2.15505	2.17169	0.64037	2.77807	2.14021	3.82985	2.25617	1.55881	1.64378	2.23976	2.89662	2.15924	1.38247	4.12617	2.33602	1.33321	1.73035	2.00981	2.65634	2.44819	3.90561	1.20514	2.30610	3.55316	2.10701	3.90202	1.54558
0.0000179	2.51356	1.45957	3.64435	2.93600	2.86460	1.38204	1.77218	2.70931	2.06129	2.32124	2.45222	3.25590	2.61138	2.08636	3.40104	4.37487	2.79171	1.61462	2.97465	3.63495	2.57066	2.06858	4.14153	3.05472	3.13222	2.44871	2.28345	2.34721	0.72343	2.65956	2.14450	3.59472	2.08499	1.46268	1.74182	1.99369	2.73032	2.31805	1.35031	4.14672	2.13525	1.43151	1.85300	2.15900	2.84248	2.37972	3.72897	1.27270	2.30191	3.45511	2.15798	4.13936	1.57872
0.0000201	2.50227	1.53521	3.50946	2.88854	2.87928	1.31973	1.75147	2.66552	1.99232	2.33173	2.41332	3.08376	2.58086	2.06386	3.46896	4.32670	2.71871	1.74270	3.02325	3.48618	2.48776	2.13471	4.16766	3.31253	3.13065	2.42323	2.35754	2.19084	0.65925	2.99351	2.15079	3.47531	2.07645	1.55008	1.80702	2.38002	2.72837	2.25800	1.36725	3.91819	2.19336	1.40142	1.83171	2.13871	2.80916	2.36539	3.71890	1.23300	2.24310	3.40822	1.84030	4.06933	1.55468
0.0000226	2.49928	1.41672	3.66734	2.72101	3.02863	1.42341	1.84674	2.52286	2.13081	2.29280	2.28613	3.15130	2.42300	2.21020	3.34581	4.10120	2.96631	1.31578	3.03651	3.49383	2.58375	2.17720	4.24268	3.23258	3.27998	2.52605	1.99029	2.34446	0.80353	2.76680	1.99274	3.64535	2.11571	1.46965	1.74664	2.19148	2.73828	2.44381	1.35488	4.05721	2.21236	1.35659	1.73405	2.13870	2.80126	2.50578	3.86571	1.19732	2.40298	3.41873	1.84180	3.86532	1.62395
0.0000254	2.48333	1.52290	3.63241	2.72747	2.93557	1.29231	1.84203	2.50009	2.02274	2.26932	2.38267	3.05038	2.56690	2.19362	3.29712	4.07361	2.96213	1.56617	2.94813	3.42824	2.57058	2.14288	4.17979	3.38185	3.14368	2.49926	2.05074	2.31518	0.84388	3.07533	2.00124	3.62096	2.10907	1.54064	1.72146	2.04040	2.80191	2.23170	1.33422	4.01679	2.28785	1.36322	1.68604	2.03012	2.62704	2.49135	3.83194	1.19274	2.30637	3.32334	2.04871	3.73542	1.56239
0.0000285	2.47734	1.53356	3.54364	2.72134	2.94199	1.36332	1.80148	2.48959	1.98327	2.25965	2.22634	3.16453	2.42544	2.17444	3.29844	4.06514	2.98483	1.65722	2.87079	3.43796	2.51778	2.23345	4.41520	3.30706	3.16640	2.48638	2.40878	2.25989	0.62862	2.88018	2.00468	3.51679	2.05932	1.62673	1.70888	1.89187	2.65906	2.60236	1.30639	4.05762	2.16951	1.24324	1.70889	2.03445	2.59679	2.23163	3.78531	1.18524	2.32299	3.39812	2.19979	3.83518	1.55248
0.0000320	2.46165	1.53055	3.58801	2.82882	2.74615	1.25783	1.71982	2.60247	1.99901	2.33770	2.35159	3.15142	2.52277	2.03683	3.38676	4.16759	2.67454	1.44823	3.12235	3.54710	2.42916	2.25457	4.03309	3.17050	2.97849	2.36651	2.50520	2.16985	0.65882	2.85902	2.10681	3.58738	2.01667	1.55105	1.75034	2.15345	2.63505	2.20951	1.37023	3.94971	2.25859	1.53970	1.82261	2.13410	2.76405	2.25905	3.59368	1.17035	2.17201	3.27490	1.95257	3.92665	1.55795
0.0000359	2.44766	1.60085	3.56567	2.74772	2.73831	1.33827	1.66597	2.52804	2.06328	2.35058	2.28726	3.06911	2.51805	2.04988	3.31822	4.05224	2.94454	1.70126	3.08283	3.49068	2.39245	2.06206	3.98492	3.03427	3.03541	2.35339	2.24089	2.15893	0.62055	2.84198	2.12499	3.66381	2.17405	1.61975	1.76460	2.41720	2.61183	2.41292	1.37436	3.79769	2.01456	1.43071	1.78966	2.10528	2.58122	2.34616	3.55477	1.25194	2.16661	3.25388	1.79050	3.82617	1.63934
0.0000404	2.43179	1.59565	3.48596	2.73411	2.68701	1.27339	1.61003	2.49605	2.01842	2.32792	2.25676	3.03200	2.35066	2.12591	3.28079	3.98908	2.69907	1.83331	2.82820	3.45461	2.35217	2.21752	3.80892	3.00630	3.18210	2.26724	2.33971	2.07318	0.86317	3.01875	2.07153	3.47184	2.07855	1.64130	1.71933	2.12236	2.55896	2.43919	1.42892	4.09605	2.06954	1.46618	1.78008	2.10499	2.52824	2.25140	3.61298	1.21316	2.14397	3.15329	2.00610	3.84963	1.65551
0.0000453	2.41390	1.49414	3.46886	2.61787	2.81221	1.41299	1.77837	2.53567	2.02711	2.28569	2.10017	3.00527	2.50597	1.99950	3.14849	3.82082	2.66363	1.69547	3.09015	3.31232	2.43920	1.99724	4.26957	3.09627	3.08739	2.40737	2.10703	2.23735	0.88199	2.93778	1.95018	3.45791	2.01035	1.50316	1.73119	2.24693	2.65667	2.31001	1.26779	4.00986	2.10683	1.40018	1.66807	2.01341	2.67787	2.28963	3.56744	1.25693	2.23804	3.23157	1.68554	3.61796	1.52476
0.0000509	2.39514	1.48963	3.45830	2.50973	2.76222	1.24269	1.75464	2.50300	2.13841	2.27810	2.04209	2.83818	2.32181	1.95559	3.05694	3.62959	2.68800	1.80956	2.92007	3.25840	2.28986	2.10528	4.13444	3.13043	3.16131	2.36569	2.14801	2.28856	0.67172	3.08094	2.07366	3.51424	2.14602	1.48913	1.79582	2.22948	2.59588	2.42807	1.44339	3.66002	2.15057	1.53796	1.63344	1.94150	2.52006	2.30992	3.45208	1.22373	2.21490	3.14228	2.05468	3.62535	1.48969
0.0000572	2.36873	1.54572	3.36664	2.53842	2.71847	1.29132	1.63805	2.42419	2.05509	2.29877	2.03151	2.90532	2.32336	2.09165	3.03720	3.63103	2.70929	1.80466	2.98209	3.23238	2.26359	2.17360	4.13799	3.02572	2.93156	2.35502	2.25289	2.26364	0.68641	2.91753	1.94873	3.35398	2.04755	1.56662	1.72835	2.19152	2.56997	2.54887	1.35766	3.59272	2.08863	1.31981	1.64610	1.96365	2.65592	2.28637	3.48051	1.27376	2.18795	3.09463	1.71931	3.51035	1.58271
