eta	mean	conf_05	conf_95	trace_00	trace_01	trace_02	trace_03	trace_04	trace_05	trace_06	trace_07	trace_08	trace_09	trace_10	trace_11	trace_12	trace_13	trace_14	trace_15	trace_16	trace_17	trace_18	trace_19	trace_20	trace_21	trace_22	trace_23	trace_24	trace_25	trace_26	trace_27	trace_28	trace_29	trace_30	trace_31	trace_32	trace_33	trace_34	trace_35	trace_36	trace_37	trace_38	trace_39	trace_40	trace_41	trace_42	trace_43	trace_44	trace_45	trace_46	trace_47	trace_48	trace_49
0.0000100	2.89004	2.69000	3.06400	2.99512	2.80681	3.02056	2.90465	3.06325	2.66560	3.02438	2.62814	3.04310	2.91345	3.02239	2.98489	2.85108	2.82372	2.05898	2.74336	2.88957	2.99990	1.54373	2.87434	3.17081	2.75287	3.00259	2.86885	2.90598	2.95983	3.18551	2.96346	2.97074	2.63080	3.05917	2.96824	3.07079	2.69272	3.05228	3.04741	2.92612	2.74631	3.12361	2.95866	3.05038	2.89789	2.74959	2.87455	3.03017	3.14844	3.05169	2.74983	3.06134	2.97439
0.0000112	2.89078	2.71794	3.07558	2.98109	2.80909	3.00953	2.88579	3.06682	2.66994	3.02967	2.63784	3.03841	2.89234	2.99546	2.97867	2.85372	2.82964	2.06085	2.74572	2.86798	2.98214	1.60534	2.89703	3.17227	2.75602	2.98472	2.88714	2.92324	2.98969	3.16871	2.96266	2.95328	2.63299	3.04720	2.95808	3.08416	2.72328	3.05370	3.03502	2.91954	2.76922	3.12402	2.94146	3.07463	2.90239	2.77311	2.87737	3.01882	3.15061	3.05353	2.74853	3.05927	2.95712
0.0000126	2.89494	2.69667	3.07583	2.98497	2.82829	3.01022	2.90873	3.07006	2.67331	3.03056	2.64186	3.03343	2.89403	3.00254	2.98346	2.84281	2.83504	2.09383	2.75054	2.89305	3.00295	1.61227	2.89876	3.14662	2.73716	3.00531	2.87596	2.90869	2.97660	3.18725	2.98427	2.97383	2.65322	3.06111	2.96016	3.08294	2.69927	3.07504	3.05004	2.93126	2.77245	3.11473	2.96166	3.05251	2.89213	2.77656	2.85998	3.03540	3.16662	3.04401	2.75231	3.06045	2.95863
0.0000142	2.89724	2.72477	3.07740	2.98659	2.81534	3.01013	2.88997	3.07065	2.67740	3.03051	2.63802	3.04071	2.89608	3.00568	2.98163	2.85873	2.84094	2.09979	2.75530	2.87206	2.98548	1.68490	2.90066	3.17473	2.76194	2.98642	2.89292	2.92634	2.99537	3.16437	2.96448	2.95676	2.64475	3.05138	2.96345	3.08123	2.73004	3.07688	3.03823	2.92334	2.77629	3.12448	2.94445	3.07698	2.90213	2.78015	2.88264	3.02778	3.14256	3.05488	2.75702	3.05879	2.96069
0.0000159	2.90160	2.72839	3.07026	3.00196	2.82031	3.02523	2.89373	3.06942	2.68218	3.02280	2.65128	3.04147	2.89984	3.01995	2.96763	2.86149	2.84601	2.12407	2.76167	2.87545	2.98910	1.73030	2.88401	3.17542	2.76476	2.99109	2.89604	2.92788	3.00463	3.16877	2.96890	2.96034	2.65340	3.05340	2.97824	3.06631	2.73352	3.06007	3.04142	2.92969	2.78007	3.12411	2.94683	3.07786	2.89995	2.78330	2.88517	3.03402	3.15465	3.05789	2.76575	3.06447	2.96413
0.0000179	2.90659	2.70987	3.07906	2.98545	2.82436	3.01806	2.91574	3.07226	2.68571	3.02541	2.66025	3.04135	2.92216	2.98686	2.97165	2.86533	2.85312	2.16294	2.77141	2.89960	3.00939	1.75899	2.88637	3.17790	2.76898	3.00888	2.88516	2.91635	2.99804	3.19119	2.97039	2.97968	2.65906	3.06518	2.98181	3.07869	2.71256	3.06179	3.05562	2.94081	2.76629	3.12703	2.96521	3.05900	2.90553	2.76907	2.88909	3.03755	3.15556	3.05018	2.77122	3.08243	2.98305
0.0000201	2.91040	2.73916	3.08314	3.00542	2.84365	3.02594	2.89839	3.07756	2.69214	3.03233	2.66525	3.04470	2.90368	3.02192	2.97819	2.85681	2.86206	2.17608	2.77458	2.87994	2.99260	1.83967	2.90741	3.15328	2.75207	2.99311	2.90449	2.93278	3.00672	3.17230	2.98790	2.96381	2.67905	3.05606	2.97389	3.08526	2.74439	3.08290	3.04539	2.93592	2.79062	3.11826	2.94987	3.08210	2.90769	2.79361	2.87435	3.02502	3.16845	3.06178	2.77292	3.06051	2.96725
0.0000226	2.91699	2.74434	3.08344	3.00691	2.83331	3.03339	2.90145	3.08145	2.69646	3.02949	2.67397	3.05078	2.90569	3.01880	2.98872	2.87266	2.86887	2.21989	2.78341	2.90534	3.01386	1.89873	2.89114	3.18114	2.77787	2.99351	2.90847	2.93559	2.98125	3.19161	2.97288	2.96625	2.67497	3.06525	2.98846	3.08367	2.74966	3.06570	3.05976	2.93826	2.77717	3.12904	2.96891	3.08342	2.91326	2.77948	2.89696	3.04908	3.16055	3.05365	2.78312	3.05952	2.98696
0.0000254	2.92190	2.72733	3.08607	2.99447	2.85420	3.02549	2.92531	3.08590	2.70281	3.03837	2.68463	3.04187	2.93001	3.00229	2.98506	2.86571	2.88001	2.25192	2.79465	2.90890	3.01738	1.94173	2.91421	3.15862	2.76260	3.01413	2.90022	2.92452	3.00805	3.19436	2.99322	2.98779	2.69712	3.06738	2.98189	3.07388	2.73005	3.08764	3.06316	2.95352	2.80276	3.12275	2.97177	3.06486	2.91452	2.78603	2.88385	3.04935	3.16017	3.05658	2.78712	3.06195	2.99016
0.0000285	2.92958	2.73466	3.08554	3.01201	2.84554	3.03912	2.92905	3.08551	2.71087	3.03141	2.68809	3.04859	2.93249	3.02092	3.00002	2.88289	2.88898	2.28679	2.80506	2.91294	3.02077	2.01328	2.89919	3.18674	2.78961	3.01546	2.90511	2.92780	3.00594	3.19583	2.97770	2.99035	2.70773	3.06873	2.99798	3.08576	2.73730	3.07223	3.06567	2.95712	2.79106	3.13222	2.97352	3.06790	2.91846	2.79330	2.90746	3.05843	3.16578	3.05919	2.79829	3.08043	2.99242
