eta	mean	conf_05	conf_95	trace_00	trace_01	trace_02	trace_03	trace_04	trace_05	trace_06	trace_07	trace_08	trace_09	trace_10	trace_11	trace_12	trace_13	trace_14	trace_15	trace_16	trace_17	trace_18	trace_19	trace_20	trace_21	trace_22	trace_23	trace_24	trace_25	trace_26	trace_27	trace_28	trace_29	trace_30	trace_31	trace_32	trace_33	trace_34	trace_35	trace_36	trace_37	trace_38	trace_39	trace_40	trace_41	trace_42	trace_43	trace_44	trace_45	trace_46	trace_47	trace_48	trace_49
0.0000100	2.10733	1.00853	3.20111	2.45942	2.60563	0.94179	2.33628	2.49690	0.98512	2.08073	1.89204	2.95678	2.03722	2.36396	1.48446	1.34074	2.40175	2.47389	2.75234	3.74832	1.28582	2.54123	1.30234	1.52178	2.39677	3.24027	1.63741	2.56416	2.88157	1.00931	1.27602	1.00153	1.62766	2.51893	1.33394	2.07122	0.68431	1.97801	2.95812	3.42493	2.45453	3.20206	3.20101	1.31213	0.53706	1.68417	3.14992	1.49363	2.09445	3.72557	1.64147	1.16993	3.08795
0.0000112	2.10851	1.12612	3.15949	2.40922	2.51972	0.99973	2.37202	2.35012	1.27616	2.16231	2.72336	3.02919	1.96338	2.23152	1.53521	1.20949	2.34418	2.58496	2.76784	3.71506	1.34750	2.20949	1.02071	1.67557	2.11663	3.15465	1.67179	2.45046	2.79727	1.10849	1.24310	1.20019	1.61469	2.40321	1.86910	2.21301	0.63178	1.71416	2.88744	3.81988	2.37115	2.60099	3.20303	1.19058	0.22689	1.59146	2.98529	1.49808	2.21056	3.62221	2.19315	1.12808	3.26120
0.0000126	2.11315	1.09721	3.12165	2.46475	2.75473	1.12681	2.29460	2.63846	0.93978	2.04339	2.44092	3.11798	2.09989	2.24362	1.47954	1.45136	2.40576	2.92250	2.79223	3.82850	1.08940	2.35457	1.35085	1.68294	1.95263	3.22646	1.74187	2.29563	2.87644	1.09020	1.29265	1.09799	1.63262	2.31733	1.76955	2.21151	0.68946	1.99959	3.00291	3.38800	1.99720	2.76762	3.15464	1.17838	0.69393	1.61810	3.08894	1.34698	2.34026	3.59810	1.49858	1.15375	3.11359
0.0000142	2.09974	1.11759	3.18570	2.19208	2.55799	1.09075	2.34389	2.72285	1.26099	2.04325	2.17079	3.18286	1.93909	2.29615	1.60027	1.50757	2.30419	2.60211	2.73457	3.60968	1.12057	2.13163	1.09072	1.48415	2.27167	3.21126	1.64321	2.36842	2.89191	1.17055	1.35096	0.92758	1.63704	2.08610	1.45081	2.13946	0.62925	1.87301	3.07097	3.53809	2.37108	3.00047	3.05087	1.31831	0.43437	1.65659	3.33365	1.42013	2.11519	3.58022	2.05930	1.38296	3.01756
0.0000159	2.11579	1.07155	3.22031	2.46572	2.48280	1.16554	2.32624	2.58768	1.01324	1.93120	2.18701	3.05262	1.78032	2.08049	1.60690	1.29754	2.25081	2.80435	2.68206	3.88875	1.27536	2.24017	1.03299	1.57527	2.52420	3.21483	1.72322	2.35804	2.64933	1.19219	1.33664	1.00619	1.64888	2.34268	2.22550	2.19878	0.67078	1.95107	2.97106	3.41818	2.38356	3.11645	3.19114	1.25263	0.29649	1.58909	3.29056	1.56783	2.19203	3.36203	2.04364	1.07583	3.26967
0.0000179	2.09889	1.10188	3.05973	2.43257	2.47247	1.03444	2.33036	2.44165	1.10321	2.16082	2.42282	2.98216	1.86819	2.36310	1.37735	1.51954	2.33665	3.05683	2.76938	3.77794	1.48274	2.12580	1.20708	1.52910	2.52665	3.13894	1.54397	2.36124	2.75233	1.08995	1.16328	1.23472	1.64833	2.60118	1.35661	2.11982	0.77132	1.96680	2.89820	3.54919	2.38622	2.93572	3.08581	1.03770	0.32295	1.80220	3.04502	1.59078	2.17896	3.52496	1.34798	1.21022	2.95913
0.0000201	2.09837	1.08817	3.07949	2.46906	2.86529	0.89568	2.29919	3.07120	1.20202	2.03633	2.10379	3.05820	1.96201	2.31775	1.60225	1.45773	2.25990	2.01017	2.80098	3.85488	0.91774	2.33321	1.15487	1.65137	1.99810	3.04972	1.69635	2.20986	3.02994	1.13586	1.34258	1.09399	1.66056	2.61763	1.68548	2.34162	0.96216	1.88793	2.95290	3.44533	2.55738	3.15414	2.99183	1.15047	0.39260	1.43574	3.03383	1.55557	2.11570	3.46144	1.44048	1.03583	3.15980
0.0000226	2.11488	1.05467	3.10418	2.45400	2.53287	0.85436	2.39228	2.64862	1.28238	2.21380	2.37642	2.87693	2.27291	2.35683	1.39231	1.50241	2.34613	2.83569	2.72390	3.91691	1.01079	2.58466	1.27326	1.54635	2.41252	3.11428	1.80165	2.20366	2.87630	1.05955	1.14620	1.16443	1.66200	2.61596	1.77925	2.10474	0.74488	1.96243	3.08529	3.10305	2.38805	2.94964	3.00228	0.96712	0.40690	1.56213	3.19666	1.70377	2.18701	3.57622	1.35665	1.07648	3.14105
0.0000254	2.08331	1.02161	3.07350	2.38785	2.61290	0.90677	2.25144	2.90330	1.09071	2.09966	2.15925	2.95423	2.24718	2.48769	1.40567	1.34572	2.37533	2.61666	2.71399	3.82408	1.23965	2.11360	1.31690	1.76548	1.89664	3.07342	1.66322	2.08684	2.95988	1.04679	1.37820	1.03347	1.66565	2.34020	1.90978	1.92701	0.75447	1.89158	3.01037	3.16172	2.53175	3.07424	3.12043	0.85823	0.59215	1.71049	3.00666	1.46310	2.10249	3.64119	1.69266	0.91491	2.84013
0.0000285	2.09240	1.13542	2.94600	2.41885	2.72002	1.00936	2.25238	2.36985	1.13892	2.21558	1.91691	2.84108	1.73856	2.33823	1.58571	1.46616	2.26386	2.71361	2.75139	3.95674	1.33105	2.28886	1.41115	1.43284	2.14981	2.93337	1.70584	2.66814	2.80384	1.07099	1.13729	1.24297	1.68337	2.26162	1.35387	2.09217	0.94954	1.94541	2.85655	3.52433	2.37730	2.38743	3.05969	1.14661	0.55878	1.77578	3.34822	1.62993	2.07473	3.87966	1.79744	1.11864	2.92542
