eta	mean	conf_05	conf_95	trace_00	trace_01	trace_02	trace_03	trace_04	trace_05	trace_06	trace_07	trace_08	trace_09	trace_10	trace_11	trace_12	trace_13	trace_14	trace_15	trace_16	trace_17	trace_18	trace_19	trace_20	trace_21	trace_22	trace_23	trace_24	trace_25	trace_26	trace_27	trace_28	trace_29	trace_30	trace_31	trace_32	trace_33	trace_34	trace_35	trace_36	trace_37	trace_38	trace_39	trace_40	trace_41	trace_42	trace_43	trace_44	trace_45	trace_46	trace_47	trace_48	trace_49
0.0000100	2.87488	2.58784	3.18302	2.78445	2.93817	1.86156	2.93194	2.80141	2.84897	2.99074	2.96499	3.06412	3.34722	2.75257	2.72434	3.27247	2.64008	3.02440	3.08246	2.89465	2.97677	3.42569	2.74450	2.41650	2.74874	3.02600	2.85158	3.14512	2.84078	2.98348	2.89510	2.57734	2.78540	3.30221	2.34884	2.73895	2.94818	2.83501	2.79980	3.17308	3.00273	2.62896	2.86111	3.00143	2.80478	2.77359	2.69368	3.03851	3.41879	3.04252	2.87839	2.58901	2.52293
0.0000112	2.87772	2.60035	3.17924	2.79454	2.95628	1.92448	2.94367	2.78719	2.83897	2.98162	2.96117	3.08135	3.35668	2.73829	2.72866	3.25649	2.64572	3.02380	3.09840	2.88546	2.98108	3.42214	2.74161	2.44189	2.74895	3.02472	2.84003	3.16554	2.83184	2.99940	2.88881	2.56231	2.81219	3.29473	2.28046	2.74918	2.95679	2.81702	2.81420	3.17065	3.02930	2.62377	2.87436	3.03149	2.82494	2.76279	2.69323	3.02443	3.43074	3.03703	2.86422	2.60458	2.53867
0.0000126	2.88249	2.59253	3.18224	2.79732	2.94157	1.94050	2.93653	2.80865	2.85301	2.98399	2.96787	3.08253	3.35842	2.76074	2.73488	3.27543	2.64577	3.02691	3.08854	2.89953	2.97655	3.43196	2.75264	2.37881	2.76571	3.03642	2.86730	3.15631	2.84944	2.98315	2.89606	2.57749	2.78951	3.31321	2.37574	2.75837	2.95160	2.81694	2.81345	3.17189	3.01448	2.63933	2.86755	3.02036	2.81214	2.78089	2.70035	3.04155	3.42490	3.04081	2.88406	2.59420	2.53918
0.0000142	2.89032	2.61124	3.18520	2.79860	2.96098	1.99169	2.94572	2.79466	2.85494	2.98575	2.97040	3.08444	3.35453	2.74701	2.74294	3.28059	2.65702	3.02662	3.10132	2.88982	2.99201	3.42503	2.75022	2.44176	2.77026	3.03288	2.88130	3.17460	2.84864	2.98543	2.88737	2.58462	2.82334	3.30066	2.40320	2.76286	2.96095	2.84241	2.82506	3.17030	3.02985	2.63474	2.88120	3.04809	2.83308	2.76957	2.71231	3.02714	3.43965	3.05095	2.87046	2.61420	2.55508
0.0000159	2.89625	2.61773	3.18846	2.80775	2.94774	2.02829	2.94622	2.81761	2.85796	2.99208	2.97528	3.08737	3.36039	2.77093	2.74875	3.28716	2.65892	3.03288	3.09767	2.89714	2.98901	3.43232	2.75454	2.46648	2.78240	3.03988	2.89762	3.15913	2.82975	3.00498	2.89457	2.59702	2.81656	3.31656	2.41421	2.76726	2.95775	2.82424	2.83066	3.17750	3.01675	2.64095	2.87650	3.05910	2.83671	2.78937	2.71420	3.04712	3.43673	3.05252	2.89213	2.62003	2.56392
0.0000179	2.90248	2.61631	3.19029	2.80862	2.95072	2.05981	2.95324	2.82295	2.84697	3.00827	2.98055	3.07422	3.37052	2.77710	2.75537	3.28570	2.67076	3.03627	3.09919	2.90849	2.99563	3.44713	2.76733	2.45875	2.79120	3.05898	2.90218	3.16602	2.86103	2.99263	2.90033	2.61712	2.81231	3.33327	2.44941	2.77006	2.96073	2.84774	2.83266	3.17969	3.02287	2.65793	2.88122	3.05206	2.82563	2.79435	2.72853	3.04997	3.43864	3.04702	2.89726	2.60899	2.56662
0.0000201	2.90772	2.62768	3.19370	2.81263	2.96992	2.13556	2.95848	2.81041	2.84760	3.01136	2.97722	3.07296	3.37332	2.76504	2.76186	3.29005	2.67844	3.03459	3.11046	2.91370	3.01192	3.44087	2.77236	2.48568	2.79922	3.05608	2.90787	3.18299	2.85650	2.99022	2.90524	2.62941	2.84452	3.31806	2.44552	2.76032	2.96893	2.83024	2.83830	3.17670	3.03728	2.66524	2.89496	3.06158	2.84698	2.78312	2.73095	3.03470	3.44442	3.06091	2.88402	2.61215	2.58515
0.0000226	2.91740	2.63891	3.19789	2.82574	2.97310	2.18441	2.96437	2.81901	2.86219	3.00675	2.98327	3.09367	3.37046	2.77441	2.77620	3.29056	2.68344	3.03923	3.11403	2.91479	3.02139	3.45116	2.77411	2.50656	2.81171	3.06522	2.89413	3.18329	2.86084	3.01186	2.90544	2.63680	2.84858	3.33127	2.46555	2.77115	2.97361	2.85534	2.85596	3.18760	3.04096	2.66524	2.90099	3.09481	2.85215	2.79213	2.74810	3.04102	3.44767	3.06925	2.89278	2.63915	2.59876
0.0000254	2.92384	2.64861	3.19718	2.83273	2.97758	2.23836	2.97281	2.82534	2.86802	3.01080	2.98734	3.09758	3.37390	2.78144	2.78584	3.28641	2.69250	3.04280	3.11985	2.91219	3.02979	3.45829	2.78074	2.49258	2.82410	3.07688	2.90861	3.18727	2.86907	2.99858	2.90891	2.64868	2.85841	3.34601	2.44057	2.77744	2.97772	2.86117	2.86379	3.18408	3.04514	2.67351	2.90785	3.10807	2.85952	2.79757	2.76118	3.04865	3.45756	3.07638	2.89806	2.64804	2.61254
0.0000285	2.93387	2.66639	3.20410	2.83641	2.98211	2.29956	2.97735	2.83527	2.86165	3.03057	2.99173	3.08557	3.38994	2.79161	2.79439	3.29662	2.71029	3.04839	3.12333	2.91785	3.03990	3.46508	2.79520	2.53208	2.83413	3.08715	2.92665	3.19382	2.87392	3.00360	2.91735	2.66964	2.86831	3.37042	2.52201	2.77706	2.98244	2.84664	2.86847	3.19228	3.02876	2.69339	2.91475	3.10527	2.86639	2.80633	2.76760	3.05319	3.46506	3.08163	2.90679	2.63713	2.62829
