eta	mean	conf_05	conf_95	trace_00	trace_01	trace_02	trace_03	trace_04	trace_05	trace_06	trace_07	trace_08	trace_09	trace_10	trace_11	trace_12	trace_13	trace_14	trace_15	trace_16	trace_17	trace_18	trace_19	trace_20	trace_21	trace_22	trace_23	trace_24	trace_25	trace_26	trace_27	trace_28	trace_29	trace_30	trace_31	trace_32	trace_33	trace_34	trace_35	trace_36	trace_37	trace_38	trace_39	trace_40	trace_41	trace_42	trace_43	trace_44	trace_45	trace_46	trace_47	trace_48	trace_49
0.0000100	2.54305	1.45872	3.68411	1.99980	1.39900	4.25531	2.73906	2.41568	2.68966	2.59690	2.32171	2.14069	2.91224	3.19263	1.88646	2.58624	0.98257	1.22006	2.14646	3.27791	2.52392	1.08901	2.57820	3.48071	4.13895	3.24342	1.89269	1.46536	2.30739	3.03250	2.78742	2.87620	1.88164	3.37339	2.70929	1.80026	3.81923	2.14521	4.40129	1.10822	3.91019	1.52805	2.38339	1.53369	1.75522	2.65353	3.39162	1.91797	3.53005	3.66910	2.14166	1.82369	3.49778
0.0000112	2.52921	1.44517	3.59239	2.11784	1.45478	4.13564	2.59288	2.28809	2.67221	2.60420	2.45425	2.22314	2.77534	3.18232	1.76601	2.46457	0.91367	1.15973	1.98393	3.40704	2.67402	0.91360	2.74035	3.58312	3.95693	3.30087	2.00395	1.35870	2.16038	2.89676	2.88307	2.71299	1.99392	3.24874	2.82402	1.87805	3.67580	2.21724	4.53346	1.18254	3.78452	1.73737	2.40625	1.74877	1.74366	2.64511	3.24729	1.85714	3.51581	3.42519	2.26515	1.78162	3.36873
0.0000126	2.52583	1.45346	3.57204	2.10401	1.46378	4.12448	2.60583	2.28904	2.66653	2.61290	2.44325	2.22108	2.77794	3.16988	1.76171	2.44416	0.90354	1.17822	1.95809	3.41413	2.70931	0.92477	2.70692	3.56137	3.94733	3.29382	1.88439	1.36058	2.15612	2.89217	2.88358	2.71140	1.98734	3.23355	2.81141	1.87596	3.66810	2.10450	4.51285	1.18104	3.78513	1.74969	2.48377	1.71968	1.73234	2.64065	3.23506	1.92430	3.49832	3.39465	2.25786	1.81463	3.51010
0.0000142	2.52299	1.46591	3.51049	1.98471	1.46756	4.20341	2.74454	2.40113	2.65784	2.50456	2.32730	2.10110	2.90700	3.05248	1.86970	2.57197	0.97892	1.23869	2.14403	3.36312	2.59732	0.91511	2.55079	3.40957	4.08520	3.17560	1.99965	1.45110	2.28304	3.00688	2.87521	2.85035	1.87394	3.33609	2.69435	1.74434	3.77706	2.10044	4.31051	1.09564	3.85593	1.75773	2.42494	1.59108	1.74652	2.58577	3.35153	1.89228	3.48087	3.37934	2.26143	1.83142	3.34018
0.0000159	2.51589	1.46128	3.58504	2.07899	1.46265	4.08461	2.60473	2.27561	2.63469	2.60928	2.42745	2.20171	2.76933	2.97779	1.74356	2.41043	0.97844	1.18133	2.01148	3.41830	2.75105	1.07683	2.57233	3.51569	3.90203	3.25860	1.86790	1.44893	2.13162	2.86132	2.86322	2.68051	1.97275	3.20088	2.67381	1.86311	3.74762	2.09499	4.45502	1.18601	3.73558	1.73588	2.50231	1.71454	1.76476	2.60122	3.19775	1.92836	3.45831	3.56832	2.23626	1.80647	3.54994
0.0000179	2.50548	1.45153	3.50006	2.05823	1.46297	4.07010	2.60624	2.28413	2.61716	2.62192	2.41432	2.19287	2.76461	3.10753	1.73821	2.53624	0.91011	1.17822	2.01767	3.41523	2.78405	1.02743	2.68027	3.48932	3.88030	3.23692	1.98031	1.34856	2.12200	2.84729	2.84629	2.67221	1.96231	3.18644	2.77008	1.85385	3.59675	2.19876	4.42267	1.18023	3.69420	1.72846	2.38581	1.74401	1.78181	2.61729	3.18579	1.91002	3.43441	3.40519	2.10525	1.78422	3.41571
0.0000201	2.49088	1.46332	3.59951	2.03964	1.46517	4.05028	2.61584	2.27590	2.49840	2.54525	2.39972	2.08597	2.76239	2.95343	1.73141	2.40495	0.97565	1.18573	1.99870	3.35923	2.72108	1.03072	2.65504	3.48378	3.85616	3.22120	1.98214	1.44662	2.11067	2.83443	2.83597	2.66068	1.84971	3.16390	2.76143	1.85580	3.70443	2.09049	4.39417	1.14197	3.68527	1.73883	2.49783	1.69713	1.73147	2.62796	3.16561	1.86186	3.29547	3.50206	2.21694	1.78538	3.58998
0.0000226	2.48181	1.46382	3.60257	2.02274	1.47639	4.02223	2.61780	2.37582	2.58264	2.53055	2.39267	2.07788	2.75814	2.93552	1.72229	2.40234	0.98778	1.19342	2.03094	3.41753	2.71049	0.97379	2.54627	3.45307	3.83067	3.11730	1.96295	1.35067	2.22486	2.81468	2.83748	2.64868	1.84029	3.14175	2.73659	1.84806	3.66453	2.08663	4.35852	1.15497	3.65697	1.73571	2.48876	1.73525	1.66858	2.57833	3.14222	1.87159	3.26420	3.51167	2.19471	1.79712	3.59653
0.0000254	2.46819	1.43612	3.48118	1.89875	1.37044	4.08435	2.75128	2.37570	2.46122	2.46714	2.27356	2.06331	2.87970	3.06413	1.81288	2.50618	0.98150	1.25558	2.16076	3.20640	2.60565	1.03241	2.53512	3.29106	3.95263	3.08745	1.84103	1.44342	2.21548	2.91771	2.70542	2.77545	1.83245	3.22422	2.61273	1.73642	3.51691	2.16659	4.14979	1.16122	3.75896	1.73597	2.38804	1.65947	1.69944	2.55618	3.24001	1.90186	3.35252	3.31684	2.06636	1.84064	3.47722
0.0000285	2.45893	1.43473	3.50052	1.85747	1.38865	4.05495	2.74965	2.37421	2.54672	2.51877	2.24006	2.04631	2.87429	3.03585	1.80199	2.49274	0.96994	1.26625	2.20482	3.24388	2.65530	1.05356	2.49710	3.26364	3.91136	3.05013	1.94673	1.43985	2.19769	2.89380	2.68775	2.75785	1.80908	3.19834	2.57957	1.72338	3.59944	2.06341	4.08896	1.17928	3.70583	1.72768	2.37476	1.76462	1.66825	2.47653	3.21153	1.80953	3.31426	3.27262	2.03669	1.83201	3.48953
0.0000320	2.43986	1.43073	3.50335	1.83968	1.35670	4.02412	2.75390	2.36450	2.40473	2.43621	2.23512	2.03271	2.87317	2.85135	1.79014	2.49309	0.91730	1.27774	2.20180	3.30534	2.50478	1.02773	2.50005	3.20233	3.87458	3.02306	1.81267	1.43895	2.18214	2.87189	2.66671	2.74281	1.91876	3.16831	2.55859	1.71525	3.56778	2.15889	4.04074	1.20119	3.67497	1.72667	2.34453	1.69749	1.75173	2.51302	3.18361	1.86078	3.15880	3.39821	2.01927	1.83295	3.49619
