eta	mean	conf_05	conf_95	trace_00	trace_01	trace_02	trace_03	trace_04	trace_05	trace_06	trace_07	trace_08	trace_09	trace_10	trace_11	trace_12	trace_13	trace_14	trace_15	trace_16	trace_17	trace_18	trace_19	trace_20	trace_21	trace_22	trace_23	trace_24	trace_25	trace_26	trace_27	trace_28	trace_29	trace_30	trace_31	trace_32	trace_33	trace_34	trace_35	trace_36	trace_37	trace_38	trace_39	trace_40	trace_41	trace_42	trace_43	trace_44	trace_45	trace_46	trace_47	trace_48	trace_49
0.0000100	3.01881	2.89789	3.12348	3.06245	2.97950	3.04595	3.02587	2.96967	3.04210	2.93845	3.00566	3.16245	3.08662	2.97923	2.90148	2.97598	3.12192	3.01205	2.96179	2.94677	2.95704	3.07106	3.37056	2.99180	3.02204	2.93904	3.51343	2.99552	3.05325	2.89839	3.00140	3.13754	2.80839	2.83205	3.07432	3.07645	3.02617	3.06080	3.08258	3.29118	2.97929	2.93618	2.92631	3.11367	2.89335	2.83174	2.95306	2.92568	3.03702	2.94523	2.82059	3.04743	3.10986
0.0000112	3.01924	2.88059	3.12558	3.06616	2.99021	3.04236	3.02500	2.96336	3.05400	2.95809	2.99059	3.16239	3.08649	2.99904	2.85500	2.95740	3.12883	2.99301	2.95371	2.96802	2.97175	3.07148	3.37172	2.99005	3.03854	2.95808	3.51617	2.98293	3.05430	2.88343	2.99742	3.11496	2.80911	2.84905	3.05670	3.06578	3.02559	3.06939	3.08273	3.29218	2.98102	2.95550	2.94742	3.12522	2.91492	2.81772	2.96951	2.90241	3.03660	2.92664	2.82766	3.05716	3.10505
0.0000126	3.02141	2.90179	3.12608	3.05965	2.98396	3.03379	3.04340	2.97803	3.05459	2.95860	3.00692	3.16228	3.08596	2.99971	2.90436	2.95905	3.12631	2.99455	2.95729	2.96795	2.97214	3.07237	3.37296	2.99142	3.02260	2.95897	3.51954	2.99788	3.06049	2.88568	3.00003	3.11331	2.82052	2.85123	3.05780	3.06734	3.04218	3.06200	3.06519	3.29329	2.98293	2.95577	2.94738	3.12606	2.91576	2.82006	2.95425	2.90358	3.03063	2.92834	2.81270	3.08365	3.10618
0.0000142	3.02223	2.90288	3.12635	3.04819	2.98590	3.03705	3.04412	2.98032	3.04391	2.94123	3.00740	3.16215	3.08628	2.98294	2.92191	2.97847	3.12485	3.01440	2.95701	2.94818	2.95866	3.07313	3.37431	3.01063	3.02349	2.94300	3.52420	2.98613	3.05551	2.90348	2.98300	3.13987	2.82403	2.83860	3.07479	3.07870	3.04291	3.06253	3.06510	3.29449	2.98503	2.93833	2.92753	3.12425	2.89751	2.83744	2.95535	2.92712	3.03434	2.94851	2.81702	3.08497	3.11339
0.0000159	3.02332	2.90610	3.12848	3.06391	3.00039	3.02419	3.04604	2.97016	3.04423	2.94110	3.01068	3.16194	3.06230	2.98331	2.90786	2.98113	3.12684	3.01691	2.95736	2.94762	2.95846	3.07402	3.37572	3.01249	3.02308	2.94349	3.52761	2.98693	3.06114	2.90702	3.00356	3.14321	2.82768	2.84024	3.07656	3.08103	3.02791	3.07249	3.06393	3.29580	2.98728	2.93805	2.92688	3.12314	2.89775	2.84096	2.95584	2.92998	3.02652	2.95171	2.83700	3.08647	3.11620
0.0000179	3.02583	2.90822	3.12593	3.06995	2.98629	3.03910	3.04677	2.98628	3.04515	2.96500	3.00993	3.16193	3.08826	2.98509	2.93370	2.95995	3.12270	3.01768	2.96058	2.94816	2.95984	3.07586	3.37742	3.01300	3.02356	2.94567	3.53413	2.98930	3.05892	2.90911	3.00151	3.14321	2.83254	2.84399	3.07636	3.08215	3.04597	3.06447	3.06237	3.29743	2.99009	2.93959	2.92753	3.12402	2.90016	2.84404	2.95661	2.93044	3.03733	2.95284	2.82100	3.08887	3.11556
0.0000201	3.02749	2.90291	3.12533	3.06815	2.99758	3.05649	3.02776	2.97342	3.06031	2.96738	2.99231	3.16184	3.06405	3.00949	2.93318	2.96145	3.12559	2.99607	2.96308	2.97455	2.97841	3.07661	3.37920	3.01374	3.04363	2.96927	3.53929	2.99188	3.06113	2.89263	3.00385	3.11671	2.82608	2.86527	3.05636	3.07171	3.02955	3.07560	3.08418	3.29918	2.99311	2.96346	2.95362	3.12531	2.92704	2.82883	2.97708	2.90405	3.03839	2.93205	2.84767	3.06596	3.11095
0.0000226	3.03005	2.90662	3.12462	3.07067	2.99396	3.06051	3.03142	2.99235	3.06358	2.97079	2.99632	3.16173	3.06759	3.01314	2.94382	2.98671	3.11971	2.99996	2.96202	2.97733	2.98163	3.07827	3.38112	2.99519	3.04652	2.97297	3.54492	2.99628	3.06525	2.89767	2.95551	3.12372	2.83231	2.87050	3.05992	3.07612	3.03382	3.07959	3.08686	3.30114	2.99646	2.96656	2.95657	3.13273	2.93090	2.83398	2.98025	2.90762	3.03931	2.93621	2.84472	3.07132	3.11493
0.0000254	3.03197	2.90734	3.11474	3.05449	2.99807	3.04216	3.05097	2.98307	3.06488	2.95153	3.01725	3.16180	3.09222	2.99504	2.94758	2.98764	3.10741	3.00133	2.97967	2.97837	2.98307	3.08015	3.38332	2.99705	3.03094	2.97561	3.55278	2.99825	3.07175	2.90038	2.99259	3.11927	2.84782	2.87411	3.06076	3.07810	3.05133	3.08079	3.08583	3.30346	3.00041	2.96844	2.95790	3.11424	2.93371	2.83687	2.98239	2.90811	3.03997	2.93814	2.83609	3.08768	3.11357
0.0000285	3.03514	2.90836	3.12084	3.05724	2.99624	3.06136	3.03320	2.99783	3.06691	2.97603	3.00037	3.16184	3.06851	3.01889	2.95701	2.99007	3.11793	3.00215	2.96978	2.98102	2.98504	3.08212	3.38566	2.99682	3.04952	2.97952	3.55984	3.00173	3.07012	2.90330	3.00432	3.11991	2.84273	2.87925	3.06010	3.07974	3.05397	3.08278	3.08726	3.30601	3.00473	2.97136	2.95991	3.12924	2.93782	2.84093	2.98434	2.90892	3.04034	2.93986	2.85802	3.07637	3.11913
0.0000320	3.03852	2.92655	3.12638	3.07630	3.01428	3.04694	3.03812	3.00205	3.07116	2.98069	3.00641	3.16206	3.07387	3.00297	2.96420	2.97327	3.11545	3.02785	2.98085	2.98424	2.97238	3.08447	3.38830	3.02123	3.03648	2.98452	3.57050	3.02123	3.06638	2.92809	2.99866	3.12601	2.86166	2.88549	3.06456	3.08552	3.04200	3.07854	3.07069	3.30899	3.00972	2.97575	2.96370	3.11955	2.94300	2.84683	2.97111	2.91276	3.02497	2.94509	2.86912	3.09825	3.12970
0.0000359	3.04194	2.93169	3.13521	3.07594	2.99483	3.04928	3.05846	2.99588	3.06109	2.96288	3.02567	3.16230	3.09742	3.00846	2.97343	2.99635	3.12394	3.03027	2.98079	2.96346	2.97549	3.08662	3.39114	3.00264	3.03913	2.96900	3.57995	3.02596	3.07108	2.93259	3.00174	3.15760	2.86885	2.87420	3.08374	3.09988	3.06065	3.08213	3.07075	3.31230	3.01519	2.95855	2.94152	3.11645	2.92360	2.87146	2.97240	2.94161	3.04086	2.97005	2.86469	3.10192	3.13273
0.0000404	3.04646	2.93611	3.13807	3.07756	3.01996	3.06524	3.04340	3.01201	3.06590	2.98737	3.01272	3.16278	3.07902	3.03184	2.98365	2.98037	3.11313	3.03114	2.99700	2.96866	2.98101	3.08935	3.39437	3.02254	3.05616	2.97603	3.59209	3.03151	3.06431	2.93668	3.02105	3.15825	2.86887	2.88357	3.08312	3.10286	3.04865	3.08709	3.07310	3.31615	3.02149	2.96509	2.94810	3.11711	2.93102	2.87756	2.97947	2.94253	3.04341	2.97231	2.89104	3.07957	3.13583
0.0000453	3.05007	2.92676	3.13656	3.08191	3.02269	3.05372	3.06266	3.00692	3.08040	2.97450	3.03202	3.16346	3.10036	3.02087	2.99459	3.00194	3.09397	3.01654	2.99818	2.99193	2.99911	3.09255	3.39797	3.00871	3.04626	2.99925	3.60527	3.02514	3.06232	2.92711	2.99243	3.13655	2.88610	2.90783	3.06975	3.09883	3.06644	3.09878	3.09184	3.32055	3.02853	2.98771	2.97200	3.10989	2.95742	2.86996	2.99787	2.92358	3.04444	2.95884	2.88466	3.10234	3.13669
0.0000509	3.05568	2.93373	3.14363	3.08002	3.03405	3.05635	3.06512	3.01475	3.08373	2.98094	3.03465	3.16438	3.10200	3.02818	3.00652	3.00487	3.09460	3.02041	3.00153	2.99466	3.00251	3.09601	3.40202	3.01129	3.05034	3.00463	3.61984	3.03295	3.06198	2.93431	3.00019	3.14259	2.89602	2.91602	3.07167	3.10385	3.06989	3.10339	3.09273	3.32558	3.03641	2.99227	2.97481	3.14707	2.96249	2.87980	3.00098	2.92855	3.04595	2.96438	2.89896	3.10448	3.14325
0.0000572	3.06138	2.94045	3.15134	3.08585	3.04179	3.05749	3.06896	3.02202	3.08816	2.98681	3.03924	3.16565	3.10452	3.03534	3.01960	3.00947	3.09669	3.02409	3.00524	2.99907	3.00745	3.09988	3.40666	3.01416	3.05426	3.01181	3.63647	3.04026	3.06196	2.94131	3.00613	3.14564	2.90655	2.92600	3.07372	3.10957	3.07465	3.10878	3.09488	3.33136	3.04524	2.99894	2.97970	3.15672	2.96955	2.88948	3.00589	2.93271	3.04717	2.96991	2.91239	3.10904	3.15074
