eta	mean	conf_05	conf_95	trace_00	trace_01	trace_02	trace_03	trace_04	trace_05	trace_06	trace_07	trace_08	trace_09	trace_10	trace_11	trace_12	trace_13	trace_14	trace_15	trace_16	trace_17	trace_18	trace_19	trace_20	trace_21	trace_22	trace_23	trace_24	trace_25	trace_26	trace_27	trace_28	trace_29	trace_30	trace_31	trace_32	trace_33	trace_34	trace_35	trace_36	trace_37	trace_38	trace_39	trace_40	trace_41	trace_42	trace_43	trace_44	trace_45	trace_46	trace_47	trace_48	trace_49
0.0000100	2.79294	2.54538	3.05695	2.96096	2.91859	2.86243	3.07587	1.87116	3.14700	2.89427	2.57942	2.18413	2.78789	2.90363	2.84916	3.09621	2.82183	2.97517	2.17268	2.98214	2.69779	3.07526	2.68349	2.91244	2.87705	2.95974	2.68393	2.79712	2.27060	3.00507	2.88083	2.81757	3.00253	3.05492	2.88519	2.87877	0.39392	2.96201	2.96715	2.83452	3.01722	2.76810	2.92237	3.03705	3.43125	3.04566	3.00386	2.77784	2.87696	2.82030	2.87700	2.57591	2.77092
0.0000112	2.79476	2.55145	3.05915	2.94797	2.91960	2.86538	3.07660	1.88078	3.14278	2.89532	2.58355	2.16450	2.79123	2.89306	2.85061	3.09195	2.82663	2.97675	2.18404	2.98390	2.70380	3.06711	2.68756	2.91384	2.87758	2.98141	2.69234	2.79859	2.28277	3.00661	2.88249	2.81921	2.99341	3.05827	2.88706	2.88172	0.39524	2.96437	2.96959	2.83780	3.01998	2.77245	2.92372	3.04332	3.43292	3.04673	3.00507	2.78058	2.88008	2.82484	2.87807	2.58131	2.77352
0.0000126	2.79919	2.55819	3.07003	2.95410	2.92408	2.86732	3.07915	1.89273	3.12005	2.92118	2.58835	2.17444	2.79945	2.90589	2.85439	3.09554	2.83103	2.97798	2.20122	2.98578	2.69399	3.08824	2.67140	2.93239	2.87738	2.97950	2.69748	2.81808	2.32353	3.00259	2.89536	2.84495	2.99855	3.06901	2.87706	2.86759	0.42278	2.96558	2.98074	2.81640	3.01775	2.76311	2.91869	3.03939	3.43572	3.05780	3.00635	2.78520	2.86735	2.82843	2.88207	2.58426	2.77830
0.0000142	2.80350	2.56655	3.06147	2.95509	2.92661	2.87086	3.07991	1.90614	3.16632	2.89869	2.59514	2.21146	2.79530	2.90894	2.85651	3.10508	2.83706	2.97921	2.21553	2.98868	2.71671	3.06957	2.69547	2.92003	2.87448	2.96791	2.70086	2.80426	2.31918	3.01103	2.88663	2.82503	3.00920	3.06057	2.89214	2.88781	0.41412	2.96879	2.97460	2.84442	3.00920	2.78200	2.91616	3.04710	3.45862	3.04973	3.00744	2.78831	2.88638	2.83367	2.88282	2.59404	2.78012
0.0000159	2.80875	2.57947	3.07367	2.98968	2.92753	2.85336	3.09289	1.92278	3.13564	2.92558	2.62104	2.20000	2.80887	2.90762	2.86032	3.10597	2.84285	2.99364	2.25360	2.97820	2.70809	3.08591	2.67987	2.93916	2.87934	2.98930	2.69367	2.82416	2.35864	3.00686	2.90040	2.85155	3.01121	3.07231	2.87988	2.87401	0.42395	2.97126	2.98686	2.82287	3.02039	2.77218	2.92848	3.05069	3.43956	3.06129	2.99439	2.79313	2.87426	2.81904	2.90978	2.60401	2.79144
0.0000179	2.81491	2.58450	3.06437	2.98993	2.93008	2.85990	3.09431	1.96185	3.16343	2.90470	2.62780	2.23678	2.80859	2.89745	2.88244	3.10169	2.84271	2.99529	2.27489	2.98091	2.73213	3.07176	2.70450	2.92512	2.89524	2.98952	2.70532	2.81140	2.35760	3.01540	2.89151	2.83293	3.05086	3.06355	2.88185	2.89484	0.44405	2.96072	2.97982	2.85116	3.03632	2.77845	2.92891	3.04809	3.44511	3.05195	2.99329	2.81541	2.89385	2.82522	2.91100	2.60971	2.79614
0.0000201	2.81959	2.59967	3.07777	2.95949	2.93896	2.88057	3.08626	1.95735	3.14883	2.93041	2.63602	2.22650	2.81212	2.91113	2.86842	3.11221	2.85706	2.98819	2.27341	2.99674	2.72583	3.09052	2.69104	2.94531	2.89455	2.98784	2.72961	2.83090	2.40294	3.01313	2.90527	2.85889	3.02229	3.07683	2.89957	2.88226	0.46822	2.97706	2.99297	2.83077	3.02853	2.79878	2.92424	3.05621	3.44206	3.06413	3.01142	2.80398	2.88336	2.85032	2.89199	2.62153	2.79352
0.0000226	2.82667	2.60630	3.07118	2.99337	2.94215	2.86925	3.09856	2.00368	3.17033	2.91119	2.62840	2.26580	2.81084	2.88389	2.89130	3.11118	2.85885	3.00001	2.32021	2.98885	2.75154	3.07522	2.71632	2.93590	2.89771	3.00035	2.72070	2.81996	2.40738	3.02171	2.89933	2.84256	3.06848	3.07073	2.88966	2.90444	0.46658	2.96882	2.98893	2.86047	3.04526	2.80608	2.93553	3.06053	3.45323	3.05787	2.99820	2.82705	2.90386	2.83955	2.91655	2.62927	2.80579
0.0000254	2.83377	2.61903	3.07227	2.99569	2.94431	2.87262	3.10062	2.02708	3.18310	2.91504	2.65558	2.28384	2.82302	2.90160	2.89623	3.11476	2.86813	3.00342	2.34610	2.99302	2.76258	3.07972	2.72321	2.93905	2.91049	3.00499	2.72878	2.82400	2.43374	3.02520	2.90158	2.84770	3.05245	3.07144	2.89693	2.90965	0.49068	2.97357	2.99233	2.86576	3.04743	2.80029	2.93777	3.06593	3.45806	3.05955	2.99968	2.83366	2.90941	2.84768	2.92044	2.63962	2.81102
0.0000285	2.84071	2.63356	3.08459	2.96838	2.95406	2.89468	3.09334	2.02886	3.18068	2.94009	2.65067	2.27549	2.82522	2.91396	2.88601	3.13145	2.88379	2.99327	2.35504	3.00833	2.76139	3.09177	2.71372	2.95752	2.89035	3.01909	2.75831	2.84536	2.47954	3.02370	2.91545	2.87339	3.05883	3.08379	2.91064	2.90126	0.55079	2.98859	3.00480	2.85110	3.04018	2.82235	2.92568	3.07254	3.45689	3.07012	3.01437	2.82606	2.90267	2.87372	2.90322	2.65482	2.81002
