eta	mean	conf_05	conf_95	trace_00	trace_01	trace_02	trace_03	trace_04	trace_05	trace_06	trace_07	trace_08	trace_09	trace_10	trace_11	trace_12	trace_13	trace_14	trace_15	trace_16	trace_17	trace_18	trace_19	trace_20	trace_21	trace_22	trace_23	trace_24	trace_25	trace_26	trace_27	trace_28	trace_29	trace_30	trace_31	trace_32	trace_33	trace_34	trace_35	trace_36	trace_37	trace_38	trace_39	trace_40	trace_41	trace_42	trace_43	trace_44	trace_45	trace_46	trace_47	trace_48	trace_49
0.0000100	2.23172	1.31430	3.13830	1.52018	3.80173	1.24707	1.99812	0.83602	3.36576	1.41255	2.43566	2.98960	2.54907	2.58333	2.60970	2.97195	1.08833	1.49540	3.67202	2.56756	0.55998	3.11587	3.07331	2.91650	2.13205	2.06190	3.34022	2.60867	1.32177	0.79407	3.00313	2.49263	2.91336	1.57476	1.38035	1.94621	1.84415	1.77162	2.42575	1.63194	2.25140	1.45609	3.04027	2.72159	1.52546	1.57518	2.45154	3.04368	1.60687	2.52407	3.70393	1.76318	1.87028
0.0000112	2.26169	1.29056	3.31966	1.62163	4.12381	1.23637	1.84263	0.88116	3.39093	1.53613	2.54674	3.05807	2.42943	2.58513	2.63414	3.00079	1.04997	1.59059	3.77574	2.59338	0.62491	3.20417	3.11275	2.71575	2.15835	2.18423	3.46617	2.65311	1.29658	0.82352	3.31175	2.54008	3.31081	1.42563	1.29738	2.14911	1.97470	1.74852	2.31803	1.68889	2.04561	1.80009	2.58794	2.85991	1.52641	1.94537	2.45443	2.61574	1.55560	2.52013	3.55957	1.81349	1.89889
0.0000126	2.22751	1.27312	3.23634	1.54347	4.24954	1.12825	1.81854	0.82192	3.37504	1.40599	2.59187	2.94711	2.35888	2.62715	2.67775	2.97178	1.06892	1.46371	3.67630	2.80715	0.62279	3.01205	2.95289	2.80214	2.15302	2.15384	3.41970	2.49563	1.28921	0.73626	2.98228	2.50338	3.22093	1.55062	1.34926	2.15984	1.90867	1.60827	2.12061	1.65448	1.92563	1.93555	2.88973	2.54785	1.61899	1.58987	2.50674	2.65150	1.47770	2.38524	3.82984	1.73392	2.05366
0.0000142	2.22657	1.23670	3.09750	1.64203	4.16957	1.06887	2.06620	0.81054	3.35548	1.59499	2.67736	3.03173	2.50177	2.60018	2.45514	2.97056	1.16493	1.34337	3.86862	2.63124	0.52254	2.93653	2.97733	2.53030	2.16217	2.07437	3.32432	2.49866	1.24467	0.74832	3.07230	2.41878	2.57152	1.51684	1.40563	2.21192	1.91884	1.94500	2.10857	1.67951	2.22157	1.76698	2.77202	2.66028	1.46404	1.77244	2.47275	2.92845	1.66264	2.42575	3.62556	1.78883	1.94667
0.0000159	2.23332	1.30434	3.20879	1.73269	4.00494	1.17824	1.86271	0.74655	3.34156	1.52709	2.34648	2.98988	2.55321	2.60431	2.58176	3.01576	1.17041	1.37002	3.74977	2.72412	0.60873	3.00346	3.05593	2.52436	2.16428	2.18190	3.24289	2.75239	1.31835	0.93283	3.20500	2.51873	2.88599	1.36181	1.46057	2.18033	1.97203	1.61680	1.92389	1.67100	2.05916	1.72879	2.83025	2.65656	1.62539	1.80508	2.46155	2.91303	1.53624	2.58015	3.24773	1.79599	2.34522
0.0000179	2.23401	1.22221	3.16347	1.97960	4.15255	0.95563	1.98351	0.85952	3.31494	1.65364	2.44833	2.95761	2.44984	2.60981	2.86301	2.93739	1.22278	1.37113	3.83783	2.54082	0.52395	3.15329	2.85340	2.66099	2.15172	2.19160	3.25510	2.47504	1.21715	0.92558	3.11378	2.35892	3.05305	1.56944	1.37438	1.95206	1.85563	1.78934	2.23685	1.64144	2.15412	1.63704	2.73304	2.57426	1.55828	1.57019	2.39142	2.91863	1.67436	2.60259	3.79555	1.69999	1.90057
0.0000201	2.22274	1.21278	3.21229	1.80670	3.98452	1.18354	1.94309	0.87000	3.28948	1.62168	2.24447	2.87574	2.41550	2.50351	2.83926	3.02608	1.18965	1.54867	3.59206	2.65038	0.64369	3.03422	2.93811	2.74282	2.14633	2.01055	3.36772	2.56886	1.21535	0.94079	3.20372	2.28768	3.09613	1.53795	1.35365	1.92793	1.77547	1.76521	2.16612	1.66458	1.90633	1.70588	2.70339	2.77014	1.49370	1.63795	2.41164	3.08910	1.44116	2.65045	3.81783	1.82253	1.71583
0.0000226	2.23318	1.35968	3.24937	1.92617	3.70046	1.41675	1.76256	0.81347	3.24524	1.68408	2.26656	2.93477	2.50756	2.64430	3.15255	2.92635	1.16395	1.37517	3.88965	2.59282	0.78321	3.03976	2.83708	2.92855	2.12877	2.09278	3.28648	2.48586	1.30831	0.68098	3.31772	2.42741	3.12542	1.36539	1.40364	2.01547	1.91361	1.94449	1.95380	1.59717	1.76190	1.70089	2.73631	2.72320	1.57808	1.83113	2.37036	2.94852	1.55911	2.71060	3.40935	1.77977	1.91164
0.0000254	2.23178	1.26584	3.18024	1.91307	3.95081	1.09842	1.68674	0.87752	3.16993	1.65581	2.50780	2.80634	2.50577	2.64267	2.67257	2.91649	1.15635	1.39420	3.78595	2.64363	0.70153	3.17342	2.77710	2.80206	2.10635	2.11436	3.30109	2.21299	1.31893	0.63044	3.24157	2.43488	2.75138	1.27801	1.54908	2.02763	1.91631	1.96509	2.20037	1.68731	2.08955	1.71728	3.04150	2.66662	1.64881	1.74980	2.41235	2.84939	1.61127	2.67874	3.65174	1.77404	2.12385
0.0000285	2.23731	1.31150	3.17796	1.90499	3.86295	1.30470	1.65524	0.87771	3.10341	1.67383	2.32443	2.83092	2.47744	2.56587	3.17512	3.00417	1.25947	1.55825	3.56076	2.61596	0.65921	2.99033	2.80012	2.70450	2.13503	2.10989	3.26939	2.32741	1.31225	0.79814	3.20347	2.41519	2.71301	1.48504	1.59787	1.97265	1.89140	1.83879	2.02651	1.74127	1.94938	1.91086	2.87369	2.74387	1.53223	1.92954	2.38432	2.89921	1.61426	2.55557	3.71900	1.78512	2.22155
0.0000320	2.19412	1.31794	3.14419	1.95562	3.67476	1.32695	1.83560	0.76777	3.17368	1.54185	2.48264	2.75984	2.38138	2.56719	3.08140	2.74932	1.21681	1.39182	3.59748	2.52238	0.55908	3.14091	2.90384	2.61326	2.14615	2.01243	3.26017	2.56021	1.23687	0.98073	2.94284	2.44008	2.88993	1.55308	1.33704	2.00639	1.81041	1.92512	2.15825	1.73953	1.87635	1.91185	2.71631	2.60285	1.37793	1.67402	2.43362	2.46428	1.58177	2.46984	3.64928	1.68101	2.02399
0.0000359	2.18233	1.45450	3.05094	1.94424	3.77649	1.47366	1.77452	0.94632	3.13995	1.52378	2.25990	2.76741	2.44043	2.62644	3.09379	2.69439	1.13673	1.56328	3.74816	2.49478	0.66314	2.85741	2.76012	2.27465	2.12779	1.98580	3.04618	2.42174	1.28211	0.99977	3.03612	2.23777	2.90206	1.47541	1.57894	1.93729	1.78047	1.81803	2.23439	1.61882	2.14609	1.74334	2.65095	2.58639	1.58101	1.55027	2.46629	2.62296	1.48277	2.55133	3.53090	1.65895	2.10280
0.0000404	2.20511	1.38831	3.10992	1.93652	3.80028	1.39236	1.57529	0.87481	3.03913	1.80439	2.57301	2.76582	2.20424	2.36137	3.36401	3.00213	1.21802	1.59158	3.48471	2.30598	0.75158	3.10434	2.78102	2.67140	2.21626	1.87947	3.16013	2.56859	1.35187	0.99331	2.90007	2.38044	2.60837	1.53839	1.41646	1.95007	1.72542	2.00571	2.17272	1.59328	1.94148	1.85225	3.00591	2.85017	1.42877	1.72183	2.40569	2.78493	1.52208	2.43319	3.57177	1.77094	1.90396
0.0000453	2.19029	1.31021	3.08629	1.87286	3.56558	1.52683	1.57531	0.77693	2.95205	1.64243	2.44676	2.90258	2.43522	2.45889	3.23659	2.90392	1.26383	1.52929	3.55525	2.64291	0.72105	3.25705	2.66896	2.83240	2.11845	1.95803	3.06959	2.41952	1.24804	0.88599	2.86703	2.15687	2.79038	1.47207	1.31536	2.01278	1.82358	2.00727	2.19461	1.60770	1.59271	2.08120	2.93029	2.55200	1.52472	1.55868	2.42881	2.75245	1.46660	2.41632	3.77513	1.83259	1.88913
0.0000509	2.17170	1.38525	2.96504	1.90378	3.72515	1.29827	1.52118	0.87450	2.86690	1.66937	2.51885	2.73423	2.39205	2.33705	3.20854	2.63709	1.24654	1.56323	3.59649	2.65970	0.85445	2.95542	2.65971	2.43161	2.11982	2.08128	3.05162	2.15171	1.39492	0.93319	2.93562	2.32564	2.67113	1.55227	1.40346	1.88609	1.86530	1.85857	2.20177	1.67983	1.93067	2.10941	2.67680	2.79971	1.51319	1.63338	2.26674	2.80025	1.52847	2.61735	3.15597	1.71533	2.07139
0.0000572	2.14617	1.41128	2.92145	1.83033	3.47034	1.65657	1.55739	0.92975	2.78999	1.69021	2.32854	2.74400	2.38137	2.54958	3.49177	2.81129	1.25312	1.48868	3.40486	2.49724	0.67189	3.00750	2.49760	2.11826	2.01958	2.08080	2.84957	2.45556	1.32159	1.03508	2.91189	2.14027	2.61395	1.42125	1.55423	1.88446	1.91698	1.76160	2.19667	1.66476	1.78682	2.07731	2.66610	2.64446	1.69768	1.64867	2.33578	2.55612	1.50790	2.54236	3.49666	1.64498	1.70501
0.0000643	2.14837	1.43556	3.01973	1.91681	3.53320	1.47456	1.63875	0.88777	2.90014	1.57857	2.53255	2.52552	2.20208	2.45734	3.08062	2.73718	1.29863	1.64186	3.50547	2.37472	0.77411	3.01431	2.57337	2.59295	2.17112	1.91447	2.87016	2.23414	1.48954	1.17838	3.06850	2.14344	2.67927	1.46110	1.43646	1.82099	1.73544	1.83652	1.96150	1.59482	1.90944	2.27471	2.92880	2.58874	1.55746	1.42748	2.39234	2.75904	1.55001	2.36352	3.65578	1.66874	1.50634
0.0000722	2.14374	1.38953	2.90287	1.85218	3.30122	1.55486	1.61131	0.98188	2.88125	1.69725	2.25831	2.70778	2.21807	2.50917	3.32136	2.86350	1.18033	1.54511	3.48988	2.38920	1.00780	3.09742	2.55704	2.62033	2.08161	1.85282	2.83423	2.32987	1.47643	1.15375	2.78488	2.23921	2.75635	1.44613	1.40201	1.64193	1.81695	1.77884	2.16544	1.65102	1.69632	2.32445	2.84426	2.63262	1.41278	1.39748	2.45572	2.50024	1.31804	2.49306	3.71925	1.43721	1.89872
0.0000811	2.11509	1.38851	2.85552	1.95636	3.46480	1.86133	1.35807	1.03911	2.79823	1.65776	2.44060	2.67968	2.16600	2.55629	3.08956	2.84574	1.45751	1.53365	3.75966	2.40707	1.08079	2.93903	2.31566	2.08919	1.89973	1.94429	2.69930	2.04835	1.37345	1.04631	2.64189	2.17610	2.28471	1.40931	1.58834	1.70725	1.72775	1.92588	2.07528	1.57336	1.73878	2.22374	2.84624	2.61131	1.67973	1.69827	2.35300	2.42671	1.46365	2.49324	3.60692	1.60513	1.39019
0.0000911	2.09837	1.39798	2.88523	1.91839	3.35933	1.58614	1.37287	0.95908	2.59037	1.74995	2.42279	2.76318	2.21146	2.39396	3.38304	2.54372	1.33520	1.65013	3.19542	2.48497	0.97740	3.10509	2.22535	2.27431	2.14199	2.02523	2.65504	2.21693	1.40395	1.11244	2.86080	2.00873	2.44280	1.40077	1.54045	1.72666	1.86820	1.85857	1.89319	1.63767	1.55365	2.42287	2.46712	2.67107	1.56801	1.66028	2.19163	2.37200	1.68455	2.47643	3.18923	1.42310	1.94297
0.0001024	2.06614	1.31918	2.67047	1.88686	2.85594	1.83818	1.32261	1.03477	2.66112	1.89472	2.24013	2.53435	2.08793	2.42335	3.28953	2.56352	1.28828	1.55106	3.50505	2.48430	1.32602	2.75459	2.28432	2.12492	2.06442	1.87010	2.45235	2.00502	1.26351	0.95322	2.55513	1.98813	2.39152	1.49232	1.61094	1.67439	1.69376	1.85906	2.04593	1.59886	1.69143	2.38432	2.48608	2.61279	1.38606	1.69850	2.23235	2.51943	1.24876	2.52905	3.79964	1.50730	1.74097
0.0001150	2.04034	1.37670	2.79209	1.68050	2.99289	1.49303	1.34865	0.96205	2.50867	1.80915	2.23469	2.27493	1.91292	2.35323	3.03736	2.40430	1.37982	1.51770	3.50234	2.41355	1.08366	2.77921	2.11857	2.41854	2.02213	1.83978	2.37207	2.10313	1.33744	1.19741	2.90796	2.00887	2.30598	1.52252	1.66183	1.64625	1.61244	1.80990	2.02603	1.54415	1.68455	2.43185	2.65165	2.40794	1.63316	1.57631	2.33670	2.55919	1.38360	2.43063	3.53502	1.65817	1.58471
0.0001292	2.01546	1.44256	2.65579	1.86231	3.12397	1.70107	1.44127	1.05951	2.31676	1.62821	2.08686	2.27930	1.87437	2.33553	3.58780	2.64187	1.51713	1.73471	3.01359	2.13180	1.18856	2.52611	2.03661	2.45643	1.94229	1.95739	2.24887	1.90008	1.44270	0.97081	2.78099	1.81873	2.39725	1.53601	1.60266	1.83605	1.54214	1.76821	1.77479	1.59271	1.61896	2.34584	2.47657	2.32854	1.50513	1.52209	2.15732	2.31568	1.38148	2.45120	3.51891	1.53643	1.95938
0.0001451	1.99652	1.41583	2.72139	1.86257	2.77493	1.82359	1.36517	1.08425	2.32980	1.70117	2.05444	2.44642	1.99399	2.44029	3.53250	2.38466	1.46665	1.52475	3.23656	1.92606	1.23363	2.63618	2.05650	2.71544	1.74312	1.85268	2.23164	1.97636	1.48489	1.07437	2.94176	1.99664	2.24979	1.37888	1.71767	1.64181	1.70381	1.69284	1.71518	1.60487	1.46910	2.38260	2.25147	2.37831	1.43655	1.41994	2.03512	2.42115	1.58235	2.38336	3.26875	1.65503	1.54661
0.0001630	1.94792	1.34425	2.67890	1.69356	2.71772	1.64098	1.17366	1.20072	2.36420	1.47319	2.01953	2.26379	1.64589	2.30647	3.76072	2.30759	1.57469	1.39845	3.34773	2.02023	1.10750	2.50359	1.85813	2.38694	1.98753	1.76909	1.95388	1.75911	1.51931	1.19782	2.67459	1.68299	2.09110	1.39261	1.60120	1.68781	1.53744	1.86939	1.55931	1.51235	1.62111	2.64812	2.75861	2.31548	1.53598	1.39822	2.06986	2.38692	1.23804	2.47049	3.31115	1.35605	1.72492
0.0001831	1.89912	1.39134	2.55315	1.68016	2.53989	1.58972	1.11300	1.29708	2.15964	1.62090	1.90758	1.93445	1.73882	2.23075	3.82997	2.15973	1.39691	1.47212	3.10895	2.23456	1.10084	2.72003	1.77168	2.17729	1.92392	1.66894	1.85253	1.73332	1.39184	0.99587	2.44495	1.79409	2.22191	1.50939	1.72346	1.56070	1.48321	1.88572	1.64289	1.51398	1.41366	2.53922	2.67248	2.10222	1.66135	1.44775	1.90820	2.23736	1.38687	2.03753	3.23581	1.48997	1.69292
0.0002057	1.83400	1.28564	2.57925	1.61090	2.71463	1.68906	1.08124	1.09025	1.94710	1.54471	1.96615	2.41690	1.58113	1.89933	3.46298	2.47479	1.40054	1.37562	2.86825	2.19697	1.12807	2.10056	1.69342	2.05084	2.00552	1.54102	1.70520	1.74814	1.43093	1.09104	2.30713	1.56574	1.89572	1.30259	1.58381	1.46271	1.55976	1.78685	1.65651	1.50205	1.28795	2.56421	2.72545	2.21729	1.56434	1.35452	1.91005	2.00053	1.26492	2.43475	2.78002	1.50284	1.65500
0.0002310	1.76977	1.16828	2.45953	1.70285	2.44176	1.58785	0.98004	1.15327	2.03114	1.63551	1.79431	1.93724	1.66688	2.00964	3.41300	2.33422	1.40227	1.36104	2.54390	1.95286	1.34012	2.25628	1.70937	2.47557	1.95180	1.45752	1.58062	1.62692	1.49555	0.98209	2.45775	1.55308	2.32212	1.06090	1.45023	1.59414	1.50206	1.74972	1.42794	1.45958	1.24508	2.51895	2.15553	1.94290	1.57773	1.24456	1.68075	2.02494	1.07808	2.09012	2.93949	1.41918	1.16995
