eta	err
1e-10	5.656279512011484e-07
1.2589254117941662e-10	7.120831063341712e-07
1.584893192461111e-10	8.964590506471348e-07
1.9952623149688828e-10	1.1285743380771596e-06
2.511886431509582e-10	1.4207897386097683e-06
3.1622776601683795e-10	1.788666445197364e-06
3.9810717055349694e-10	2.251794691290749e-06
5.011872336272714e-10	2.8348368827042106e-06
6.309573444801942e-10	3.568840779240518e-06
7.943282347242822e-10	4.492892602962189e-06
1e-09	5.6561980554577175e-06
1.2589254117941663e-09	7.120701964334154e-06
1.584893192461111e-09	8.964385895535215e-06
1.9952623149688828e-09	1.1285419100449941e-05
2.511886431509582e-09	1.4207383442159353e-05
3.1622776601683795e-09	1.7885849914619144e-05
3.981071705534969e-09	2.251665597068049e-05
5.011872336272715e-09	2.8346322862266655e-05
6.309573444801943e-09	3.5685165228725865e-05
7.943282347242822e-09	4.492378705347475e-05
1e-08	5.655383612222413e-05
1.2589254117941661e-08	7.119411217085162e-05
1.5848931924611143e-08	8.962340316158585e-05
1.9952623149688786e-08	0.00011282177309754622
2.511886431509582e-08	0.0001420224601733422
3.162277660168379e-08	0.0001787770857647281
3.981071705534969e-08	0.00022503754677521032
5.011872336272725e-08	0.0002832587939814991
6.30957344480193e-08	0.0003565277191542814
7.943282347242822e-08	0.0004487246185742592
1e-07	0.0005647252057213264
1.2589254117941662e-07	0.0007106529433500109
1.584893192461114e-07	0.0008941935751302902
1.9952623149688787e-07	0.0011249861543386633
2.5118864315095823e-07	0.001415107537866526
3.162277660168379e-07	0.001779670098519739
3.981071705534969e-07	0.0022375550236257064
5.011872336272725e-07	0.0028123054970410344
6.30957344480193e-07	0.0035332044246154516
7.943282347242822e-07	0.004436558729826396
1e-06	0.005567204386358571
1.2589254117941661e-06	0.0069802299282144785
1.584893192461114e-06	0.008742886410840338
1.9952623149688787e-06	0.01093660225491957
2.5118864315095823e-06	0.013658944138051106
3.162277660168379e-06	0.017025251656353216
3.981071705534969e-06	0.021169517634188582
5.011872336272725e-06	0.026243889361217222
6.30957344480193e-06	0.03241594799606424
7.943282347242822e-06	0.039862735114027215
1e-05	0.04876043575319145
1.2589254117941661e-05	0.059268850360914054
1.584893192461114e-05	0.071510482667208
1.9952623149688786e-05	0.08554538569083818
2.5118864315095822e-05	0.10134480814437494
3.1622776601683795e-05	0.11876876859459935
3.9810717055349695e-05	0.13755410251996963
5.011872336272725e-05	0.15731917056081346
6.309573444801929e-05	0.1775885117854746
7.943282347242822e-05	0.19783559248472854
0.0001	0.2175361733150052
0.0001258925411794166	0.2362211883959723
0.00015848931924611142	0.2535182014545828
0.00019952623149688788	0.26917438839004953
0.0002511886431509582	0.28305967527358733
0.00031622776601683794	0.29515365649739467
0.0003981071705534969	0.305522602940986
0.0005011872336272725	0.31429303981299106
0.000630957344480193	0.3216268588721338
0.0007943282347242822	0.32770083349852563
0.001	0.33269154456447814
0.0012589254117941662	0.33676546392794726
0.001584893192461114	0.3400732940172047
0.001995262314968879	0.3427474695027133
0.002511886431509582	0.3449018025287416
0.0031622776601683794	0.3466324467431319
0.003981071705534969	0.3480195730257669
0.00630957344480193	0.35001592208596183
0.012589254117941661	0.35173664690313405
0.07943282347242822	0.3532048032099379
1.0	0.3534605979070544
