eta	err
1e-10	70.99928289919626
2.5118864315095823e-07	28.105056358814863
5.011872336272725e-07	18.406354813030802
7.943282347242822e-07	13.594849795341021
1.2589254117941661e-06	10.078716190720565
1.584893192461114e-06	8.737772848714904
1.9952623149688787e-06	7.629839424087269
2.5118864315095823e-06	6.721294950437013
3.162277660168379e-06	5.9808465314209
3.981071705534969e-06	5.38042694883101
5.011872336272725e-06	4.895541264547594
6.30957344480193e-06	4.5052494381190895
7.943282347242822e-06	4.19193196115653
1e-05	3.9409442630994107
1.2589254117941661e-05	3.7402304340197845
1.584893192461114e-05	3.579939842889526
2.5118864315095822e-05	3.3501550393712067
3.9810717055349695e-05	3.204361833763656
7.943282347242822e-05	3.0795232185933843
0.000630957344480193	2.9694036578304175
1.0	2.9901641615241226
