eta	err
1e-09	7.168505172825125
1.1220184543019653e-09	7.087799559531646
1.2589254117941663e-09	6.998943933133254
1.4125375446227555e-09	6.901320282869585
1.584893192461111e-09	6.794310314399373
1.7782794100389228e-09	6.677307487723834
1.9952623149688828e-09	6.549731472899602
2.113489039836643e-09	6.481808442396364
2.2387211385683377e-09	6.411045043316133
2.3713737056616553e-09	6.337384010178309
2.511886431509582e-09	6.260773287096906
2.660725059798814e-09	6.181166731939889
2.8183829312644493e-09	6.09852483946002
2.985382618917957e-09	6.0128154770725
3.1622776601683795e-09	5.924014625956775
3.3496543915782794e-09	5.832107119179588
3.5481338923357603e-09	5.737087367586056
3.758374042884436e-09	5.638960063331727
3.981071705534969e-09	5.537740850150394
4.216965034285823e-09	5.433456948816745
4.466835921509635e-09	5.326147725801292
4.731512589614813e-09	5.2158651928616475
5.011872336272715e-09	5.10267442531361
5.3088444423098795e-09	4.986653886995963
5.623413251903491e-09	4.867895650520079
5.956621435290109e-09	4.746505502296896
6.309573444801943e-09	4.622602923062863
6.6834391756861355e-09	4.496320936194772
7.0794578438413736e-09	4.367805817987435
7.498942093324558e-09	4.237216666251645
7.943282347242822e-09	4.104724826037176
8.413951416451965e-09	3.97051317394075
8.912509381337441e-09	3.8347752652780556
9.440608762859226e-09	3.6977143513003963
1e-08	3.5595422765652125
1.0592537251772898e-08	3.420478269442095
1.122018454301963e-08	3.2807476414932966
1.188502227437019e-08	3.1405804140512834
1.2589254117941661e-08	3.000209892687799
1.333521432163324e-08	2.859871212420279
1.4125375446227554e-08	2.719799878459768
1.496235656094433e-08	2.5802303291591557
1.5848931924611143e-08	2.4413945497356893
1.6788040181225588e-08	2.303520767604175
1.7782794100389228e-08	2.1668322632390726
1.883649089489802e-08	2.0315463351351988
1.9952623149688786e-08	1.8978734648902014
2.1134890398366476e-08	1.7660167407171243
2.2387211385683378e-08	1.6361716182508979
2.371373705661655e-08	1.5085261323604766
2.511886431509582e-08	1.3832617336666988
2.6607250597988087e-08	1.2605550289043164
2.818382931264455e-08	1.1405808946428844
2.985382618917957e-08	1.0235177893098868
3.162277660168379e-08	0.9095567793287247
3.3496543915782795e-08	0.7989172032761472
3.548133892335753e-08	0.6918749296925559
3.7583740428844434e-08	0.5888161113971362
3.981071705534969e-08	0.49034638348559323
4.2169650342858225e-08	0.3975301822295134
4.4668359215096346e-08	0.31245700294183576
4.731512589614803e-08	0.2396310325145921
5.011872336272725e-08	0.18879252191901477
5.3088444423098795e-08	0.17485826210325622
5.6234132519034905e-08	0.20142832315979828
5.95662143529011e-08	0.25310129211876164
6.30957344480193e-08	0.31549529075417393
6.683439175686149e-08	0.38155880219260824
7.079457843841373e-08	0.44819279889931046
7.498942093324559e-08	0.513964108996996
7.943282347242822e-08	0.5781636376065634
8.413951416451947e-08	0.6404247991881938
8.912509381337459e-08	0.7005573517660417
9.440608762859226e-08	0.7584687938912195
1e-07	0.8141242385826166
1.0592537251772897e-07	0.8675245081671414
1.122018454301963e-07	0.9186934515841598
1.188502227437019e-07	0.9676702098129203
1.2589254117941662e-07	1.0145042757762701
1.333521432163324e-07	1.0592522061806071
1.4125375446227555e-07	1.101975351088671
1.4962356560944328e-07	1.1427382347822426
1.584893192461114e-07	1.1816073684247497
1.6788040181225588e-07	1.2186503586727329
1.7782794100389227e-07	1.2539352255603038
1.883649089489802e-07	1.2875298727499669
1.9952623149688787e-07	1.3195016717510675
2.1134890398366478e-07	1.3499171334988076
2.2387211385683377e-07	1.378841648374721
2.3713737056616554e-07	1.406339280871765
2.5118864315095823e-07	1.4324726085940185
2.6607250597988083e-07	1.4573025977039482
2.818382931264455e-07	1.4808885086495385
2.9853826189179574e-07	1.5032878272495196
3.162277660168379e-07	1.5245562171369593
3.3496543915782793e-07	1.5447474902581129
3.548133892335753e-07	1.5639135926614205
3.7583740428844433e-07	1.5821046032347967
3.981071705534969e-07	1.5993687433892836
4.2169650342858225e-07	1.6157523959648996
4.466835921509635e-07	1.631300131865006
4.7315125896148026e-07	1.6460547431195887
5.011872336272725e-07	1.6600572812434737
5.308844442309879e-07	1.6733470998974513
5.62341325190349e-07	1.685961900984237
5.956621435290109e-07	1.6979377834185798
6.30957344480193e-07	1.709309293905666
6.683439175686149e-07	1.7201094791450144
7.079457843841374e-07	1.7303699389504827
7.498942093324558e-07	1.7401208798417689
7.943282347242822e-07	1.7493911687198995
8.413951416451948e-07	1.7582083862897424
8.912509381337459e-07	1.7665988799369348
9.440608762859226e-07	1.7745878158058195
1e-06	1.78219922985916
1.0592537251772898e-06	1.7894560777305781
1.122018454301963e-06	1.7963802832067144
1.1885022274370189e-06	1.8029927851990066
1.2589254117941661e-06	1.8093135830845946
1.333521432163324e-06	1.8153617803131652
1.4125375446227554e-06	1.8211556261909725
1.4962356560944329e-06	1.8267125557663966
1.678804018122559e-06	1.8371815604283213
1.883649089489802e-06	1.8468933797383877
2.113489039836648e-06	1.8559617842893732
2.3713737056616552e-06	1.8644906420053495
2.6607250597988086e-06	1.8725746911105816
2.9853826189179572e-06	1.880300172914223
3.3496543915782793e-06	1.8877453255516892
3.7583740428844434e-06	1.894980742452652
4.216965034285822e-06	1.9020696026265334
4.731512589614803e-06	1.9090677839756718
5.308844442309879e-06	1.9160238757633437
5.956621435290109e-06	1.9229791119324346
6.683439175686149e-06	1.929967252869438
7.498942093324558e-06	1.9370144489196028
8.413951416451948e-06	1.944139123779884
9.440608762859225e-06	1.9513519189858382
1.0592537251772897e-05	1.9586557411839958
1.188502227437019e-05	1.966045950957687
1.333521432163324e-05	1.9735107251376156
1.4962356560944327e-05	1.9810316137070114
1.6788040181225588e-05	1.9885842981084383
1.883649089489802e-05	1.9961395410985732
2.1134890398366476e-05	2.003664300947632
2.3713737056616554e-05	2.0111229667486175
2.6607250597988085e-05	2.018478658923373
2.985382618917957e-05	2.025694531391085
3.5481338923357534e-05	2.0361789861516812
4.216965034285822e-05	2.0461603712287424
5.011872336272725e-05	2.0555483057392427
5.9566214352901096e-05	2.0642752861383618
7.079457843841373e-05	2.0722983883968387
8.912509381337459e-05	2.0818713805272955
0.0001122018454301963	2.090175147701028
0.00014962356560944327	2.09887451852451
0.00021134890398366476	2.107126308416422
0.00033496543915782794	2.115117853550715
0.0007079457843841374	2.123087081840988
0.0031622776601683794	2.131327292939901
0.010592537251772897	2.139966379723625
0.01995262314968879	2.1484511659438033
0.03162277660168379	2.157359068211445
0.04466835921509635	2.1657285599190312
0.0630957344480193	2.1754338038147965
0.08413951416451948	2.1843031368301973
0.11220184543019653	2.1935603576092033
0.1496235656094436	2.20283720318819
0.19952623149688828	2.2117613764557014
0.2818382931264449	2.2215631832414986
0.4216965034285822	2.231308346636066
0.7079457843841374	2.2409110105682073
1.584893192461111	2.2501838614251604
100.0	2.2587240092921426
