step	average_return	ci_upper	ci_lower
0	0.02207984458018693	0.044670843250401354	-0.0005111540900274922
19	0.04690431964008356	0.07619234829060856	0.017616290989558563
39	0.10185104997854309	0.15005178509285136	0.05365031486423483
59	0.07197337090501625	0.11959459193938322	0.02435214987064928
79	0.16549494532037898	0.2187928447165311	0.11219704592422684
99	0.1581206989991884	0.21393449905693562	0.1023068989414412
119	0.18436926908849968	0.24004606847739413	0.12869246969960524
139	0.18795147133850937	0.24349639810694457	0.13240654457007417
159	0.20796204213741673	0.26149114874666374	0.15443293552816972
179	0.24248301693487376	0.2922411351042985	0.19272489876544902
199	0.2637235069613124	0.30264940350074976	0.22479761042187504
219	0.2561917125511434	0.2969631850512928	0.21542024005099403
239	0.2684676552244439	0.30770007548345246	0.22923523496543532
259	0.27112398754721434	0.30995274792992067	0.23229522716450804
279	0.2714323279487984	0.3104871543199951	0.23237750157760173
299	0.2747458325799075	0.3141620522250316	0.23532961293478336
319	0.28036276730966336	0.3197401796467456	0.24098535497258108
339	0.2780777305226467	0.31777242985435283	0.2383830311909406
359	0.28138990191519736	0.3210151183992068	0.2417646854311879
379	0.2789463326440216	0.318499931469808	0.23939273381823517
399	0.28421142239977354	0.3243644808409173	0.2440583639586298
419	0.2836099159079998	0.3236016230257289	0.24361820879027063
439	0.28123760631227507	0.3198997947595698	0.24257541786498035
459	0.2848548647953897	0.32178258658696535	0.24792714300381402
479	0.28351256052536816	0.3217811312515608	0.2452439897991755
499	0.28023264046783514	0.31959395546312935	0.24087132547254092
519	0.2820147353704132	0.3217386402596958	0.24229083048113062
539	0.28131219273406666	0.32011323919816037	0.24251114626997297
559	0.27790461079997686	0.3175616973457407	0.23824752425421303
579	0.28413840072044966	0.32348877118897035	0.24478803025192897
599	0.28222041138440057	0.320624729316837	0.24381609345196414
619	0.2869044940959279	0.3265106327203488	0.24729835547150697
639	0.2856861482202961	0.32438845898804397	0.2469838374525482
659	0.2868926880452162	0.3271504678509788	0.24663490823945364
679	0.2850581997214002	0.3241926425602243	0.24592375688257606
699	0.28222883111432506	0.32132915208127427	0.24312851014737585
719	0.29807093197346207	0.33020485281607603	0.2659370111308481
739	0.2856342868722665	0.3254432663946727	0.24582530734986033
759	0.28322335565790935	0.3219884501302441	0.24445826118557462
779	0.27975890829298466	0.31928806792981845	0.24022974865615088
799	0.28423807406115126	0.32366730829690427	0.24480883982539828
819	0.28404232116982536	0.32383489499265666	0.24424974734699406
839	0.28203427374045903	0.3216907358610498	0.24237781161986827
859	0.2860228992145232	0.3257497952604761	0.24629600316857025
879	0.2820166890025773	0.3208258596969077	0.24320751830824694
899	0.28452710660653635	0.3240836129442049	0.2449706002688678
919	0.2832423214987473	0.3221817995352412	0.2443028434622534
939	0.2893515802395718	0.32780285350437016	0.25090030697477345
959	0.2835911857020213	0.32274193859503014	0.24444043280901248
979	0.288584887463697	0.32813740701595434	0.24903236791143962
999	0.2874439341881973	0.3267586672926484	0.2481292010837462
1019	0.2863328053827775	0.3248564775855293	0.2478091331800257
1039	0.28905515933619835	0.3290604503673741	0.24904986830502263
1059	0.28699402236928223	0.3273712535914315	0.24661679114713297
1079	0.2835242492878214	0.32291160142004216	0.24413689715560064
1099	0.2852534588788319	0.324835316891596	0.24567160086606782
1119	0.28503986608663684	0.32498464474473143	0.24509508742854225
1139	0.2917230049243205	0.33215187670298185	0.2512941331456592
1159	0.28844699306996796	0.3278985600327342	0.24899542610720174
1179	0.28620707213077334	0.32658017816978974	0.24583396609175695
1199	0.28974916661015604	0.3299370294297336	0.2495613037905785
1219	0.28867555751801904	0.3288169095650331	0.24853420547100494
1239	0.28731514031180694	0.3275263215220819	0.24710395910153202
1259	0.2904424684134189	0.33117217135381627	0.24971276547302157
1279	0.28844435663612483	0.32910673650883254	0.24778197676341712
1299	0.2820837199165296	0.32245165929858627	0.24171578053447287
1319	0.2856224383512904	0.32577477426105755	0.24547010244152329
1339	0.2885048281474672	0.3284749898555526	0.2485346664393818
1359	0.2849805557478299	0.3247301758621979	0.24523093563346188
1379	0.290639991194977	0.3308104913684685	0.2504694910214855
1399	0.28420930475864614	0.32400625613732964	0.24441235337996264
1419	0.2857192327269925	0.32563501579114723	0.24580344966283782
1439	0.2869407594683862	0.3265195771914288	0.2473619417453436
1459	0.2866998176011784	0.3271915557295759	0.2462080794727809
1479	0.28385885078822276	0.32264125812907585	0.24507644344736967
1499	0.28169521368165384	0.32190839450382136	0.24148203285948636
1519	0.28507264773664853	0.32448134359945696	0.2456639518738401
1539	0.2867809752721891	0.3266465927924997	0.2469153577518785
1559	0.2878037368743696	0.32713439623199675	0.2484730775167425
1579	0.2872976358714026	0.32715350312044966	0.2474417686223556
1599	0.2884279256965203	0.3283379786276399	0.24851787276540072
