step	average_return	ci_lower	ci_upper
0	0.022453024195468	0.022389501808018	0.022493076143714
19	0.091806316479381	0.046112928949151	0.181521780343383
39	0.178272226980799	0.086856054047571	0.237409308503538
59	0.254613042586187	0.227674828389233	0.278685805511949
79	0.266687161717128	0.229043934383372	0.309615489252106
99	0.281265737775592	0.23828963371266	0.328118886320284
119	0.260237646046384	0.217504082209162	0.303800251052664
139	0.261535814081592	0.217699182403534	0.310365250724478
159	0.28017647443076	0.242057186438696	0.311676726645493
179	0.278967888460876	0.225218024236552	0.323377653756882
199	0.275697719121995	0.244166334878794	0.293441701445191
219	0.274562391183236	0.23908681018998	0.295450369227195
239	0.281507919965705	0.256353267880272	0.312851103800608
259	0.280543193768209	0.252844363325337	0.305541724881625
279	0.285996969984634	0.247079171757762	0.325987899752148
299	0.278392258910039	0.233445481086573	0.317296621730209
319	0.28323828680997	0.255702035837292	0.335742507942437
339	0.282690730814039	0.249688787991383	0.310557326059617
359	0.288173295888409	0.267670967578502	0.312872989615514
379	0.281633868976212	0.25182657510037	0.315583802301886
399	0.284898310083554	0.255988710613856	0.342090264427719
419	0.270477548218953	0.239543293975056	0.288931258088895
439	0.269489125826178	0.254367861949742	0.299016760548836
459	0.267561964981899	0.247078640811177	0.294440225158209
479	0.272839708438851	0.24607137319448	0.305084594128303
499	0.272812925071858	0.251035331459527	0.291040862749764
519	0.278267752734589	0.25153142041857	0.317133862020855
539	0.274273269996537	0.247720144732826	0.310114987084876
559	0.272786862415692	0.252388756585362	0.311626456327796
579	0.265733072333919	0.250611760463354	0.282356932930246
599	0.266312519661097	0.243778558531602	0.285322851194111
619	0.262880284530551	0.241543753224522	0.278946814428886
639	0.265697969513256	0.238475749663992	0.29029402541655
659	0.275027945920338	0.252612090909112	0.30257626627985
679	0.274949986984009	0.247245947979713	0.301671530348245
699	0.283946764481415	0.261635703147509	0.316106533963949
719	0.269734239959873	0.249274655062386	0.306190589296126
739	0.27654103043305	0.258165125070181	0.310176243080723
759	0.273553866685693	0.248578708959405	0.303669942995271
779	0.270152502473425	0.239990658260906	0.294658396026414
799	0.277168327846405	0.258701709030339	0.29157577717788
819	0.274779408410208	0.254724620692373	0.290400496430336
839	0.271353303992067	0.252014143288937	0.291869645789062
859	0.275782673709754	0.263812563500643	0.293455955394546
879	0.273168988360495	0.261178482428237	0.284902475709795
899	0.268086278729592	0.238283590262311	0.285635781770951
919	0.264338745332277	0.238273719080374	0.299977685869335
939	0.263542985142684	0.242708453878114	0.293473072522526
959	0.272566219450353	0.253370653312757	0.284917148025395
979	0.272945712907906	0.247813999374179	0.298679172419267
999	0.259354757045836	0.236762870258371	0.275404356016209
1019	0.274784700362201	0.251036827450694	0.295632644664891
1039	0.266985313911954	0.224563085891435	0.294421454721556
1059	0.263365957780146	0.243278290334666	0.294164159972632
1079	0.262566169955116	0.23885745552189	0.302313183229908
1099	0.270758331946501	0.243681149497828	0.300524514640509
1119	0.27053268302748	0.251716778787784	0.284380614210192
1139	0.265509232136062	0.241814125974438	0.293520214188306
1159	0.267748893699382	0.251927474616327	0.289934914777192
1179	0.271318577197116	0.233584143686815	0.305074090726634
1199	0.26925286442792	0.238234030331481	0.29434502594379
1219	0.267108569044513	0.251665755804139	0.289446143540304
1239	0.266634762696916	0.251027808241379	0.294562648658807
1259	0.265699306097543	0.249705600316694	0.292043140943407
1279	0.266859376700261	0.244112804155768	0.304228659562174
1299	0.264827010940866	0.241345717030726	0.291453803998646
1319	0.264547737891548	0.241861370388215	0.281139465035153
1339	0.261966791974673	0.225403410627947	0.296370917043091
1359	0.266911330438185	0.233936298925902	0.306504906233495
1379	0.266265002276865	0.235156822221948	0.298523999346681
1399	0.270991546424203	0.240572620455916	0.305404363592135
1419	0.264176812215808	0.231661612155985	0.286453792493967
1439	0.262104972359885	0.237338611529219	0.311386449298023
1459	0.264446898291439	0.241609214513975	0.298220910454746
1479	0.253016710430595	0.239508473711383	0.274294193409305
1499	0.261322179311603	0.242155502997837	0.300362843863273
1519	0.260746682313056	0.243657377347691	0.304648944097306
1539	0.266173591034492	0.231660019807845	0.299009155230615
1559	0.257503194822214	0.244115211113623	0.292246434000018
1579	0.267371478123415	0.240949649559305	0.292695051909751
1599	0.261939662201903	0.241705014976241	0.294973671125723
