step	average_return	ci_upper	ci_lower
0	0.02207588109460865	0.04466789762808668	-0.0005161354388693827
19	0.05379530106735788	0.08428863963291985	0.0233019625017959
39	0.06090585705842047	0.1073134996735626	0.014498214443278333
59	0.08449624540860409	0.1324615084119125	0.036530982405295676
79	0.17979662708767044	0.2325746943820865	0.12701855979325438
99	0.2025373943293838	0.2539940922489734	0.1510806964097942
119	0.21475532320184548	0.2657511853610622	0.16375946104262876
139	0.24101649562518648	0.2903821202359711	0.19165087101440184
159	0.24383085092550313	0.2932087803520501	0.19445292149895615
179	0.2574386617743322	0.3029236270456152	0.2119536965030492
199	0.2738446813024927	0.31386882913675296	0.23382053346823237
219	0.27126699025342493	0.3113696672698033	0.2311643132370466
239	0.27598371378711767	0.31593826084136467	0.23602916673287067
259	0.27619635618765564	0.3134973298904403	0.238895382484871
279	0.2766478768921671	0.31645822999321505	0.23683752379111908
299	0.27653230521424066	0.31461679468276127	0.23844781574572005
319	0.28717069689405356	0.31494772410184013	0.259393669686267
339	0.2908242528754455	0.31981714765807473	0.26183135809281627
359	0.29283371090480054	0.3211882597504948	0.26447916205910627
379	0.2904634189538973	0.31913691751671597	0.2617899203910787
399	0.29176859163218044	0.31931272731513144	0.26422445594922944
419	0.29551101452522044	0.3248681610261987	0.2661538680242422
439	0.2935402074408299	0.3226112302782702	0.26446918460338964
459	0.28425972624863505	0.3238885450263661	0.244630907470904
479	0.2944608961323682	0.3240317750251594	0.264890017239577
499	0.2959651836126044	0.32488126712297316	0.2670491001022356
519	0.283967583985423	0.323013952406568	0.24492121556427796
539	0.28399971345741093	0.3243735253309088	0.2436259015839131
559	0.284252865047683	0.3243443880931703	0.2441613420021957
579	0.2835580554817525	0.32294770392850736	0.24416840703499765
599	0.28581820797125745	0.32589288147167966	0.24574353447083525
619	0.28742348755535807	0.32756111778839425	0.2472858573223219
639	0.28802283694006736	0.32819532661509215	0.24785034726504257
659	0.28650851760100243	0.32579467312969657	0.2472223620723083
679	0.28704137425604287	0.32649398009347025	0.2475887684186155
699	0.28714466972309144	0.3262536879068362	0.2480356515393467
719	0.2855124663128638	0.32527885409077334	0.24574607853495428
739	0.28962201097983414	0.32840391832284505	0.25084010363682324
759	0.2882215240350486	0.32771760161409835	0.2487254464559988
779	0.2868691323432116	0.3265819116633053	0.2471563530231179
799	0.2895226296734107	0.3288951640417909	0.25015009530503046
819	0.29097400903650317	0.3314051964895881	0.25054282158341823
839	0.2920100179471795	0.3313759622670471	0.25264407362731195
859	0.29078392128242814	0.33104466291806994	0.25052317964678633
879	0.2898572060467103	0.3300652829785884	0.2496491291148322
899	0.2873322040720075	0.3270052163364421	0.24765919180757293
919	0.2871779575339878	0.32724107242077893	0.24711484264719666
939	0.28824730881141464	0.32822063799696954	0.24827397962585973
959	0.2891936577362927	0.3290669128382125	0.24932040263437288
979	0.28940176087126845	0.3291791984222522	0.24962432332028472
999	0.29669276615696527	0.330327862008035	0.26305767030589555
1019	0.3079121809780523	0.33519759315974224	0.28062676879636234
1039	0.3047051019134488	0.33308405224093407	0.2763261515859635
1059	0.3044074331558668	0.33085046521319966	0.277964401098534
1079	0.30478308442009155	0.33242256668203013	0.277143602158153
1099	0.30765154956850693	0.334002976909326	0.28130012222768785
1119	0.3083864004001809	0.336344348883618	0.28042845191674376
1139	0.3048315600618555	0.3320911550192615	0.27757196510444954
1159	0.3043615008137969	0.3310211004137204	0.27770190121387345
1179	0.30510617306482224	0.3320155104900515	0.27819683563959297
1199	0.3043108467615562	0.33236927175856984	0.2762524217645425
1219	0.30499223695296784	0.3322504359301044	0.2777340379758313
1239	0.3014530595389183	0.32851482192793563	0.274391297149901
1259	0.30393734113332765	0.3312918184058405	0.2765828638608148
1279	0.30304323254555116	0.3308570411366985	0.2752294239544038
1299	0.30025698545915397	0.32882727384574195	0.271686697072566
1319	0.3017436948929648	0.32836222016275324	0.2751251696231764
1339	0.30291129668895445	0.33040681523469645	0.27541577814321244
1359	0.3062897305704477	0.3340168822474444	0.27856257889345104
1379	0.3049269665748648	0.33342009904576275	0.2764338341039668
1399	0.30198208117004827	0.3298122940640809	0.2741518682760156
1419	0.30479446918216724	0.3325872043768378	0.27700173398749667
1439	0.30541961399494877	0.3345610562407479	0.27627817174914965
1459	0.3032098296003414	0.3317540592313291	0.27466559996935364
1479	0.30299205191665546	0.33121703886992726	0.27476706496338366
1499	0.304082996387501	0.33187105094849434	0.2762949418265077
1519	0.30365435425056914	0.3318781802859794	0.2754305282151589
1539	0.3070401427255078	0.3350033042059403	0.27907698124507524
1559	0.30173034912446695	0.3300492492098987	0.2734114490390352
1579	0.30586600132815694	0.3339604462440156	0.2777715564122983
1599	0.3059117195436203	0.3337092939727435	0.27811414511449706
