eta	x	y	err
1.e-9	-2907.016395680897	1559.9460239325626	5074.958193787766
1.2589254117941673e-9	-2309.2480443099316	1239.079844450273	4031.75589639437
1.5848931924611134e-9	-1834.423763318915	984.2067776217953	3203.1108541270887
1.99526231496888e-9	-1457.257429339711	781.7539038028577	2544.89469864841
2.5118864315095803e-9	-1157.6635604065223	620.9398695701238	2022.05502063807
3.1622776601683795e-9	-919.687690942154	493.20074141376494	1606.748701427079
3.981071705534972e-9	-730.6567383780119	391.73394509795895	1276.8591655556406
5.011872336272722e-9	-580.5041153516349	311.13600380768236	1014.8185925807782
6.309573444801933e-9	-461.2336472575721	247.11478332371664	806.6723666390624
7.943282347242815e-9	-366.4937468141115	196.26092023629522	641.3359423056767
1.e-8	-291.2391688936506	155.86626091890366	510.00455215550613
1.2589254117941673e-8	-231.46233283109643	123.77964247717958	405.68432080675143
1.5848931924611133e-8	-183.979904145426	98.29233548358886	322.8198155634888
1.9952623149688796e-8	-146.26327037407646	78.04704790642444	256.9981993728939
2.51188643150958e-8	-116.30388324094851	61.965644360944324	204.7142311646431
3.162277660168379e-8	-92.50629613792589	49.19173146946104	163.18359898448827
3.9810717055349716e-8	-73.60320077607008	39.045051791610014	130.19464523122323
5.011872336272722e-8	-58.58793839854057	30.98525763538439	103.99058782556254
6.309573444801932e-8	-46.660891531352824	24.583135572340773	83.17596515890865
7.943282347242814e-8	-37.186901437295234	19.49774925752154	66.64232267451285
1.e-7	-29.661443597197646	15.458283325931955	53.50918362057812
1.2589254117941672e-7	-23.683759939617804	12.24962148686942	43.07716045270862
1.5848931924611133e-7	-18.935517012222274	9.700890797048602	34.79070989694033
1.9952623149688798e-7	-15.163853564676833	7.676362053299423	28.20854824466632
2.51188643150958e-7	-12.16791476502561	6.068221717571392	22.9801513860437
3.162277660168379e-7	-9.788155947482903	4.790830452896026	18.827088122976694
3.981071705534972e-7	-7.8978462772065345	3.776162516412703	15.528192692529096
5.011872336272722e-7	-6.396319871221885	2.9701831405072565	12.907786883572657
6.309573444801932e-7	-5.203614973077102	2.32997098439968	10.826324531436763
7.943282347242815e-7	-4.256215697732295	1.8214324162353375	9.172960175785855
1.e-6	-3.5036695790707717	1.4174859028664113	7.859646135658953
1.2589254117941674e-6	-2.905900792103404	1.096619819458942	6.816443649392601
1.5848931924611137e-6	-2.4310759691513697	0.8417468770281817	5.987798380530515
1.99526231496888e-6	-2.0539089569367244	0.639294161991206	5.329581946828351
2.51188643150958e-6	-1.7543142367143127	0.4784803290248339	4.806741922985167
3.1622776601683796e-6	-1.5163372971567453	0.35074145511281263	4.391435171177702
3.9810717055349725e-6	-1.327304998448257	0.24927497941666146	4.061545092441587
5.0118723362727224e-6	-1.1771506813773196	0.16867744210524782	3.7995038371286727
6.309573444801933e-6	-1.0578780810263342	0.10465673041476233	3.5913567528525436
7.943282347242815e-6	-0.9631354965077343	0.053803507992438784	3.4260192483639202
0.00001	-0.8878775397324711	0.013409655303012358	3.29468649864767
0.000012589254117941673	-0.8280964500998736	-0.018675947612617438	3.190364555885649
0.000015848931924611134	-0.7806086666371465	-0.04416197612070168	3.1074978962348005
0.0000199526231496888	-0.7428852917779325	-0.06440565419082363	3.041673567929014
0.0000251188643150958	-0.712917418359931	-0.08048503152492865	2.9893861855134145
0.000031622776601683795	-0.6891091480162803	-0.09325639364064162	2.9478512552988647
0.00003981071705534972	-0.6701926038049578	-0.10339986220635282	2.9148568909390815
0.000050118723362727224	-0.6551604111967688	-0.11145561401410056	2.888646022448449
0.00006309573444801933	-0.6432120518009333	-0.11785264738563936	2.867822825867959
0.00007943282347242815	-0.6337112329885215	-0.12293162793248624	2.851278390628564
0.0001	-0.6261520032223787	-0.12696303029753037	2.8381316661450016
0.00012589254117941674	-0.6201318086614246	-0.13016154200406987	2.8276825428578722
0.00015848931924611134	-0.6153300562846291	-0.1326974964887128	2.8193745691610794
0.00019952623149688798	-0.6114910420685096	-0.13470594419883805	2.812765318822694
0.000251188643150958	-0.6084103352802296	-0.1362938448711208	2.8075028309633363
0.00031622776601683794	-0.6059238941149105	-0.13754576408130875	2.803306868104203
0.0003981071705534972	-0.6038993335427565	-0.13852837754610764	2.7999539944749183
0.0005011872336272722	-0.60222888113346	-0.13929402323545403	2.7972656803690836
0.0006309573444801933	-0.6008236469719463	-0.13988349075467574	2.795098799727697
0.0007943282347242815	-0.599608904477511	-0.14032819700927618	2.793338015962886
0.001	-0.5985201339018413	-0.1406518647519924	2.7918896521932837
0.0012589254117941673	-0.5974996226694907	-0.1408717945616894	2.7906767220575563
0.0015848931924611134	-0.5964934491541584	-0.14099979981520547	2.789634860552986
0.00199526231496888	-0.5954487012366563	-0.14104285730101992	2.788708944570227
0.0025118864315095803	-0.5943108002303809	-0.14100351258905625	2.787850233075131
0.0031622776601683794	-0.5930208167917986	-0.14088006869885683	2.7870138900211368
0.003981071705534972	-0.5915126810194257	-0.14066657889151477	2.7861567817822155
0.005011872336272723	-0.5897102077097621	-0.14035265980545972	2.7852354680728864
0.006309573444801933	-0.5875238846726544	-0.13992314037006373	2.78420433430348
0.007943282347242816	-0.5848474140450352	-0.1393575662351891	2.7830138481195865
0.01	-0.5815540631068893	-0.13862959079455042	2.7816089683137935
0.012589254117941673	-0.5774929843636775	-0.13770630491868205	2.7799277958089323
0.015848931924611134	-0.5724858189035772	-0.13654759146830792	2.777900639157956
0.0199526231496888	-0.5663241161480701	-0.13510564069261155	2.775449773680253
0.0251188643150958	-0.558768394483419	-0.13332483037290868	2.7724902998245358
