eta	err
1e-09	104.23581163531031
2.2387211385683378e-08	106.77969384497932
4.4668359215096346e-08	109.56787494332372
6.683439175686149e-08	112.4926191909971
8.912509381337459e-08	115.59842115657558
1.122018454301963e-07	119.00287572703985
1.333521432163324e-07	122.3070954746309
1.584893192461114e-07	126.48489754800426
1.7782794100389227e-07	129.90155885508628
1.9952623149688787e-07	133.9651309843097
2.2387211385683377e-07	138.84280984053228
2.5118864315095823e-07	144.7628312814114
2.818382931264455e-07	152.04518747184324
2.9853826189179574e-07	156.33429915349376
3.162277660168379e-07	161.15299606622332
3.3496543915782793e-07	166.5962008982493
3.548133892335753e-07	172.78276791463668
3.7583740428844433e-07	179.86354061954765
3.981071705534969e-07	188.03290076362282
4.2169650342858225e-07	197.54571096209995
4.466835921509635e-07	208.74283768200561
4.7315125896148026e-07	222.09079156556479
5.011872336272725e-07	238.24552019358083
5.308844442309879e-07	258.1594621595042
5.62341325190349e-07	283.27045135238995
5.956621435290109e-07	315.85614363786385
6.30957344480193e-07	359.75210909843616
6.683439175686149e-07	421.95873062427336
7.079457843841374e-07	516.7539392529198
7.498942093324558e-07	678.4717160173853
7.943282347242822e-07	1015.7787977632396
8.413951416451948e-07	2150.1775924366175
8.912509381337459e-07	11606.467292025629
9.440608762859226e-07	1489.723245832678
1e-06	773.753584020051
1.0592537251772898e-06	512.3288438772586
1.122018454301963e-06	377.0538713511325
1.1885022274370189e-06	294.47750053400614
1.2589254117941661e-06	238.90274197443168
1.333521432163324e-06	199.0035804972505
1.4125375446227554e-06	169.01105097188184
1.4962356560944329e-06	145.67740484712075
1.584893192461114e-06	127.0344293911906
1.678804018122559e-06	111.81979073426996
1.778279410038923e-06	99.18660785279899
1.883649089489802e-06	88.54551597536278
1.9952623149688787e-06	79.47368816960015
2.113489039836648e-06	71.65988228495297
2.2387211385683376e-06	64.86990088637357
2.3713737056616552e-06	58.92413351978537
2.5118864315095823e-06	53.68252207515473
2.6607250597988086e-06	49.03423618275332
2.818382931264455e-06	44.89042259561825
2.9853826189179572e-06	41.17901127594299
3.162277660168379e-06	37.840928278593076
3.3496543915782793e-06	34.8272900912349
3.548133892335753e-06	32.0972949759852
3.7583740428844434e-06	29.616617331535494
3.981071705534969e-06	27.356170433364532
4.216965034285822e-06	25.29114257981054
4.466835921509635e-06	23.400238659866083
4.731512589614803e-06	21.66507781484053
5.011872336272725e-06	20.069710953740188
5.308844442309879e-06	18.60023118886827
5.623413251903491e-06	17.244456959722058
5.956621435290109e-06	15.991672495553116
6.30957344480193e-06	14.832413862651359
6.683439175686149e-06	13.75829151752119
7.079457843841373e-06	12.761842296278703
7.498942093324558e-06	11.83640529306136
7.943282347242822e-06	10.976017243572988
8.413951416451948e-06	10.175323925818667
8.91250938133746e-06	9.429504785213153
9.440608762859225e-06	8.734208534375544
1e-05	8.085497905117291
1.0592537251772897e-05	7.479802068268475
1.122018454301963e-05	6.913875506253766
1.188502227437019e-05	6.384762338998334
1.2589254117941661e-05	5.889765277461546
1.333521432163324e-05	5.4264185198030495
1.4125375446227555e-05	4.992464019805628
1.4962356560944327e-05	4.585830651120792
1.584893192461114e-05	4.204615868442193
1.6788040181225588e-05	3.8470695312972505
1.778279410038923e-05	3.5115796106418697
1.883649089489802e-05	3.19665954536543
1.9952623149688786e-05	2.900937057591537
2.1134890398366476e-05	2.623144274990527
2.238721138568338e-05	2.3621090487495278
2.3713737056616554e-05	2.1167474028591973
2.5118864315095822e-05	1.8860571136041377
2.6607250597988085e-05	1.6691125161477076
2.818382931264455e-05	1.4650608063929063
2.985382618917957e-05	1.273120436372662
3.1622776601683795e-05	1.0925828939678235
3.3496543915782794e-05	0.9228207385457372
3.5481338923357534e-05	0.7633087254884006
3.758374042884443e-05	0.613675951442194
3.9810717055349695e-05	0.4738427252763903
4.216965034285822e-05	0.3444341664697745
4.466835921509635e-05	0.22833863669861884
4.731512589614803e-05	0.13833103191897747
5.011872336272725e-05	0.12039011126130132
5.308844442309879e-05	0.18372584752452695
5.623413251903491e-05	0.27027863876554475
5.9566214352901096e-05	0.359201621643657
6.309573444801929e-05	0.44584446663077276
6.683439175686149e-05	0.5289564688624152
7.079457843841373e-05	0.6082044695341982
7.498942093324559e-05	0.6835676768980223
7.943282347242822e-05	0.755147473753305
8.413951416451947e-05	0.8230957878947744
8.912509381337459e-05	0.8875844612910989
9.440608762859227e-05	0.948790937516971
0.0001	1.0068911723942235
0.00010592537251772897	1.0620560151633813
0.0001122018454301963	1.114449367202983
0.00011885022274370189	1.1642272975300954
0.0001258925411794166	1.2115376930545378
0.0001333521432163324	1.2565202158020925
0.00014125375446227554	1.2993064391370117
0.00014962356560944327	1.3400200886814873
0.00015848931924611142	1.378777343617128
0.00016788040181225588	1.415687171365083
0.00017782794100389227	1.4508516789117518
0.0001883649089489802	1.4843664702774857
0.00019952623149688788	1.5163210034715153
0.00021134890398366476	1.5467989426800164
0.00022387211385683378	1.5758785029477396
0.00023713737056616554	1.6036327855689612
0.0002511886431509582	1.630130103005174
0.00026607250597988083	1.655434292523766
0.0002818382931264455	1.6796050179865838
0.00029853826189179573	1.7026980593637875
0.00031622776601683794	1.724765589642285
0.00033496543915782794	1.7458564388629703
0.0003548133892335753	1.766016345072322
0.0003758374042884443	1.7852881920217023
0.0003981071705534969	1.803712233497729
0.00042169650342858224	1.8213263042227033
0.0004466835921509635	1.8381660173262837
0.0004731512589614803	1.854264948458133
0.0005011872336272725	1.8696548066848804
0.000530884444230988	1.8843655923914207
0.0005623413251903491	1.898425742484088
0.000595662143529011	1.9118622632691633
0.000630957344480193	1.9247008514521475
0.0006683439175686149	1.9369660037691683
0.0007079457843841374	1.9486811158199102
0.0007498942093324559	1.9598685707202426
0.0007943282347242822	1.9705498182311538
0.0008413951416451947	1.9807454450482436
0.0008912509381337459	1.9904752369526395
0.0009440608762859227	1.9997582335301052
0.001	2.0086127761607897
0.0010592537251772898	2.017056549968481
0.001122018454301963	2.0251066203962864
0.001188502227437019	2.0327794650466933
0.0012589254117941662	2.040091001389144
0.0014125375446227555	2.0536911601484973
0.001584893192461114	2.0660240786255772
0.0017782794100389228	2.0771990446571102
0.001995262314968879	2.0873181024678815
0.0022387211385683377	2.096476429741616
0.002511886431509582	2.104762671881071
0.002985382618917957	2.1157355573211634
0.0035481338923357532	2.1251838884136154
0.004216965034285823	2.133333635744747
0.005308844442309879	2.1425236241071572
0.0070794578438413735	2.1518875484183204
0.01	2.1608829037675705
0.014962356560944329	2.169447548099259
0.023713737056616554	2.178069210049198
0.03758374042884443	2.1866169194982215
0.059566214352901097	2.195825960337009
0.08912509381337459	2.2045707166235586
0.1333521432163324	2.213694251074278
0.19952623149688828	2.222678279171302
0.31622776601683794	2.2320336992077405
0.5623413251903491	2.2414846299133284
1.333521432163324	2.2506003611947745
100.0	2.258749864182303
