p	err
0.0	0.00680583436671558
0.663	0.006462049858663812
0.688	0.006119660207239631
0.697	0.005764522646984594
0.701	0.0054608872256049525
0.704	0.005089212498010288
0.706	0.004704900351386803
0.707	0.004441353399122754
0.708	0.004103309539498997
0.709	0.0036539978066499157
0.71	0.003027720914609875
0.711	0.002094690633072429
0.712	0.0005681689219626234
0.713	0.002493230644788726
0.714	0.011178474639346335
0.715	0.2596598219616052
0.716	0.027653864482499155
0.717	0.01685148744243756
0.718	0.013429075724637252
0.719	0.011749487581346188
0.72	0.010751636209556905
0.721	0.010090479805601975
0.723	0.009268583122580191
0.725	0.008777855237128275
0.728	0.008326470901208086
0.733	0.007909882171458885
0.744	0.007500315153524046
0.782	0.007121331009379525
1.0	0.006900600826932187
