p	err
0.0	0.09470023153125644
0.039	0.09950125807361443
0.076	0.10456756655258514
0.111	0.10989767419087777
0.144	0.11548454761868368
0.175	0.1213141651611438
0.205	0.12758396409514075
0.233	0.13408875135244025
0.26	0.14106130200464262
0.285	0.1482350409735651
0.309	0.155882230710852
0.332	0.16402936196855378
0.353	0.17228674654607692
0.373	0.18099991028439164
0.392	0.19017219934410298
0.41	0.1997996848773282
0.427	0.20986916219607732
0.444	0.2210473861890171
0.46	0.23275386854268154
0.475	0.24495346291684209
0.489	0.25759154582273647
0.502	0.27059036984258317
0.515	0.28501052852787695
0.527	0.2997953048581472
0.538	0.31479930520556665
0.549	0.3314231057819588
0.559	0.34817337642629764
0.569	0.3667464767668151
0.578	0.3852793757670382
0.587	0.4058244945792122
0.596	0.4287283622941907
0.604	0.4514135791225855
0.612	0.47667696954306993
0.619	0.5012609390885708
0.626	0.5285595871498634
0.633	0.5590488423663466
0.639	0.588168321266346
0.645	0.6205298063864165
0.651	0.6567066351717459
0.656	0.6902804238148157
0.661	0.7275121579867496
0.666	0.7690340936036749
0.671	0.8156331041614063
0.675	0.8572257497254241
0.679	0.9033281106780529
0.683	0.9547156830600029
0.687	1.012352581575095
0.691	1.0774525978407057
0.694	1.1320917741065655
0.697	1.1926079015271593
0.7	1.26000305224175
0.703	1.335520843107189
0.706	1.4207238817004573
0.709	1.5176030516678534
0.712	1.6287350320761247
0.714	1.7123745791657086
0.716	1.8051095370586339
0.718	1.9085088380653858
0.72	2.0245242771741565
0.722	2.1556148860107633
0.724	2.3049231595540105
0.726	2.476530239871393
0.728	2.675834659626081
0.73	2.9101305713813392
0.732	3.1895198406137206
0.733	3.350398317834274
0.734	3.528406846899156
0.735	3.7264352448926545
0.736	3.9480620698891693
0.737	4.197772809149605
0.738	4.481266622596537
0.739	4.805896615707853
0.74	5.181316761778123
0.741	5.620458237079813
0.742	6.1410490102002
0.743	6.768065391146171
0.744	7.537858290987168
0.745	8.505460384146655
0.746	9.758356748463704
0.747	11.444542411523724
0.748	13.835775113742566
0.749	17.49114472257589
0.75	23.773266001948603
0.751	37.101337936924494
0.752	84.46491898642097
0.753	305.0772611440834
0.754	54.353516163251804
0.755	29.831678043760228
0.756	20.555881676332305
0.757	15.67951909467164
0.758	12.672635795309786
0.759	10.633091533722787
0.76	9.15876742100869
0.761	8.043298739042223
0.762	7.169880882100832
0.763	6.46743959012836
0.764	5.890246217910085
0.765	5.407544484146638
0.766	4.99788633627192
0.767	4.645858281359433
0.768	4.3400985269797685
0.769	4.072047752910222
0.77	3.8351352345796155
0.771	3.624233029820344
0.772	3.4352805830240984
0.774	3.110810417995027
0.776	2.8422428706766776
0.778	2.616276668750089
0.78	2.4235202620138434
0.782	2.257153646990855
0.784	2.112104597165092
0.786	1.9845224906114571
0.788	1.871431428928899
0.79	1.7704952027393734
0.792	1.6798541756766114
0.795	1.559995406610589
0.798	1.4560411774453532
0.801	1.3650227963892376
0.804	1.284667130372616
0.807	1.2132041669441562
0.81	1.1492351158167036
0.813	1.0916399374773187
0.817	1.023217304937608
0.821	0.9628188095109201
0.825	0.9091111101040654
0.829	0.8610407704959077
0.833	0.8177644722542801
0.838	0.7693822720407872
0.843	0.7263629525610147
0.848	0.6878616713144564
0.853	0.6532021887464221
0.859	0.6159180861416211
0.865	0.5826209907502898
0.871	0.5527038304685524
0.878	0.5214241404547177
0.885	0.4934565532494549
0.892	0.46830145851778404
0.9	0.4424819973623275
0.908	0.4193240481572373
0.917	0.39596837395523155
0.926	0.3750397283992803
0.935	0.3561784862055732
0.945	0.3372930748303309
0.955	0.3202755015539891
0.966	0.3033998622790278
0.977	0.288180049381735
0.989	0.2731932632675964
1.0	0.2607334907635885
