p	err
0.0	0.0050106986338292565
0.087	0.004758045287141295
0.152	0.00451827282175372
0.203	0.004287480949045536
0.243	0.004071536000039836
0.276	0.0038637289662078423
0.303	0.0036689221631373476
0.326	0.0034816282905647685
0.346	0.003299771933549178
0.363	0.0031289369842157264
0.378	0.0029638823737725005
0.391	0.0028084724728803475
0.402	0.002666891904649551
0.412	0.002529268641610839
0.421	0.0023974135562314846
0.429	0.002273256116332895
0.436	0.0021587938761212675
0.443	0.002038462513418634
0.449	0.0019303058430492192
0.455	0.0018171900987865146
0.46	0.0017188949855738542
0.465	0.0016167104545847324
0.469	0.001532012451904828
0.473	0.0014445617385128301
0.477	0.0013542333182582455
0.48	0.0012845214258492405
0.483	0.0012130641436712381
0.486	0.0011398075888587385
0.489	0.0010647001239941134
0.492	0.00098769489305969
0.494	0.0009352844990257307
0.496	0.000882005843559892
0.498	0.0008278558242163529
0.5	0.0007728380688650317
0.502	0.0007169662592087059
0.504	0.000660269356760625
0.506	0.0006028000949087244
0.508	0.000544649315945049
0.509	0.0005153630246019704
0.51	0.0004859712759686142
0.511	0.0004565108890658638
0.512	0.0004270306649417859
0.513	0.000397595940361784
0.514	0.0003682952441509041
0.515	0.000339250179364497
0.516	0.0003106302918336642
0.517	0.0002826756267085786
0.518	0.000255730858314103
0.519	0.0002302956260273133
0.52	0.00020709326486989695
0.521	0.00018714638188028975
0.522	0.00017180691885300113
0.523	0.00016261790008731183
0.526	0.00018059559416562458
0.527	0.00020019381570094119
0.528	0.00022447326607315167
0.529	0.0002522656490628347
0.53	0.0002827026613293008
0.531	0.0003151728502754166
0.532	0.0003492530565899919
0.533	0.000384650172057769
0.534	0.0004211593049370275
0.535	0.00045863549914460254
0.536	0.0004969749717537973
0.537	0.0005361026619553124
0.538	0.0005759638909274262
0.539	0.0006165186992550802
0.54	0.0006577379432411203
0.541	0.000699600561457373
0.542	0.0007420916312140278
0.543	0.0007852009663992949
0.544	0.0008289220919080978
0.545	0.0008732514839467859
0.546	0.0009181880006223973
0.548	0.001009887263358931
0.55	0.001104044327681905
0.552	0.0012007026842325587
0.554	0.001299920305176134
0.556	0.0014017668167921958
0.558	0.0015063217368929446
0.56	0.0016136733906466916
0.562	0.0017239182745952429
0.564	0.0018371607279527248
0.566	0.0019535128230190103
0.568	0.00207309441870079
0.57	0.0021960333412346894
0.572	0.0023224656691868822
0.574	0.0024525361084356415
0.576	0.0025863984486062174
0.578	0.0027242160968160224
0.58	0.0028661626874030757
0.582	0.0030124227689811802
0.584	0.003163192571844837
0.587	0.0033982633343530946
0.59	0.0036447163956296307
0.593	0.0039033907973586536
0.596	0.004175211542210032
0.599	0.004461200593675627
0.602	0.004762489680507634
0.605	0.005080335241178823
0.608	0.005416135922789586
0.611	0.00577145314739897
0.614	0.006148035383083151
0.617	0.0065478469154684705
0.62	0.006973102118648917
0.623	0.0074263064877932924
0.626	0.007910306038984148
0.629	0.00842834713393697
0.632	0.008984149387076788
0.635	0.009581995116853089
0.638	0.010226839891453883
0.641	0.010924450208265766
0.644	0.011681576407354653
0.647	0.012506171805880796
0.65	0.013407673138938635
0.653	0.014397363294606794
0.656	0.015488845964639295
0.658	0.01628108196462414
0.66	0.017131637656159226
0.662	0.018047198161847754
0.664	0.019035510982286993
0.666	0.020105605761233748
0.668	0.021268070958453518
0.67	0.02253540539811169
0.672	0.02392246944979746
0.674	0.025447070418689877
0.676	0.02713073114991801
0.678	0.02899971242825755
0.68	0.031086392637666625
0.682	0.0334311593330696
0.684	0.036085048928145944
0.686	0.03911350405302958
0.688	0.042601842604228245
0.69	0.04666342297287207
0.692	0.0514521949858308
0.693	0.054183167125892245
0.694	0.05718265504180807
0.695	0.06049230768568594
0.696	0.06416285708410883
0.697	0.06825673724495393
0.698	0.07285166463991115
0.699	0.0780456190133297
0.7	0.08396390801608436
0.701	0.09076940901490554
0.702	0.09867779016834831
0.703	0.1079807840256315
0.704	0.11908296435599167
0.705	0.13256214494415136
0.706	0.14927322373954857
0.707	0.17053689765695443
0.708	0.19850693389154456
0.709	0.2369500015704222
0.71	0.2931032771887837
0.711	0.3828677206104232
0.712	0.5493097828807455
0.713	0.9639233933871871
0.714	3.807816897821902
0.715	1.9837720905971052
0.716	0.7918765952321412
0.717	0.49659714941052124
0.718	0.362732000005095
0.719	0.2863363194922602
0.72	0.23694200796850798
0.721	0.20238382624315715
0.722	0.17685025768526258
0.723	0.15721450652632654
0.724	0.14164469700285623
0.725	0.12899642324224728
0.726	0.11851791679473075
0.727	0.10969496006132043
0.728	0.10216392645584339
0.729	0.09566041449446769
0.73	0.08998756400320328
0.731	0.08499578397796173
0.732	0.08056936844642673
0.734	0.07306752203217375
0.736	0.0669511470305989
0.738	0.061868878124985725
0.74	0.05757890066701823
0.742	0.053909342577232136
0.744	0.05073469182787488
0.746	0.04796115272080857
0.748	0.04551722295254386
0.751	0.04235133477902307
0.754	0.03966441986157889
0.757	0.037355425704352345
0.76	0.03534985841704498
0.764	0.03305271756710341
0.768	0.031098061739923247
0.772	0.029414612338065086
0.777	0.027612557428391814
0.782	0.026076850714687624
0.787	0.024752505835405187
0.793	0.0233855383431486
0.799	0.02221233560234953
0.806	0.021037731021880505
0.814	0.019897379925617943
0.823	0.018815201975757177
0.833	0.017805321414013194
0.844	0.016874377349390138
0.856	0.01602369703600019
0.87	0.015197013812935077
0.886	0.014417352622361298
0.905	0.0136614716550225
0.927	0.012954988318663572
0.953	0.012287984394680021
0.984	0.011660819806245991
1.0	0.01139038253871252
