p	err
0.0	0.6198663194363767
0.053	0.6509251896925909
0.104	0.6839355445953951
0.152	0.7182516788612372
0.198	0.7545685490983854
0.242	0.7929540586095332
0.284	0.833460651265834
0.324	0.8761195704185919
0.362	0.9209339711846638
0.398	0.9678708178931923
0.432	1.016851566922135
0.464	1.0677417423626203
0.495	1.1221829007363466
0.524	1.1784250585163165
0.552	1.23838534167032
0.579	1.3023183937954326
0.604	1.3677330353014905
0.628	1.4370627514214185
0.651	1.5104724500357178
0.673	1.5881059678530305
0.694	1.6700765382105534
0.714	1.7564551093461718
0.733	1.8472562790269131
0.751	1.9424216874703444
0.768	2.041800847144813
0.784	2.14512960518924
0.8	2.259513038055517
0.815	2.378448307426857
0.829	2.501372770742678
0.842	2.6275037656134574
0.855	2.767069108769581
0.867	2.909774806916696
0.879	3.068040897674143
0.89	3.2290754885075064
0.9	3.3909110689113917
0.91	3.569862502478552
0.92	3.7687966692319934
0.929	3.9678353793390544
0.938	4.189112214513701
0.946	4.407642097349713
0.954	4.650267996906737
0.961	4.885623769991148
0.968	5.146111720351634
0.975	5.435984466343217
0.981	5.711795209363972
0.987	6.017129145153513
0.993	6.356994634716551
0.999	6.737600772161671
1.0	6.80551558579326
