p	err
0.0	0.17575384694965765
0.04	0.18474790861943363
0.078	0.19422664870632636
0.114	0.20418767650281947
0.148	0.2146190542409735
0.18	0.22549687634351337
0.21	0.2367825917811109
0.239	0.248857614903182
0.267	0.2617838319254461
0.293	0.2750875806663613
0.318	0.28925815044426234
0.342	0.30434562290415595
0.364	0.3196647899668314
0.385	0.3358353515087754
0.405	0.35287057866830135
0.424	0.37077257959088084
0.442	0.3895290429173408
0.459	0.40910948552301907
0.476	0.43080160642010246
0.492	0.4534690197795705
0.507	0.47703718838450293
0.521	0.5013944784874161
0.535	0.5284131079668781
0.548	0.5562864522481397
0.56	0.5847970703538782
0.572	0.6164283849858333
0.583	0.6486259191591652
0.594	0.6844143140495036
0.604	0.7205977297710621
0.613	0.7566337130196635
0.622	0.7965018732637119
0.631	0.840847827097469
0.639	0.8846674852947818
0.647	0.9333471012380876
0.654	0.9805964617498734
0.661	1.0329239218535862
0.668	1.0911946207533776
0.674	1.1466780538978458
0.68	1.2081454905019837
0.686	1.2766201917739852
0.692	1.3533728237337341
0.697	1.4247971699127109
0.702	1.5042230331609736
0.707	1.593074787585513
0.712	1.69313620954026
0.716	1.7827576123392053
0.72	1.8824398620731935
0.724	1.9939778423349415
0.728	2.119620381484383
0.732	2.262223448029185
0.735	2.3824821725676264
0.738	2.5162877400344295
0.741	2.666065798701544
0.744	2.834857858459248
0.747	3.0265299937662524
0.75	3.246072587169847
0.752	3.4110727088798476
0.754	3.5937845426452957
0.756	3.7972216933095875
0.758	4.0251225491704075
0.76	4.28218211249023
0.762	4.574378896063771
0.764	4.90944570292407
0.766	5.297564023328538
0.768	5.7524166221155
0.77	6.292834150786769
0.772	6.945467499402097
0.773	7.325385603016916
0.774	7.749317721485596
0.775	8.225382771168897
0.776	8.763827335920595
0.777	9.377771510185271
0.778	10.084292138452527
0.779	10.906036036655829
0.78	11.873692566640004
0.781	13.029911666677616
0.782	14.435759601859514
0.783	16.181862131971386
0.784	18.408752463905838
0.785	21.346711117298348
0.786	25.401020233677652
0.787	31.35719563647539
0.788	40.96354081965098
0.789	59.057908906222075
0.79	105.79380108103298
0.791	507.2533094528553
0.792	181.47795756224522
0.793	76.96577177665112
0.794	48.83758973485351
0.795	35.765330001028026
0.796	28.212874410413004
0.797	23.293544742403036
0.798	19.83471652615678
0.799	17.270047394140093
0.8	15.292494585481869
0.801	13.721156333953383
0.802	12.442527833795339
0.803	11.381788678628736
0.804	10.487616421904425
0.805	9.723633462933693
0.806	9.063336354423877
0.807	8.486958460271985
0.808	7.979457344328404
0.809	7.5291829965027155
0.81	7.126972533711043
0.811	6.765520116590642
0.813	6.1423882493498
0.815	5.624264622363358
0.817	5.186668455911779
0.819	4.812179928932694
0.821	4.488065669555473
0.823	4.204802079957394
0.825	3.9551239114635317
0.827	3.7333923197498367
0.829	3.5351638750564205
0.831	3.3568897267486526
0.834	3.1207645548525047
0.837	2.9156157632545816
0.84	2.7357230508103347
0.843	2.576692909289856
0.846	2.4350950287768813
0.849	2.3082120577651666
0.853	2.158216951572374
0.857	2.0264759501967644
0.861	1.9098479542642495
0.865	1.805873448067466
0.869	1.712599142116237
0.874	1.608689126632393
0.879	1.5166225312783626
0.884	1.434483699183922
0.889	1.3607489778962076
0.895	1.281649722431378
0.901	1.2112001972214803
0.907	1.1480551468579943
0.914	1.0821888161383768
0.921	1.0234301897426374
0.928	0.970687665960277
0.936	0.916657417740238
0.944	0.8682871395852059
0.952	0.8247317260799607
0.961	0.7806394769328383
0.97	0.740987622037128
0.98	0.7013652618342224
0.99	0.6657303284384289
1.0	0.6335097413985821
