p	err
0.0	0.02363702574310214
0.048	0.02483383445435162
0.092	0.026091119702384633
0.132	0.027396839310868053
0.169	0.028772805966733754
0.204	0.030255314706385535
0.236	0.0317976144481842
0.266	0.033440115496883485
0.293	0.03511477981287991
0.319	0.0369395061159676
0.343	0.038846082747809284
0.365	0.04081897357772765
0.386	0.042943196516758875
0.405	0.04510762789976123
0.423	0.04741188672240224
0.44	0.04985823485610843
0.456	0.05244632437211383
0.471	0.05517232760388455
0.485	0.05802792405383997
0.498	0.06099916754412477
0.51	0.06406528651479836
0.522	0.06749934282028842
0.533	0.07103030691266984
0.543	0.07461686578831939
0.553	0.07862787312995578
0.562	0.0826664598764686
0.571	0.08718647184931334
0.579	0.09168190381525324
0.587	0.09671013273719618
0.594	0.10162542793066114
0.601	0.10710944068964817
0.608	0.11326693576727946
0.614	0.11918009272949813
0.62	0.12578892313896073
0.626	0.13322386722655602
0.631	0.14016860457034283
0.636	0.14792088008609952
0.641	0.15663023985878488
0.646	0.16648558476007655
0.65	0.17535541027833404
0.654	0.1852687615366618
0.658	0.19642130288398885
0.662	0.20906087675903068
0.665	0.2197047506403557
0.668	0.2315313009198192
0.671	0.24474923957538983
0.674	0.2596194577420999
0.677	0.27647241917780646
0.68	0.2957330082611058
0.683	0.31795684661065626
0.685	0.33477494458364193
0.687	0.3535151698567972
0.689	0.3745270114479918
0.691	0.39825015220091564
0.693	0.42524557125137236
0.695	0.45624047035934884
0.697	0.4921947658031447
0.699	0.5344022733095547
0.701	0.5846497158890195
0.703	0.6454761633247095
0.704	0.6809585590136114
0.705	0.7206156169403587
0.706	0.7652301385978266
0.707	0.815793687427747
0.708	0.8735811523554136
0.709	0.9402597280949161
0.71	1.0180523904634295
0.711	1.1099905487190926
0.712	1.2203183055151414
0.713	1.3551662555188757
0.714	1.523730700559895
0.715	1.7404637750653558
0.716	2.029454087372791
0.717	2.4340652552319897
0.718	3.041036111078137
0.719	4.052798506665495
0.72	6.076864604380469
0.721	12.153396820630102
0.722	11345.586348321425
0.723	12.113782321513833
0.724	6.056714561721525
0.725	4.036252989320609
0.726	3.025752177329166
0.727	2.419365254420823
0.728	2.015071284695481
0.729	1.7262722328616313
0.73	1.5096632937659273
0.731	1.3411839555604212
0.732	1.2063968819832396
0.733	1.0961141668662275
0.734	1.004210266509709
0.735	0.9264442648506789
0.736	0.8597868435764793
0.737	0.8020164450005159
0.738	0.751466863737632
0.739	0.7068639180667406
0.74	0.6672165609380727
0.741	0.6317423750430359
0.742	0.5998154181675497
0.744	0.5446684333348678
0.746	0.4987122034637067
0.748	0.45982587233927247
0.75	0.4264945195218081
0.752	0.3976071889547471
0.754	0.37233065431388296
0.756	0.3500277363611545
0.758	0.33020284703851965
0.76	0.3124647296796887
0.762	0.2965003768595225
0.765	0.27533825891832125
0.768	0.25693635350567207
0.771	0.24078769387721458
0.774	0.2265023032081925
0.777	0.21377528887210512
0.78	0.20236483831238847
0.783	0.1920767078218055
0.787	0.17983644672342147
0.791	0.16901532488743307
0.795	0.15938006256866405
0.799	0.1507458530619756
0.803	0.14296439420849438
0.808	0.13425548201979356
0.813	0.1265035825789721
0.818	0.11955916431571247
0.823	0.11330230555817293
0.828	0.10763571113682346
0.834	0.10150364083586572
0.84	0.09599516604090905
0.846	0.09101976561253727
0.853	0.08579116035953743
0.86	0.08109299015935839
0.867	0.07684843396190136
0.874	0.07299482186374669
0.882	0.06900357904509477
0.89	0.06539245324485136
0.898	0.062109610654487855
0.907	0.05875578692432787
0.916	0.0557131422341122
0.926	0.05264729629970981
0.936	0.04986797802260008
0.946	0.047336813372608276
0.957	0.044801340790860365
0.968	0.04249261840370633
0.98	0.04019853992412827
0.992	0.03810838053870727
1.0	0.036815189015433625
