p	err
0.0	0.37763605876001033
0.044	0.39654800669469753
0.086	0.41649198711690627
0.126	0.4374812857106837
0.164	0.45951523245416676
0.2	0.48257527106463854
0.235	0.5073645204002067
0.268	0.5332256300963054
0.299	0.5600778824690168
0.329	0.5888078087070905
0.357	0.6184516481180821
0.384	0.6500445632196686
0.41	0.6837135840350532
0.434	0.7180800509646412
0.457	0.7544566712083055
0.479	0.7929125829567191
0.5	0.8335015488337824
0.52	0.8762561919637369
0.539	0.9211810722621895
0.557	0.9682445312070421
0.574	1.0173693016237848
0.59	1.0684219864982742
0.606	1.1249075336199263
0.621	1.1836085708535837
0.635	1.2442438880246327
0.649	1.311467328904866
0.662	1.3807765370280272
0.674	1.4516275490247337
0.686	1.5301830915985983
0.697	1.6100901808048014
0.708	1.6988443584347162
0.718	1.7885090833816446
0.728	1.8882087814721327
0.737	1.9879845910056075
0.746	2.098935974149836
0.754	2.2085387949320303
0.762	2.330260420326427
0.769	2.4483684731671627
0.776	2.579127300746066
0.783	2.7246844914269626
0.789	2.8632274192997738
0.795	3.0166535045986813
0.801	3.18749714200388
0.807	3.3789027838529595
0.812	3.5569340851667977
0.817	3.754811812361618
0.822	3.976050495496151
0.827	4.2250465550126926
0.831	4.447924590133329
0.835	4.695668918910189
0.839	4.972686865499005
0.843	5.284492696662057
0.847	5.638078429079571
0.85	5.93600457014344
0.853	6.267215780677138
0.856	6.637620132592223
0.859	7.0546118660865735
0.862	7.527570054024031
0.865	8.068572494080705
0.867	8.47465989759481
0.869	8.923828395510707
0.871	9.423317602445104
0.873	9.982085508220868
0.875	10.61135047572436
0.877	11.3253521948782
0.879	12.142442238636963
0.881	13.086683739556317
0.883	14.190260876617197
0.885	15.497220523058129
0.887	17.069492554097074
0.888	17.981716541208982
0.889	18.996990689865015
0.89	20.13382205703189
0.891	21.41543153284685
0.892	22.871356698385178
0.893	24.539756436217974
0.894	26.470803950714046
0.895	28.731819134974145
0.896	31.415277700105023
0.897	34.65177212572121
0.898	38.631906611948175
0.899	43.64524314564758
0.9	50.1541014138283
0.901	58.944982032059954
0.902	71.47311255686412
0.903	90.76504333688207
0.904	124.3237004802847
0.905	197.2597081803546
0.906	477.263523996028
0.907	1137.6268622985822
0.908	259.5080471871736
0.909	146.45602500310744
0.91	102.01320942828323
0.911	78.26295725845291
0.912	63.48262106335774
0.913	53.39778290105523
0.914	46.07760507103622
0.915	40.52227490805153
0.916	36.162213256196075
0.917	32.64913267631986
0.918	29.758082052143656
0.919	27.337291667165186
0.92	25.28065216110131
0.921	23.51174438393216
0.922	21.974133880472532
0.923	20.625238936192986
0.924	19.432325861371396
0.925	18.36981761727298
0.926	17.417439332462298
0.928	15.781014584449592
0.93	14.425574968627812
0.932	13.284471932572922
0.934	12.3105908299965
0.936	11.469683042481565
0.938	10.736254840990275
0.94	10.090937937390596
0.942	9.518754012562049
0.944	9.00793764010239
0.946	8.54911866348236
0.949	7.942249668814747
0.952	7.415768596832534
0.955	6.954694946676065
0.958	6.547552733233045
0.961	6.185402309254971
0.964	5.8611763508235475
0.968	5.4782442307911765
0.972	5.142228901618507
0.976	4.845005720209831
0.98	4.5802236070223525
0.984	4.342846141537549
0.989	4.078574387163616
0.994	3.8445758597593187
0.999	3.6359305119534198
1.0	3.596885112275204
