p	err
0.0	0.05098456385273919
0.041	0.053598523180578755
0.079	0.05631362519626113
0.115	0.059193556159938286
0.149	0.0622392087980507
0.181	0.06544810293053262
0.211	0.0688133830843821
0.239	0.07232268019644991
0.265	0.07595687446601541
0.29	0.07985309223653381
0.313	0.08384674387951056
0.335	0.08809808196922822
0.356	0.09261837211993584
0.376	0.09741707633465663
0.395	0.10250101411884932
0.413	0.10787332535062177
0.43	0.11353221522540524
0.446	0.11946947213582491
0.461	0.1256687677122984
0.475	0.13210377683730923
0.488	0.13873619630288264
0.501	0.14611016895265638
0.513	0.15368850252553548
0.524	0.16139780860134476
0.535	0.169961361846153
0.545	0.1786135125425698
0.555	0.1882348586659137
0.564	0.19786447328379275
0.573	0.20857375560811434
0.581	0.21915399346683204
0.589	0.2309053971453669
0.597	0.24403382102262092
0.604	0.25685133377221553
0.611	0.27113319108445694
0.617	0.2847402935509347
0.623	0.2998245154838121
0.629	0.31664018422942586
0.635	0.33550356816161964
0.64	0.35307155572213345
0.645	0.37262366220675397
0.65	0.3945161325970771
0.655	0.41919592520667587
0.659	0.4413235439203967
0.663	0.46596056676344005
0.667	0.49355952574689466
0.671	0.5246887213789648
0.675	0.5600717725496221
0.678	0.5899535136623587
0.681	0.6232475145118286
0.684	0.6605736471535929
0.687	0.7027116027446941
0.69	0.7506559471224148
0.693	0.8056956195611802
0.695	0.8471487545701991
0.697	0.8931393501910095
0.699	0.944455547083927
0.701	1.0020792332638229
0.703	1.0672494783359825
0.705	1.1415526366220228
0.707	1.22705318556177
0.709	1.3264885358844272
0.711	1.4435675422326382
0.713	1.5834433857321117
0.714	1.6641172990123547
0.715	1.7534924794669744
0.716	1.853056914451002
0.717	1.9646583773258797
0.718	2.0906201661824695
0.719	2.23390459275824
0.72	2.398348902247763
0.721	2.5890140461689506
0.722	2.8127147453966646
0.723	3.078851210241316
0.724	3.400763789023503
0.725	3.798039023214137
0.726	4.300650023444656
0.727	4.956893598634563
0.728	5.849918860409329
0.729	7.136085246220153
0.73	9.148278606447603
0.731	12.742990592939684
0.732	20.997003126413645
0.733	59.651054414173366
0.734	270.8690232163161
0.735	22.2230789755668
0.736	13.175399196491039
0.737	9.362170675846707
0.738	7.260071232665441
0.739	5.928398629049951
0.74	5.009201806329632
0.741	4.336538464444815
0.742	3.822954097599719
0.743	3.4179846833984886
0.744	3.0904696899420157
0.745	2.820127734788302
0.746	2.5931898945150693
0.747	2.39997997081979
0.748	2.2334990057690303
0.749	2.088559251860815
0.75	1.9612338854161298
0.751	1.8484958546821588
0.752	1.7479741313313293
0.753	1.6577851273508697
0.755	1.5026266138816553
0.757	1.3739265033147294
0.759	1.265448766960989
0.761	1.1727743363805383
0.763	1.092684285010331
0.765	1.02277830961922
0.767	0.9612300508751379
0.769	0.9066252228180335
0.771	0.857851600402341
0.773	0.814022464990121
0.776	0.756021153620775
0.779	0.705675606557401
0.782	0.6615639050607786
0.785	0.6225957283014029
0.788	0.5879210157709378
0.791	0.5568672437414768
0.794	0.5288953765554514
0.798	0.49564986437673686
0.802	0.4662894802850654
0.806	0.44017078673777577
0.81	0.4167849970972225
0.814	0.39572450409956134
0.819	0.37217140079360883
0.824	0.3512220884926904
0.829	0.3324674104473777
0.834	0.3155796690115946
0.84	0.29740835404232824
0.846	0.2811760545331175
0.852	0.26658812950915234
0.859	0.25133243834726515
0.866	0.23768919319567278
0.873	0.22541558535747216
0.881	0.21281549413717868
0.889	0.20151223451555808
0.897	0.1913153957845287
0.906	0.18097475373544747
0.915	0.17165987347054762
0.925	0.16233711747680288
0.935	0.15393989514251954
0.946	0.14561596339540345
0.957	0.13811154784439134
0.969	0.13072460332721228
0.981	0.12405409366907526
0.994	0.11752133443566931
1.0	0.11472121132789058
